,y_predicted,y_actual,Relative Error
96,15.399778274878539,15.0,0.0266518849919026
309,18.748690905622507,18.5,0.013442751655270629
255,12.555159983499212,13.1,0.041590840954258565
125,8.600115424548669,8.4,0.023823264827222437
413,23.653217510062206,23.5,0.006519894045200235
99,22.382408900390576,21.9,0.02202780367080263
1,9.138655541830577,9.6,0.04805671439264821
44,7.725023643384574,7.5,0.030003152451276566
188,21.865270344829998,22.0,0.006124075235000087
192,16.477167564522965,17.0,0.030754849145707946
65,17.616861880232612,17.4,0.01246332645015021
136,23.698150045040432,24.0,0.012577081456648672
112,22.483371827541053,22.9,0.018193369976373188
19,22.295554370253367,22.0,0.013434289556971214
22,21.266545948583577,20.6,0.03235659944580463
387,16.02327042388803,15.3,0.047272576724707714
42,18.885534906106678,19.4,0.026518819272851605
377,21.618685757480655,22.0,0.017332465569061126
290,10.991705809559988,10.9,0.008413377023852118
401,20.41796281154995,20.7,0.013624984949277826
271,18.826717980176422,19.1,0.014307959153066976
195,22.75333988149627,22.5,0.011259550288723118
321,22.110640463681786,22.8,0.03023506738237782
80,11.809085725394397,12.5,0.05527314196844827
254,22.599190299648345,23.0,0.017426508710941507
415,15.24118926026344,15.0,0.016079284017562638
89,14.547573946084535,14.5,0.00328096179893345
102,19.418981979444265,18.9,0.027459363991760122
148,16.607938211441205,16.5,0.006541709784315446
367,16.942210378562052,16.2,0.04581545546679339
