,y_predicted,y_actual,Relative Error
25,43.757768353361406,50.0,0.12484463293277187
375,45.67371410348545,50.0,0.08652571793029097
442,18.186838772086343,13.8,0.31788686754248857
302,48.05842340321904,50.0,0.03883153193561924
36,12.268296464557041,13.2,0.07058360116992107
319,14.671751610030984,14.4,0.018871639585485
296,25.711636305785845,26.6,0.03339713136143445
167,7.014048017186891,7.0,0.0020068595981272658
60,17.52146021313886,18.9,0.07293861306143597
159,9.277991024901468,8.1,0.1454309907285763
113,15.962095280570544,15.6,0.023211235934009273
397,32.160624574126174,30.1,0.06845928817694927
61,48.77046114809386,50.0,0.024590777038122836
222,21.686511610726118,20.6,0.052743282074083325
14,13.90967346824863,14.4,0.03405045359384511
381,54.32628589651462,50.0,0.08652571793029239
29,25.334223126488656,23.1,0.09671961586530971
106,18.84541787072498,18.2,0.03546252036950441
16,40.72863332062816,42.8,0.04839641774233259
357,21.04914217039801,19.7,0.06848437413187873
235,20.055231371723465,23.7,0.15378770583445292
17,37.83502396517454,36.2,0.04516640787774971
448,9.452665371665741,8.4,0.12531730615068346
440,20.18400200959018,18.5,0.09102713565352327
23,25.230378121856727,23.1,0.09222416111933877
432,24.604475073458822,27.1,0.09208579064727598
286,30.31392308942845,33.0,0.08139627001731971
379,11.09130060148718,13.8,0.19628256510962463
63,50.018261615020904,48.3,0.03557477463811402
257,53.049242046078625,50.0,0.0609848409215725
219,49.3198839837208,46.7,0.056100299437276166
224,52.68334129203052,50.0,0.05366682584061039
54,30.607334115899217,27.5,0.11299396785088063
155,43.81808887572294,50.0,0.12363822248554115
359,13.421851732869357,13.8,0.027402048342800304
