,Constant,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,y_pred,y_act
9,1.0,0.05372,0.0,13.92,0,0.4370000000000001,6.549,51.0,5.9604,4,289,16.0,392.85,7.39,27.44906506601049,27.1
13,1.0,0.05646,0.0,12.83,0,0.4370000000000001,6.232,53.7,5.0141,5,398,18.7,386.4,12.34,21.41723954761118,21.2
21,1.0,0.22969,0.0,10.59,0,0.489,6.3260000000000005,52.5,4.3549,4,277,18.6,394.87,10.97,23.76506389084872,24.4
27,1.0,0.12816,12.5,6.07,0,0.409,5.885,33.0,6.497999999999998,4,345,18.9,396.9,8.79,21.13913735955125,20.9
32,1.0,1.00245,0.0,8.14,0,0.5379999999999999,6.674,87.3,4.239,4,307,21.0,380.23,11.98,21.257482767979397,21.0
33,1.0,1.61282,0.0,8.14,0,0.5379999999999999,6.096,96.9,3.7598,4,307,21.0,248.31,20.34,14.102070653351237,13.5
38,1.0,0.01965,80.0,1.76,0,0.385,6.23,31.5,9.0892,1,241,18.2,341.6,12.93,19.96354660326107,20.1
40,1.0,0.01432,100.0,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,392.9,3.95,32.50201743784275,31.6
45,1.0,0.18836,0.0,6.91,0,0.448,5.7860000000000005,33.3,5.1004,3,233,17.9,396.9,14.15,20.566812567384847,20.0
64,1.0,0.03768,80.0,1.52,0,0.404,7.274,38.3,7.309,2,329,12.6,392.2,6.62,34.0454208944136,34.6
73,1.0,0.00906,90.0,2.97,0,0.4,7.087999999999999,20.8,7.3073,1,285,15.3,394.72,7.85,30.831217702877304,32.2
77,1.0,0.17446,0.0,10.59,1,0.489,5.96,92.1,3.8771,4,277,18.6,393.25,17.27,22.625525708590622,21.7
79,1.0,9.51363,0.0,18.1,0,0.713,6.728,94.1,2.4961,24,666,20.2,6.68,18.71,15.056178587110638,14.9
81,1.0,0.44178,0.0,6.2,0,0.504,6.5520000000000005,21.4,3.3751,8,307,17.4,380.34,3.76,31.068501608740455,31.5
82,1.0,0.04981,21.0,5.64,0,0.439,5.997999999999998,21.4,6.8147,4,243,16.8,396.9,8.43,24.134568521953632,23.4
83,1.0,0.13642,0.0,10.59,0,0.489,5.891,22.3,3.9454,4,277,18.6,396.9,10.87,22.655686474398497,22.6
88,1.0,0.13554000000000002,12.5,6.07,0,0.409,5.5939999999999985,36.8,6.497999999999998,4,345,18.9,396.9,13.09,17.781026782348576,17.4
91,1.0,0.02187,60.0,2.93,0,0.401,6.8,9.9,6.2196,1,265,15.6,393.37,5.03,31.590198876595757,31.1
92,1.0,0.21409,22.0,5.86,0,0.431,6.438,8.9,7.3967,7,330,19.1,377.07,3.59,25.198671367800074,24.8
95,1.0,2.15505,0.0,19.58,0,0.871,5.627999999999999,100.0,1.5166,5,403,14.7,169.27,16.65,15.961720030686465,15.6
101,1.0,7.99248,0.0,18.1,0,0.7,5.52,100.0,1.5331,24,666,20.2,396.9,24.56,12.729494435728574,12.3
104,1.0,0.84054,0.0,8.14,0,0.5379999999999999,5.599,85.7,4.4546,4,307,21.0,303.42,16.51,13.97623811715361,13.9
115,1.0,11.1604,0.0,18.1,0,0.74,6.629,94.6,2.1247,24,666,20.2,109.85,23.27,12.998380715297337,13.4
124,1.0,0.13914,0.0,4.05,0,0.51,5.572,88.5,2.5961,5,296,16.6,396.9,14.69,23.166275688800457,23.1
127,1.0,5.20177,0.0,18.1,1,0.77,6.127000000000002,83.4,2.7227,24,666,20.2,395.43,11.48,22.16399505226355,22.7
132,1.0,0.13058,0.0,10.01,0,0.547,5.872000000000001,73.1,2.4775,6,432,17.8,338.63,15.37,20.41437666980074,20.4
138,1.0,0.1,34.0,6.09,0,0.433,6.982,17.7,5.4917,7,329,16.1,390.43,4.86,32.33193024301951,33.1
140,1.0,0.7842,0.0,8.14,0,0.5379999999999999,5.99,81.7,4.2579,4,307,21.0,386.75,14.67,17.365408178316088,17.5
141,1.0,0.13117,0.0,8.56,0,0.52,6.127000000000002,85.2,2.1224,5,384,20.9,387.69,14.09,20.925824446479385,20.4
145,1.0,0.537,0.0,6.2,0,0.504,5.981,68.1,3.6715,8,307,17.4,378.35,11.65,24.587045860890235,24.3
151,1.0,0.12932000000000002,0.0,13.92,0,0.4370000000000001,6.678,31.1,5.9604,4,289,16.0,396.9,6.27,28.42845260090126,28.6
