,y_predicted,y_actual,Relative Error
139,49.56569715807799,50.0,0.008686056838440237
442,12.651651357744058,13.8,0.08321366972869151
155,35.97142156345709,50.0,0.28057156873085815
359,6.6326340127946715,13.8,0.5193743468989369
7,22.29599210926977,19.4,0.14927794377679227
432,24.1209821144804,27.1,0.10992685924426567
375,38.15135667961608,50.0,0.23697286640767842
29,22.38184322831298,23.1,0.031089037735368853
142,37.22338517816981,34.7,0.07272003395302047
357,18.708762330623586,19.7,0.050316632963269735
418,35.81115169712129,34.9,0.02610749848485074
110,9.258899277502154,8.8,0.052147645170699246
189,46.02015537749159,50.0,0.07959689245016818
319,11.562658099493259,14.4,0.1970376319796348
46,25.711696825457402,23.0,0.11789986197640878
176,11.331318806523342,7.4,0.5312592981788299
334,51.14649086549631,50.0,0.022929817309926222
17,33.44795454474829,36.2,0.07602335511745056
441,27.373051638467736,20.8,0.31601209800325647
25,36.68767437612051,50.0,0.26624651247758974
429,46.97685253086596,48.8,0.03735957928553351
293,12.41196787552244,8.5,0.4602315147673458
126,22.302572607267447,19.5,0.14372167216756138
397,28.724863795103886,30.1,0.04568558820252876
8,30.293329976582132,29.6,0.023423310019666587
222,19.42167125022823,20.6,0.05720042474620253
256,24.815935897785796,24.1,0.029706883725551622
161,23.11287876068761,22.5,0.027239056030560486
48,44.069365688895004,44.0,0.0015764929294319204
382,22.285518086710283,19.0,0.1729220045636991
159,8.664297703985657,8.1,0.06966638320810582
14,6.452348545795182,14.4,0.5519202398753346
199,28.22865517316481,27.5,0.026496551751447647
336,52.541170013722166,50.0,0.05082340027444331
113,14.200679183603913,15.6,0.08970005233308245
61,47.82092111964007,50.0,0.04358157760719863
437,17.624212218176652,15.6,0.12975719347286233
107,21.105599183732142,20.2,0.04483164275901697
288,39.85530501146636,37.2,0.07137916697490217
228,20.920996689714453,18.4,0.13701068965839427
34,35.78315474361666,35.4,0.010823580328154364
106,16.836766419927944,18.2,0.07490294396000305
6,51.9304613208179,50.0,0.03860922641635796
54,25.66937930250694,27.5,0.066568025363384
173,47.77360734562422,50.0,0.044527853087515584
16,35.76655525555245,42.8,0.1643328211319521
379,12.919744542517016,13.8,0.06378662735383948
11,46.44829965115182,44.8,0.03679240292749607
294,12.77368746125287,10.2,0.2523223001228304
167,-1.6990757451147047,7.0,1.2427251064449578
412,25.638676343082924,23.2,0.10511535961564332
266,18.454732259135795,15.7,0.17546065344813988
450,43.91740128289872,42.3,0.038236436947960424
257,47.555493152942766,50.0,0.04889013694114468
235,15.14039584676404,23.7,0.36116473220404893
304,48.974173152030566,48.5,0.00977676602124879
219,43.97911128527542,46.7,0.05826314164292463
306,47.269092543548474,43.5,0.0866458055988155
286,27.175677014296113,33.0,0.1764946359304208
446,28.339314090262814,26.4,0.07345886705540967
381,46.01769709650136,50.0,0.07964605806997284
181,19.334488166542968,17.2,0.12409814921761447
275,24.649629074060215,22.2,0.1103436519846944
224,46.250063011685086,50.0,0.07499873976629828
426,20.70626322690312,19.4,0.06733315602593401
272,49.57068780258507,46.0,0.07762364788228412
350,26.823662166519526,24.5,0.09484335373549085
154,10.63504096717277,11.8,0.09872534176501951
440,17.714817066575176,18.5,0.042442320725666186
279,22.948737576812274,20.0,0.14743687884061368
289,26.373581499589413,19.1,0.3808157853188173
406,20.038514407788522,16.3,0.22935671213426512
170,22.993398644448988,19.3,0.1913678054118646
131,26.241631711881734,19.1,0.37390741947024775
3,12.494070664714869,10.5,0.18991149187760653
245,38.36249586532725,37.0,0.03682421257641209
63,44.91082983132059,48.3,0.07016915463104362
4,46.666892652216696,45.4,0.027905124498165134
105,24.94619050926715,21.9,0.1390954570441622
411,42.436620868554044,41.3,0.027521086405667
448,8.538650598993204,8.4,0.0165060236896671
339,40.60856221843814,37.9,0.07146602159467386
407,16.416585190499504,11.9,0.3795449739915549
388,25.955837189940297,24.3,0.0681414481456912
62,27.496599989303768,22.6,0.21666371634087458
280,40.74572528115558,39.8,0.023761941737577435
332,26.99816575796845,24.5,0.10196594930483473
36,10.062711677463824,13.2,0.23767335776789209
431,12.594867507332076,10.4,0.21104495262808418
244,36.036415956730664,29.8,0.20927570324599543
