,Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
34,1.0,7.5,3.2,2.4,4.6,5.3,0.8,1.34,9.958,3.14,5.0,9.1
755,1.0,6.5,3.2,4.8,8.0,2.6,1.8,0.88,9.9144,3.22,7.9,12.7
1499,1.0,10.3,1.7000000000000002,4.699999999999999,1.4,3.7000000000000006,0.5,0.33,9.939,2.89,2.8000000000000003,9.6
2465,1.0,6.1,2.0,3.4000000000000004,9.5,4.1000000000000005,3.8,2.01,9.95,3.14,4.4,10.1
2541,1.0,7.9,6.4,4.6000000000000005,10.6,24.4,3.3,2.27,9.983,2.87,7.4,9.1
2649,1.0,6.9,1.9,6.0,4.0,3.7000000000000006,0.6,1.22,9.9255,2.92,5.8999999999999995,10.4
3020,1.0,7.1,3.2,3.2,11.0,3.8,1.6,0.66,9.937000000000001,3.24,4.0,11.5
3170,1.0,7.4,2.7,3.1,2.4,1.4000000000000001,1.5,1.43,9.9094,3.03,6.5,12.0
3551,1.0,5.8,2.4,4.4,3.5,2.9000000000000004,0.5,1.09,9.913,3.53,4.3,11.7
3672,1.0,6.9,3.9000000000000004,2.2,4.3,3.0,1.0,1.02,9.93,3.0,8.7,11.6
3681,1.0,6.2,2.3000000000000003,3.5,0.7,5.1,2.4,1.11,9.916,3.37,4.3,11.0
3728,1.0,7.6,4.8,3.7,1.2,3.4000000000000004,0.5,0.57,9.9256,3.05,5.4,10.4
3847,1.0,9.4,2.4,2.9,8.5,3.7000000000000006,12.4,2.08,9.9395,2.9,3.8,11.0
3997,1.0,8.5,2.6,2.1,16.2,7.400000000000001,4.1,1.97,9.98,3.02,5.0,9.8
4122,1.0,6.8,2.6,3.4000000000000004,15.1,6.0,4.2,1.62,9.9705,3.24,5.2,10.5
4148,1.0,8.3,3.3000000000000003,4.2,1.15,3.3000000000000003,1.8,0.96,9.911,3.2,3.2,12.4
4212,1.0,4.2,2.15,2.3000000000000003,5.1,4.1000000000000005,6.4,1.57,9.9688,3.42,4.4,8.0
4221,1.0,6.9,3.9000000000000004,4.0,4.6,2.1999999999999997,0.5,0.19,9.915000000000001,3.31,3.7,12.6
