,y_predicted,y_actual,Relative Error
228,8.039236320482189,8,0.004904540060273632
3346,8.017642641995366,8,0.0022053302494207117
3435,8.044100305104735,8,0.005512538138091827
1505,7.22709842686632,7,0.032442632409474266
2778,8.079069733838992,8,0.009883716729873981
3277,7.769096907144501,8,0.028862886606937366
2913,7.7398226273543855,8,0.03252217158070181
821,7.769096907144501,8,0.028862886606937366
522,7.7636211291234645,8,0.02954735885956694
3992,7.101988375504817,7,0.01456976792925957
598,8.039236320482189,8,0.004904540060273632
4071,7.866710406494036,8,0.01666119918824549
1627,8.121532862415705,8,0.015191607801963158
2620,6.10924293523945,6,0.01820715587324173
2735,7.611804109826096,8,0.048524486271738
1740,6.821650760548806,7,0.025478462778741977
5,8.380992696807624,8,0.047624087100953005
643,8.181650891780606,8,0.022706361472575765
1613,6.317458298114275,6,0.05290971635237914
4399,5.807686140545144,6,0.032052309909142686
1026,8.536802959455628,9,0.0514663378382636
2472,6.268131876512342,6,0.04468864608539036
3841,8.247255539483263,8,0.030906942435407814
3093,8.222254649700574,8,0.027781831212571717
759,7.769096907144501,8,0.028862886606937366
2725,8.07045870112242,8,0.008807337640302393
945,5.963669851225234,6,0.006055024795794377
1626,7.987193878311842,8,0.0016007652110197057
2391,7.611804109826096,8,0.048524486271738
3327,7.143110702572869,7,0.02044438608183847
1283,7.1508227923741,7,0.021546113196300048
2332,7.9428430771441185,8,0.0071446153569851845
4033,6.796049058558992,7,0.02913584877728681
460,8.282474330382144,8,0.03530929129776794
1487,8.21860157520382,8,0.027325196900477522
2405,7.827640185709242,8,0.021544976786344705
1037,5.961264418468886,6,0.006455930255185649
3912,8.050037339533361,8,0.0062546674416701364
1244,7.994270062300927,8,0.0007162422123840884
3351,8.176729174934621,8,0.02209114686682767
4352,6.10924293523945,6,0.01820715587324173
1988,8.236240801878665,8,0.029530100234833156
293,6.317458298114275,6,0.05290971635237914
2556,6.92858890704494,7,0.010201584707865712
2656,7.976654252693095,8,0.0029182184133631495
1569,7.234856224774347,7,0.03355088925347819
1829,6.691377428902797,7,0.044088938728171864
1501,7.166239589727326,7,0.02374851281818938
764,7.234856224774347,7,0.03355088925347819
4038,8.187005055006239,8,0.023375631875779845
1491,8.090667975481551,8,0.01133349693519392
2936,8.14209923285597,8,0.017762404106996144
318,8.02960822569176,8,0.0037010282114700033
1616,8.21860157520382,8,0.027325196900477522
2713,7.711347545315874,8,0.03608155683551573
3550,8.155332731843146,8,0.019416591480393208
3792,8.243670205611778,8,0.030458775701472263
408,8.188481086220577,8,0.0235601357775721
751,8.543679141380494,9,0.05070231762438956
3293,7.95118187392373,8,0.006102265759533765
157,8.243670205611778,8,0.030458775701472263
811,8.237829129203334,8,0.029728641150416735
1564,8.309251750888194,8,0.03865646886102425
2645,7.921312205532416,8,0.009835974308447959
3440,7.910846101502045,8,0.011144237312244343
314,8.121965441639333,8,0.015245680204916567
2906,7.611804109826096,8,0.048524486271738
3826,8.121532862415705,8,0.015191607801963158
3857,6.990313712555121,7,0.0013837553492684102
2048,6.111539708194641,6,0.018589951365773533
1845,7.996097475062925,8,0.0004878156171344017
3974,8.3586714837393,8,0.044833935467412545
1677,8.139737196190424,8,0.017467149523803016
3638,8.433407867487517,9,0.06295468139027587
2293,7.7636211291234645,8,0.02954735885956694
4325,8.121965441639333,8,0.015245680204916567
2752,8.064677776499963,8,0.008084722062495331
4017,8.218005867869664,8,0.02725073348370799
3224,8.061997994490213,8,0.007749749311276588
1596,7.769096907144501,8,0.028862886606937366
2121,7.905338232860004,8,0.011832720892499538
3212,7.611804109826096,8,0.048524486271738
1822,7.994270062300927,8,0.0007162422123840884
3066,7.719221543407372,8,0.03509730707407854
3823,8.178432009364684,8,0.022304001170585508
2110,7.87609686241592,8,0.015487892198009945
2700,8.147489690184614,8,0.018436211273076708
1465,8.114445436255806,8,0.014305679531975812
4020,7.95118187392373,8,0.006102265759533765
2155,7.769096907144501,8,0.028862886606937366
2348,6.641863857560878,7,0.05116230606273169
3779,7.801734610460187,8,0.024783173692476623
1550,7.17104383857145,7,0.024434834081635666
1248,7.658664449716099,8,0.04266694378548763
3890,7.680124410584824,8,0.03998444867689699
108,8.044100305104735,8,0.005512538138091827
1931,8.050037339533361,8,0.0062546674416701364
939,8.138269161685571,8,0.017283645210696363
155,8.380992696807624,8,0.047624087100953005
961,8.046821913581311,8,0.0058527391976639365
3538,7.535010558548464,8,0.05812368018144198
3374,7.949235967984151,8,0.006345504001981084
3053,7.745867758445627,8,0.03176653019429665
3959,6.155126595400532,6,0.025854432566755275
2695,8.046821913581311,8,0.0058527391976639365
2997,7.362720511566835,7,0.05181721593811923
2855,6.268359089185424,6,0.04472651486423729
4406,7.234856224774347,7,0.03355088925347819
901,7.31386938650013,7,0.044838483785732866
2199,7.623380338684967,8,0.047077457664379097
2635,7.776045575293722,8,0.027994303088284767
3602,8.018111272655005,8,0.0022639090818756813
752,8.010783825071428,8,0.0013479781339285068
3240,7.611804109826096,8,0.048524486271738
1893,8.44801199669061,9,0.06133200036770998
3534,8.125181899462575,8,0.015647737432821884
