,Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,y_pred,y_act
5,1.0,7.0,1.2,2.9,10.3,3.9,4.1,0.98,9.9564,3.19,3.8,9.8,8.45437846967954,8
108,1.0,7.3,2.5,3.5999999999999996,2.1,3.4000000000000004,3.0,1.77,9.9085,3.25,4.0,11.9,7.975809692923548,8
155,1.0,7.0,1.2,2.9,10.3,3.9,4.1,0.98,9.9564,3.19,3.8,9.8,8.45437846967954,8
157,1.0,6.5,1.7999999999999998,3.4000000000000004,1.6,4.0,4.3,1.48,9.911999999999999,3.32,5.8999999999999995,11.5,8.157545189717439,8
228,1.0,7.0,3.5999999999999996,3.2,10.05,4.5,3.7,1.31,9.9352,3.09,3.3000000000000003,11.7,8.073589846461914,8
314,1.0,7.3,2.1,2.9,1.6,3.4000000000000004,2.9,1.18,9.917,3.3,5.0,11.0,8.149371427575716,8
318,1.0,5.8,3.15,2.7,1.55,2.6,1.5,0.7,9.8994,3.37,4.0,11.9,8.042078454909728,8
408,1.0,6.2,2.2,4.9,6.0,2.9000000000000004,3.1,1.28,9.928,3.41,3.5999999999999996,11.3,8.110701134198251,8
460,1.0,6.4,1.5,3.5999999999999996,1.8,3.4000000000000004,4.3,1.5,9.922,3.42,6.8999999999999995,11.0,8.18412173314806,8
522,1.0,5.4,5.300000000000001,1.6,2.7,3.6000000000000005,3.4,1.28,9.8856,3.2,5.300000000000001,13.2,7.746108959237517,8
598,1.0,7.0,3.5999999999999996,3.2,10.05,4.5,3.7,1.31,9.9352,3.09,3.3000000000000003,11.7,8.073589846461914,8
643,1.0,8.0,3.4000000000000004,4.9,9.0,3.3000000000000003,3.9,1.8,9.936,3.13,3.8,12.3,8.13451313379764,8
751,1.0,6.9,3.5999999999999996,3.4000000000000004,4.2,1.8000000000000003,5.7,1.19,9.898,3.28,3.5999999999999996,12.7,8.577500800620726,9
752,1.0,5.7,1.5,4.699999999999999,11.4,3.5000000000000004,4.9,1.28,9.9456,3.03,3.4000000000000004,10.5,7.951799222509436,8
759,1.0,7.6,2.0,3.0,14.2,5.6000000000000005,5.3,2.125,9.99,3.14,4.6000000000000005,8.9,7.8033217256613625,8
764,1.0,7.3,2.5,3.5999999999999996,13.1,5.0,3.5,2.0,9.986,3.04,4.6000000000000005,8.9,7.261429884399973,7
811,1.0,6.8,1.9,3.2,7.05,1.9,5.4,1.88,9.935,3.25,3.7,11.1,8.19198935707854,8
821,1.0,7.6,2.0,3.0,14.2,5.6000000000000005,5.3,2.125,9.99,3.14,4.6000000000000005,8.9,7.8033217256613625,8
852,1.0,6.4,2.2,3.2,7.2,2.8000000000000003,1.5,0.83,9.93,3.13,5.5,10.9,8.14059080107296,8
901,1.0,6.9,3.5999999999999996,2.8000000000000003,13.55,4.8,5.1,1.89,9.978200000000001,3.0,6.0,9.5,7.372664576088283,7
939,1.0,6.5,3.5999999999999996,2.8000000000000003,3.2,3.7000000000000006,2.9,1.19,9.908,3.25,6.5,12.4,8.100182409730081,8
945,1.0,7.3,6.550000000000001,2.0,10.2,7.1,2.8,2.12,9.971,2.96,5.8,9.2,6.131944224967214,6
961,1.0,7.8,2.9,3.5999999999999996,7.0,4.2,3.8,1.61,9.940999999999999,3.26,3.7,11.2,8.069105033929588,8
1026,1.0,7.1,2.6,4.9,2.2,3.2,3.1,1.13,9.902999999999999,3.37,4.2,12.9,8.455040923929062,9
1037,1.0,7.8,9.65,6.0,65.8,7.400000000000001,0.8,1.6,10.389800000000001,3.39,6.8999999999999995,11.7,5.951878132885923,6
1122,1.0,7.3,1.7000000000000002,2.4,8.1,12.1,3.2,1.62,9.9508,3.17,3.8,10.4,7.908593013648158,8
1165,1.0,6.5,3.5,3.5999999999999996,0.8,3.4000000000000004,3.2,1.11,9.8942,3.11,5.0,12.1,7.7023837292161375,8
1244,1.0,6.9,1.5,2.8000000000000003,4.4,2.9000000000000004,1.4,1.07,9.9347,3.24,4.6000000000000005,10.4,8.007033814749008,8
1248,1.0,7.0,1.5,3.8,2.2,4.7,3.3,0.96,9.928,3.13,3.9000000000000004,10.4,7.70104897394026,8
1283,1.0,7.6,2.1,6.0,2.1,4.6,4.7,1.65,9.936,3.05,5.4,10.1,7.136180140631382,7
1299,1.0,7.6,2.0,3.0,14.2,5.6000000000000005,5.3,2.125,9.99,3.14,4.6000000000000005,8.9,7.8033217256613625,8
1465,1.0,6.7,3.3000000000000003,3.4000000000000004,7.5,3.6000000000000005,3.9,1.24,9.9123,2.99,3.2,12.4,8.110579180864505,8
1487,1.0,7.1,4.699999999999999,2.9,14.8,2.4,2.2,1.42,9.951799999999999,3.12,4.8,12.0,8.240817951043454,8
1491,1.0,8.0,4.5,3.5999999999999996,8.8,2.6,5.0,1.51,9.927,3.07,2.5,12.7,8.167016628076937,8
1501,1.0,6.6,1.9,2.5,1.2,5.2,3.4,1.81,9.9352,3.3,4.2,9.4,7.177566991976676,7
1505,1.0,6.4,1.7000000000000002,3.4000000000000004,1.5,9.1,4.2,1.35,9.938,3.25,4.9,9.6,7.227591591370526,7
1550,1.0,6.3,3.2,3.5,11.1,3.9,2.9,1.98,9.984,3.36,5.0,9.4,7.146217270412393,7
1564,1.0,5.9,2.7,2.9,11.4,3.6000000000000005,3.1,1.15,9.949,3.35,4.8,10.5,8.306650010707415,8
1569,1.0,7.3,2.5,3.5999999999999996,13.1,5.0,3.5,2.0,9.986,3.04,4.6000000000000005,8.9,7.261429884399973,7
1571,1.0,7.3,1.9,2.7,13.9,5.7,4.5,1.55,9.9807,2.94,4.1,8.8,7.708204693026687,8
1596,1.0,7.6,2.0,3.0,14.2,5.6000000000000005,5.3,2.125,9.99,3.14,4.6000000000000005,8.9,7.8033217256613625,8
1616,1.0,7.1,4.699999999999999,2.9,14.8,2.4,2.2,1.42,9.951799999999999,3.12,4.8,12.0,8.240817951043454,8
1626,1.0,6.6,2.1,3.8,2.2,2.6,4.0,1.04,9.914,3.25,4.0,11.1,8.007155088996115,8
1627,1.0,8.1,1.7000000000000002,4.4,14.1,5.3,4.3,1.45,10.006,3.28,7.5,8.8,8.16433835238729,8
1677,1.0,6.4,2.2,3.2,7.2,2.8000000000000003,1.5,0.83,9.93,3.13,5.5,10.9,8.14059080107296,8
1740,1.0,6.6,2.1,6.0,1.1,13.5,6.1,1.44,9.927,3.12,3.9000000000000004,9.3,6.816175116850246,7
1822,1.0,6.9,1.5,2.8000000000000003,4.4,2.9000000000000004,1.4,1.07,9.9347,3.24,4.6000000000000005,10.4,8.007033814749008,8
1829,1.0,6.4,4.4,4.4,14.4,4.8,2.9,2.28,9.9955,3.26,5.4,8.8,6.681130722089591,7
1845,1.0,6.7,2.8000000000000003,3.1,7.4,4.1000000000000005,0.7,0.81,9.9254,3.04,4.699999999999999,11.4,8.009687313275322,8
1893,1.0,6.6,3.5999999999999996,2.9,1.6,2.1,2.4,0.85,9.8965,3.41,6.1,12.4,8.455265108770703,9
1931,1.0,6.7,2.4,3.0,3.85,4.2,10.5,1.79,9.9189,3.04,5.8999999999999995,11.3,8.06884668435191,8
1988,1.0,7.1,2.5,3.9000000000000004,2.1,3.6000000000000005,3.0,1.24,9.908,3.28,4.3,12.2,8.192457455052164,8
2062,1.0,6.5,4.4,4.9,7.7,4.5,1.6,1.69,9.957,3.11,3.7,8.7,6.285936307530534,6
2105,1.0,7.3,2.5,3.5999999999999996,13.1,5.0,3.5,2.0,9.986,3.04,4.6000000000000005,8.9,7.261429884399973,7
2110,1.0,7.3,4.1,2.9,1.8,3.2,2.6,0.74,9.8889,2.96,3.5,13.0,7.963823441027387,8
2121,1.0,7.9,2.8000000000000003,4.1,2.0,4.3999999999999995,5.0,1.52,9.934,3.45,4.9,10.7,7.9561895310914394,8
2155,1.0,7.6,2.0,3.0,14.2,5.6000000000000005,5.3,2.125,9.99,3.14,4.6000000000000005,8.9,7.8033217256613625,8
2199,1.0,7.0,5.300000000000001,4.3,6.1,2.9000000000000004,0.6,0.76,9.9118,3.08,5.0,12.5,7.67899093623592,8
2293,1.0,5.4,5.300000000000001,1.6,2.7,3.6000000000000005,3.4,1.28,9.8856,3.2,5.300000000000001,13.2,7.746108959237517,8
