,Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,y_pred,y_act
5,1.0,7.0,0.12,0.29,10.3,0.039,41.0,98.0,0.99564,3.19,0.38,9.8,7.794894453127398,8
25,1.0,6.2,0.28,0.22,7.3,0.041,26.0,157.0,0.9957,3.44,0.64,9.8,7.129618311224448,7
44,1.0,6.8,0.18,0.3,12.8,0.062,19.0,171.0,0.99808,3.0,0.52,9.0,6.859866551472322,7
101,1.0,6.7,0.21,0.49,1.4,0.047,30.0,114.0,0.9914,2.92,0.42,10.8,7.139963788844597,7
108,1.0,7.3,0.25,0.36,2.1,0.034,30.0,177.0,0.99085,3.25,0.4,11.9,7.975489320551844,8
120,1.0,6.9,0.18,0.36,1.3,0.036000000000000004,40.0,117.0,0.9934,3.27,0.95,9.5,7.151741126659857,7
143,1.0,7.2,0.25,0.28,14.4,0.055,55.0,205.0,0.9986,3.12,0.38,9.0,7.032925479203641,7
153,1.0,8.0,0.23,0.35,9.2,0.044,53.0,186.0,0.997,3.09,0.56,9.5,7.1406544312615665,7
155,1.0,7.0,0.12,0.29,10.3,0.039,41.0,98.0,0.99564,3.19,0.38,9.8,7.794894453127398,8
157,1.0,6.5,0.18,0.34,1.6,0.04,43.0,148.0,0.9912,3.32,0.59,11.5,7.919840958340274,8
191,1.0,7.4,0.19,0.3,12.8,0.053,48.5,229.0,0.9986,3.14,0.49,9.1,7.056624643140054,7
228,1.0,7.0,0.36,0.32,10.05,0.045,37.0,131.0,0.99352,3.09,0.33,11.7,7.841423022498134,8
285,1.0,8.0,0.22,0.42,14.6,0.044,45.0,163.0,1.0003,3.21,0.69,8.6,7.054784322925144,7
287,1.0,7.2,0.35,0.25,5.6,0.032,23.0,120.0,0.99334,2.93,0.66,10.3,7.028638354909276,7
293,1.0,6.4,0.5,0.2,2.4,0.059,19.0,112.0,0.99314,3.18,0.4,9.2,6.238621692981155,6
314,1.0,7.3,0.21,0.29,1.6,0.034,29.0,118.0,0.9917,3.3,0.5,11.0,7.85549943913955,8
318,1.0,5.8,0.315,0.27,1.55,0.026,15.0,70.0,0.98994,3.37,0.4,11.9,7.854429966113969,8
347,1.0,7.1,0.26,0.34,14.4,0.067,35.0,189.0,0.9986,3.07,0.53,9.1,6.927901223091453,7
368,1.0,5.4,0.46,0.15,2.1,0.026,29.0,130.0,0.98953,3.39,0.77,13.4,7.956081753995562,8
408,1.0,6.2,0.22,0.49,6.0,0.029,31.0,128.0,0.9928,3.41,0.36,11.3,7.859977157243748,8
426,1.0,7.2,0.32,0.24,5.6,0.033,23.0,120.0,0.99334,2.92,0.66,10.3,7.091539185906271,7
460,1.0,6.4,0.15,0.36,1.8,0.034,43.0,150.0,0.9922,3.42,0.69,11.0,7.800381714335714,8
