,Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,y_pred,y_act
12,1.0,7.2,2.1,3.5999999999999996,15.7,4.5,6.8,1.83,9.9922,3.25,7.6,9.4,4.986122349788928,5
62,1.0,6.2,2.9,2.9,5.6,4.6,3.5,1.78,9.9313,3.25,5.1,10.5333333333,4.966900256411321,5
91,1.0,6.8,2.1,6.2,6.4,4.1000000000000005,0.7,1.13,9.9358,2.96,5.8999999999999995,10.2,4.998136619125631,5
94,1.0,7.5,2.9,3.5999999999999996,15.7,5.0,2.9,1.24,9.968,3.06,5.4,10.4,5.059370604273084,5
125,1.0,6.2,2.5,5.4,7.0,4.6,5.8,1.76,9.9454,3.19,7.0,10.4,5.075872837180185,5
165,1.0,6.9,2.9,3.2,5.8,4.0,1.6,1.12,9.93,3.04,5.8,11.2,4.96676180227044,5
233,1.0,7.4,2.2,2.8000000000000003,9.0,4.6,2.2,1.21,9.9468,3.1,5.5,10.8,5.018829258691937,5
258,1.0,9.4,2.9,5.5,2.2,5.0,1.7,1.19,9.962,3.12,6.8999999999999995,10.3,4.084096489604832,4
261,1.0,7.2,1.7000000000000002,4.1,1.6,5.2,2.4,1.26,9.9228,3.19,4.9,10.8,4.907082456330414,5
265,1.0,6.6,2.1,3.4000000000000004,5.6,4.6,3.0,1.4,9.9299,3.22,3.8,11.0,5.019270779438784,5
339,1.0,6.0,1.4000000000000001,3.7,1.2,3.2,6.3,1.48,9.9185,3.32,4.4,11.2,5.101198476734652,5
352,1.0,5.6,3.4000000000000004,2.5,2.5,4.6,4.7,1.82,9.9093,3.21,4.0,11.3,5.009276083392024,5
375,1.0,8.0,2.3000000000000003,4.1,1.1,4.8,3.5,1.5,9.9168,3.09,4.699999999999999,11.2,4.892434442980374,5
383,1.0,6.9,1.9,3.3000000000000003,1.6,4.3,6.3,1.49,9.925,3.44,5.2,10.8,4.955111381981538,5
424,1.0,6.8,7.3,2.0,6.6,5.4,2.5,0.65,9.9324,3.12,2.8000000000000003,11.1,3.917322112591563,4
476,1.0,8.8,2.7,2.5,5.0,2.4,5.2,0.99,9.925,2.87,4.9,11.4,4.8994283324180685,5
542,1.0,6.7,5.4,2.7,7.1,4.9,0.8,1.78,9.9502,3.16,3.8,9.4,4.052984361441531,4
544,1.0,7.1,2.6,3.0,2.0,3.1,1.3,1.28,9.917,3.19,4.9,11.4,4.916235143129313,5
551,1.0,7.6,2.5,12.3,4.6,3.5000000000000004,5.1,2.94,9.9018,3.03,4.3,13.1,5.906886828685288,6
670,1.0,7.6,2.1,4.9,2.5,4.7,2.0,1.3,9.9178,3.15,4.8,11.1,5.022963983103153,5
702,1.0,6.9,1.9,3.3000000000000003,1.6,4.3,6.3,1.49,9.925,3.44,5.2,10.8,4.955111381981538,5
707,1.0,6.6,2.4,2.8000000000000003,1.8,2.8000000000000003,3.9,1.32,9.9182,3.34,4.6000000000000005,11.4,4.950806319885544,5
826,1.0,5.0,6.1,1.2,1.3,0.9000000000000001,6.5,1.0,9.874,3.26,3.7,13.5,5.141534093123624,5
845,1.0,6.6,3.3000000000000003,3.2,15.6,5.4,6.2,2.27,9.9734,3.25,5.6000000000000005,10.4,5.11065873192419,5
850,1.0,5.9,6.550000000000001,0.0,5.6,3.3000000000000003,0.8,0.31,9.936,3.32,5.1,10.5,3.977527290732951,4
894,1.0,9.2,3.5,3.9000000000000004,0.9,4.2,1.5,0.61,9.924,2.96,2.8000000000000003,10.4,4.122436072400546,4
912,1.0,6.9,2.6,4.9,1.6,5.800000000000001,3.9,1.66,9.965,3.65,5.2,9.4,4.045311730757817,4
948,1.0,8.0,3.2,2.6,1.2,5.0,1.15,0.88,9.946,3.24,3.7,9.5,3.8799102064539,4
952,1.0,7.4,2.7,2.8000000000000003,1.8,4.0,4.5,1.21,9.904300000000001,3.02,4.0,11.9,5.066445811853498,5
1040,1.0,6.8,1.7999999999999998,4.6000000000000005,1.4,6.4,3.7,1.6,9.924,3.37,4.5,11.1,4.95747558414152,5
1079,1.0,7.5,2.3000000000000003,3.5999999999999996,7.0,3.6000000000000005,4.3,1.61,9.938,3.04,3.2,11.0,4.898908983124187,5
1098,1.0,6.0,1.4000000000000001,3.7,1.2,3.2,6.3,1.48,9.9185,3.32,4.4,11.2,5.101198476734652,5
