,Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,y_pred,y_act
134,1.0,5.8,2.8000000000000003,1.7999999999999998,1.2,5.800000000000001,0.7,1.08,9.928799999999999,3.23,5.8,9.55,4.078858362288557,4
181,1.0,8.8,3.5,4.9,1.0,3.6000000000000005,1.4,0.56,9.92,2.96,3.3000000000000003,10.5,3.8452683788804762,4
237,1.0,8.5,2.0,4.0,1.1,4.6,3.1,1.06,9.9194,3.0,3.5,10.5,4.232007847925615,4
249,1.0,8.2,2.6,4.4,1.3,4.6,0.7,0.69,9.943999999999999,3.14,6.2,10.2,3.8077519303271288,4
250,1.0,6.3,3.8,1.7000000000000002,8.8,8.0,5.0,2.12,9.9803,3.47,6.6000000000000005,9.4,3.8175453112845616,4
267,1.0,7.2,2.7,3.7,5.4,2.6,2.7,1.14,9.917399999999999,3.13,8.4,12.7,4.977019064971628,5
301,1.0,6.4,2.7,1.9,2.0,8.4,2.1,1.91,9.951600000000001,3.49,6.3,9.6,3.886108694910405,4
358,1.0,6.4,3.4000000000000004,2.0,14.9,6.0,3.7,1.62,9.983,3.13,4.5,9.0,4.153674197434825,4
389,1.0,5.5,1.9,2.7,0.9,4.0,5.2,1.03,9.9026,3.5,3.9000000000000004,11.2,4.926305089230922,5
420,1.0,7.6,3.3000000000000003,3.5999999999999996,2.1,3.4000000000000004,2.6,1.72,9.943999999999999,3.42,4.8,10.5,3.8420770472582007,4
421,1.0,6.2,2.55,2.4,1.7,3.9,13.85,2.72,9.9452,3.53,5.300000000000001,9.6,4.205521464765823,4
585,1.0,8.5,1.7999999999999998,3.0,1.1,2.8000000000000003,3.4,0.95,9.927200000000001,2.83,3.5999999999999996,10.0,4.0358699321901526,4
603,1.0,6.2,2.3499999999999996,3.4000000000000004,1.9,3.6000000000000005,0.4,1.17,9.9032,3.4,4.4,12.2,4.923400511828788,5
646,1.0,6.6,2.2,3.7,1.6,4.0,3.1,1.01,9.9009,3.15,6.6000000000000005,12.0,4.9824572790057715,5
814,1.0,6.7,3.1,3.2,14.5,3.8,0.6,0.79,9.9412,3.14,3.4000000000000004,12.5,5.137945902091275,5
875,1.0,7.0,2.4,1.7999999999999998,1.3,4.6,0.9,0.62,9.94,3.38,4.699999999999999,10.1,3.878139114824023,4
902,1.0,9.8,2.5,7.4,10.0,5.6000000000000005,3.6,2.25,9.977,3.06,4.3,10.0,4.0464231347975925,4
996,1.0,7.1,2.1,2.8000000000000003,2.7,3.4000000000000004,2.3,1.11,9.9405,3.35,6.4,10.2,4.15061542617417,4
1005,1.0,6.9,3.0,3.0,1.3,5.3,2.4,1.86,9.9361,3.29,5.4,9.9,3.9659689068178636,4
1021,1.0,6.4,2.1,3.4000000000000004,16.05,4.0,5.6,1.42,9.9678,3.11,3.8,10.6,5.00917305417353,5
1048,1.0,8.5,2.2,3.4000000000000004,0.7,4.0,0.5,0.25,9.918,3.04,3.7,10.5,4.053421775651387,4
1085,1.0,6.1,2.0,4.0,1.9,2.8000000000000003,3.2,1.38,9.914,3.26,7.199999999999999,11.7,4.933460794309823,5
1092,1.0,6.4,3.4000000000000004,2.0,14.9,6.0,3.7,1.62,9.983,3.13,4.5,9.0,4.153674197434825,4
1097,1.0,5.2,4.050000000000001,1.5,1.45,3.8,1.0,0.44,9.9125,3.52,4.0,11.6,4.336553786449912,4
1099,1.0,6.9,3.3000000000000003,3.1,7.7,4.0,2.9,1.35,9.922600000000001,3.11,5.699999999999999,12.3,4.890341539425549,5
1121,1.0,5.8,2.7,2.0,14.95,4.3999999999999995,2.2,1.79,9.962,3.37,3.7,10.2,4.772836529913903,5
1195,1.0,6.3,2.0,3.7,11.8,4.5,5.8,1.3,9.9519,3.2,3.5,10.8,4.982267421631192,5
1257,1.0,6.9,3.0,3.5999999999999996,4.5,5.4,3.1,2.03,9.9513,3.4,5.699999999999999,10.4,4.133735107924267,4
1295,1.0,6.6,3.5,1.9,10.5,6.0,1.5,0.82,9.9588,3.13,3.8,9.9,4.1401480033377,4
1318,1.0,5.5,1.7999999999999998,2.2,5.5,3.7000000000000006,1.0,0.86,9.9156,3.46,4.4,12.2,5.1664038392947305,5
1378,1.0,6.9,2.0,3.4000000000000004,1.9,4.3,2.5,1.36,9.935,3.31,6.0,10.1,4.253013038300793,4
1379,1.0,6.1,3.2,3.7,1.8,5.1,1.3,2.0,9.945,3.49,4.4,10.5,4.057339061798416,4
1441,1.0,6.0,6.15,0.4,0.8,3.2,0.8,0.5,9.9036,3.14,4.0,11.0,3.714763066166114,4
1467,1.0,8.4,1.9,4.2,1.6,4.7,0.9,1.01,9.94,3.06,6.5,11.1,4.1565463417010875,4
1504,1.0,6.2,4.5,2.6,4.4,6.3,6.3,2.06,9.94,3.27,5.2,9.8,3.980350324601929,4
1529,1.0,5.8,2.8000000000000003,2.7,2.6,5.4,3.0,1.56,9.914,3.53,4.2,12.4,4.873801661245722,5
1536,1.0,9.2,1.9,4.2,2.0,4.7,1.6,1.04,9.9517,3.09,6.6000000000000005,10.0,3.7607312775189286,4
