,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
340,1.0,0.45,0.36,0.16,0.5670000000000001,0.174,0.1245,0.225
350,1.0,0.46,0.355,0.14,0.491,0.207,0.115,0.174
425,1.0,0.5,0.41,0.15,0.662,0.2815,0.13699999999999998,0.22
478,1.0,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275
557,1.0,0.415,0.325,0.14,0.417,0.1535,0.1015,0.14400000000000002
558,1.0,0.355,0.265,0.085,0.201,0.069,0.053,0.0695
743,1.0,0.28,0.21,0.08,0.1085,0.041,0.0265,0.0345
771,1.0,0.545,0.385,0.15,1.1185,0.5425,0.2445,0.2845
884,1.0,0.335,0.25,0.075,0.18600000000000005,0.0945,0.038,0.0445
1085,1.0,0.54,0.415,0.145,0.74,0.2635,0.168,0.245
1261,1.0,0.725,0.575,0.175,2.124,0.765,0.4515,0.85
1561,1.0,0.415,0.315,0.12,0.4015,0.199,0.087,0.097
1622,1.0,0.57,0.42,0.155,1.008,0.377,0.193,0.34
1668,1.0,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955
1679,1.0,0.615,0.45,0.15,1.198,0.7070000000000001,0.2095,0.2505
1850,1.0,0.655,0.535,0.205,1.6445,0.7305,0.3595,0.46
1928,1.0,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165
1937,1.0,0.47,0.36,0.13,0.472,0.182,0.114,0.15
1957,1.0,0.535,0.42,0.15,0.6995,0.2575,0.153,0.24
1969,1.0,0.48,0.37,0.13,0.643,0.349,0.1155,0.135
2022,1.0,0.57,0.46,0.17,1.1,0.4125,0.2205,0.38
2096,1.0,0.36,0.27,0.095,0.2,0.073,0.056,0.061
2113,1.0,0.525,0.365,0.17,0.9605,0.438,0.2225,0.276
2115,1.0,0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18
2246,1.0,0.6,0.49,0.21,1.9875,1.005,0.419,0.491
2302,1.0,0.55,0.38,0.165,1.205,0.5429999999999999,0.294,0.3345
2644,1.0,0.425,0.325,0.12,0.3755,0.142,0.1065,0.105
2788,1.0,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115
2848,1.0,0.295,0.215,0.075,0.129,0.05,0.0295,0.04
2924,1.0,0.445,0.33,0.105,0.4525,0.18,0.103,0.123
2938,1.0,0.395,0.305,0.105,0.282,0.0975,0.065,0.096
2997,1.0,0.305,0.225,0.07,0.1485,0.0585,0.0335,0.045
3122,1.0,0.37,0.28,0.1,0.252,0.1065,0.0595,0.07400000000000001
3228,1.0,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55
3395,1.0,0.42,0.32,0.115,0.409,0.2055,0.0935,0.105
3408,1.0,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035
3541,1.0,0.415,0.315,0.1,0.3645,0.1765,0.0795,0.095
3648,1.0,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332
3673,1.0,0.575,0.46,0.19,0.994,0.392,0.2425,0.34
3757,1.0,0.58,0.445,0.15,0.9525,0.4315,0.1945,0.287
