,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
2,1.0,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,8.587588456537256,9
13,1.0,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,8.746370745381999,9
19,1.0,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17,8.870749797788257,9
29,1.0,0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,9.03618881854539,9
40,1.0,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,12.782753885836556,13
51,1.0,0.555,0.44,0.15,1.092,0.416,0.212,0.4405,14.981669118348444,15
60,1.0,0.36,0.265,0.09,0.2065,0.078,0.057,0.06,8.245726852645163,8
67,1.0,0.235,0.17,0.055,0.0515,0.018000000000000002,0.0105,0.0195,6.7097808797342795,7
70,1.0,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355,12.737307622426561,13
73,1.0,0.635,0.505,0.155,1.2895,0.594,0.314,0.345,11.253012133175336,11
75,1.0,0.325,0.25,0.07,0.1745,0.0875,0.0355,0.04,7.2883998905281615,7
85,1.0,0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,11.41382285656415,11
92,1.0,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,16.70257120799082,16
123,1.0,0.465,0.38,0.13,0.454,0.1895,0.08,0.155,10.822012473778091,11
128,1.0,0.52,0.41,0.14,0.6990000000000001,0.3395,0.129,0.1945,10.26420918685557,10
131,1.0,0.58,0.44,0.18,0.8540000000000001,0.3665,0.1635,0.245,12.310755794779434,12
134,1.0,0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,9.359589274595242,9
137,1.0,0.69,0.56,0.215,1.719,0.68,0.299,0.47,16.80858309969387,17
144,1.0,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,10.672604701193944,11
151,1.0,0.39,0.29,0.09,0.2745,0.135,0.0455,0.078,8.240277995264886,8
153,1.0,0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,8.211682516456513,8
183,1.0,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,7.938693963463339,8
184,1.0,0.33,0.225,0.075,0.187,0.0945,0.0395,0.0425,7.077870268713519,7
187,1.0,0.615,0.475,0.175,1.194,0.5589999999999999,0.259,0.3165,11.431091067373027,11
189,1.0,0.555,0.425,0.15,0.873,0.4625,0.1845,0.1965,8.926214721225985,9
200,1.0,0.505,0.39,0.175,0.6920000000000001,0.267,0.15,0.215,12.188131988534202,12
203,1.0,0.475,0.335,0.1,0.4425,0.1895,0.086,0.135,9.45032343407764,9
226,1.0,0.42,0.33,0.125,0.463,0.18600000000000005,0.11,0.145,9.987383782050834,10
229,1.0,0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,11.000015206457178,11
232,1.0,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15.57199768756509,15
244,1.0,0.52,0.385,0.165,0.7909999999999999,0.375,0.18,0.1815,9.795364801030733,10
265,1.0,0.505,0.4,0.13,0.764,0.3035,0.189,0.2175,11.026154377555832,11
269,1.0,0.68,0.58,0.2,1.787,0.585,0.453,0.6,19.322666801016396,19
279,1.0,0.6,0.475,0.155,1.21,0.653,0.1695,0.3205,10.326479262142584,10
285,1.0,0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345,12.971913786701148,13
290,1.0,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,20.841610853427163,21
293,1.0,0.585,0.445,0.14,0.913,0.4305,0.2205,0.253,10.302288450377961,10
305,1.0,0.44,0.305,0.115,0.379,0.162,0.091,0.11,9.045802703017605,9
313,1.0,0.51,0.4,0.12,0.7005,0.34700000000000003,0.1105,0.195,9.925561138634027,10
320,1.0,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,8.712315677124206,9
324,1.0,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,9.859973815793374,10
345,1.0,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11.501467284304336,11
348,1.0,0.565,0.44,0.175,0.8735,0.414,0.21,0.21,10.405836451656636,11
352,1.0,0.435,0.335,0.11,0.38,0.1695,0.086,0.11,9.163180410761848,9
361,1.0,0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,11.550690985910288,12
363,1.0,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10.186778405246002,10
367,1.0,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,12.563724454207682,13
370,1.0,0.595,0.45,0.145,0.959,0.463,0.2065,0.2535,10.33615530594788,10
376,1.0,0.49,0.395,0.14,0.5489999999999999,0.2215,0.1275,0.15,10.716094810502748,11
379,1.0,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,10.33029037512446,10
380,1.0,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,8.693132477551273,9
390,1.0,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8.266018478011459,8
408,1.0,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,12.387605354733584,13
414,1.0,0.665,0.525,0.18,1.429,0.6715,0.29,0.4,12.477082513252183,12
434,1.0,0.55,0.445,0.155,0.9905,0.544,0.17800000000000002,0.218,8.925737853582287,9
451,1.0,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,9.85093105309892,10
453,1.0,0.345,0.27,0.095,0.197,0.0665,0.05,0.07,8.757648545257524,9
455,1.0,0.37,0.285,0.095,0.226,0.1135,0.0515,0.0675,8.084275332065596,8
457,1.0,0.625,0.515,0.165,1.217,0.667,0.2065,0.3115,10.06262101049936,10
459,1.0,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13.263264541404821,13
466,1.0,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,8.971220576336679,9
470,1.0,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,15.67170125891296,16
471,1.0,0.58,0.425,0.145,0.83,0.379,0.1605,0.2575,11.2733552574671,11
488,1.0,0.48,0.38,0.145,0.59,0.232,0.141,0.23,11.680138064138852,12
491,1.0,0.44,0.32,0.105,0.3875,0.1755,0.07400000000000001,0.12,9.14128274208435,9
506,1.0,0.645,0.5,0.225,1.626,0.5870000000000001,0.4055,0.41,15.54586177326276,15
512,1.0,0.635,0.48,0.235,1.064,0.413,0.228,0.36,15.272860430360792,16
516,1.0,0.67,0.545,0.2,1.7025,0.833,0.374,0.41,11.281945930301562,11
519,1.0,0.505,0.375,0.115,0.5895,0.2635,0.12,0.16699999999999998,9.878796442473721,10
532,1.0,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295,13.060126842644308,13
535,1.0,0.615,0.49,0.155,0.9885,0.4145,0.195,0.345,13.502727710027202,13
537,1.0,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,11.645425745660443,12
540,1.0,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11.252437163278803,11
543,1.0,0.53,0.385,0.125,0.6695,0.289,0.151,0.18,10.140109096987239,10
550,1.0,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,9.243051851562731,9
556,1.0,0.695,0.53,0.15,1.477,0.6375,0.3025,0.43,13.44939876359952,14
565,1.0,0.57,0.43,0.12,1.0615,0.348,0.16699999999999998,0.31,14.465232142412649,15
568,1.0,0.515,0.435,0.17,0.631,0.2765,0.111,0.21600000000000005,12.195161978993832,12
569,1.0,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,9.98578936329022,10
575,1.0,0.6,0.495,0.175,1.3005,0.6195,0.284,0.3285,11.218143690784602,11
592,1.0,0.755,0.575,0.2,2.073,1.0135,0.4655,0.48,10.978086063474082,11
593,1.0,0.58,0.445,0.15,0.8865,0.383,0.209,0.255,11.412180919725534,11
600,1.0,0.635,0.48,0.19,1.467,0.5825,0.303,0.42,14.658657936174802,15
626,1.0,0.505,0.385,0.115,0.4825,0.21,0.1035,0.1535,10.118635672413758,10
629,1.0,0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,15.420298020568207,16
641,1.0,0.555,0.45,0.145,0.915,0.4,0.246,0.285,11.249737875403687,11
645,1.0,0.575,0.45,0.16,1.068,0.556,0.214,0.2575,9.600751184069058,10
646,1.0,0.63,0.495,0.16,1.093,0.4970000000000001,0.221,0.315,12.156843615333635,12
653,1.0,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7.2673070920220075,7
659,1.0,0.62,0.48,0.18,1.1305,0.5285,0.2655,0.306,11.389797557665835,12
660,1.0,0.675,0.525,0.16,1.2835,0.5720000000000001,0.2755,0.3545,12.485898158117859,13
676,1.0,0.595,0.46,0.17,1.1295,0.57,0.2555,0.265,9.743320889008613,10
677,1.0,0.55,0.42,0.155,0.912,0.495,0.1805,0.205,8.79136878213857,9
683,1.0,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,8.094730660627327,8
687,1.0,0.54,0.415,0.155,0.7020000000000001,0.322,0.16699999999999998,0.19,10.444892576229774,10
713,1.0,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,8.794012139356239,9
716,1.0,0.385,0.28,0.085,0.2175,0.097,0.038,0.067,8.288284137457811,8
722,1.0,0.615,0.47,0.175,1.242,0.5675,0.287,0.317,11.344559005244436,11
723,1.0,0.585,0.455,0.225,1.055,0.3815,0.221,0.365,15.664933498717751,15
725,1.0,0.56,0.44,0.16,1.1115,0.5035,0.2785,0.26,10.3660623597591,10
726,1.0,0.51,0.395,0.145,0.6185,0.21600000000000005,0.1385,0.24,12.581393874377632,12
730,1.0,0.41,0.31,0.11,0.315,0.124,0.08199999999999999,0.095,9.162394800556685,9
747,1.0,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13.463677703884569,13
