,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
8,1.0,0.295,0.22,0.07,0.1365,0.0575,0.0295,0.035,5.811623451255729,6
10,1.0,0.495,0.375,0.115,0.507,0.241,0.103,0.15,8.021059182628736,8
28,1.0,0.65,0.505,0.19,1.274,0.59,0.23,0.391,10.91857877806909,11
41,1.0,0.565,0.435,0.185,0.9815,0.329,0.136,0.39,12.971304599382808,13
43,1.0,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,8.00551249232359,8
49,1.0,0.595,0.47,0.25,1.283,0.462,0.2475,0.445,13.46103156715373,14
55,1.0,0.315,0.23,0.07,0.16399999999999998,0.0625,0.04,0.045,6.0471587096489925,6
71,1.0,0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345,11.383428570871095,11
76,1.0,0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,9.971438067296097,10
96,1.0,0.65,0.505,0.165,1.16,0.4785,0.274,0.349,10.994518127271437,11
111,1.0,0.57,0.43,0.145,0.833,0.354,0.14400000000000002,0.2815,10.158128199218499,10
119,1.0,0.365,0.275,0.135,0.24,0.108,0.0445,0.0735,7.13079431206936,7
126,1.0,0.66,0.525,0.2,1.463,0.6525,0.2995,0.422,11.254573260604,11
135,1.0,0.53,0.43,0.15,0.741,0.325,0.1855,0.196,8.949273995414924,9
136,1.0,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4.08279923187197,4
156,1.0,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,8.884656811150403,9
163,1.0,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,8.782163402394621,9
174,1.0,0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095,8.980168562838912,9
188,1.0,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245,8.089608710370154,8
194,1.0,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,7.0882060521285775,7
196,1.0,0.55,0.425,0.16,0.7929999999999999,0.343,0.2035,0.215,9.087529217018453,9
