,y_predicted,y_actual,Relative Error
745,6.973875508978342,7,0.0037320701459511796
2393,14.035571844990319,14,0.0025408460707370445
1727,5.9314108057088655,6,0.011431532381855755
3054,7.029492639115909,7,0.004213234159415562
1836,14.071132212852643,14,0.005080872346617328
3069,4.936074954602506,5,0.0127850090794988
2232,6.080030881234352,6,0.01333848020572533
3404,4.898967170411394,5,0.020206565917721166
2883,11.063143351128858,11,0.005740304648077974
2757,9.918682798736183,10,0.008131720126381659
2035,10.037251789557368,10,0.00372517895573683
613,6.983026846264222,7,0.0024247362479682876
3642,4.088785258210715,4,0.022196314552678675
365,7.061965108610586,7,0.008852158372940875
2249,9.048453820369874,9,0.005383757818874852
1774,5.9971057230196525,6,0.00048237949672458313
2978,7.03399337232611,7,0.004856196046587158
2103,9.093886832786206,9,0.010431870309578409
2727,11.971794236465328,12,0.002350480294555979
959,6.926187224743001,7,0.010544682179571321
1929,10.978237234717199,11,0.001978433207527401
2882,12.089335238450072,12,0.007444603204172691
3706,8.048929922155803,8,0.006116240269475437
438,9.945131986729645,10,0.005486801327035451
3752,13.035834051772826,13,0.0027564655209865773
2617,9.778668124570629,10,0.022133187542937093
1020,4.011354157265829,4,0.002838539316457167
3044,7.05242293498621,7,0.007488990712315743
1425,4.919594907710903,5,0.016081018457819417
2213,12.84184829246481,13,0.012165515964245362
865,4.035214271713542,4,0.008803567928385547
2807,7.986269933487476,8,0.0017162583140655219
194,7.0678297362774805,7,0.009689962325354351
1004,5.945420162395909,6,0.009096639600681891
1901,12.137912424283954,12,0.011492702023662815
450,12.886832379248974,13,0.008705201596232798
2906,11.011336806881515,11,0.0010306188074104097
424,5.940839388800388,6,0.009860101866602022
1862,7.978120388952347,8,0.002734951380956585
3355,11.760476473866671,12,0.019960293844444088
2956,15.65389908397267,16,0.021631307251708143
2433,4.055740653652245,4,0.013935163413061336
2243,8.055042016681547,8,0.0068802520851933835
3722,10.99163882193109,11,0.0007601070971736073
887,5.921202426477489,6,0.013132928920418507
1466,13.840393504092479,14,0.011400463993394385
2058,7.024756886659284,7,0.003536698094183396
1454,6.045210846686005,6,0.007535141114334139
2304,13.89646517473637,14,0.007395344661687834
1375,16.894990641509203,17,0.0061770210876939385
2136,6.062747688135138,6,0.010457948022523015
3279,4.016806242048252,4,0.004201560512063107
2777,9.037007185556362,9,0.004111909506262477
661,13.470967005680393,13,0.036228231206184076
1676,15.894060747010435,16,0.00662120331184779
3570,15.261553325793805,15,0.017436888386253693
2820,5.962441519639695,6,0.006259746726717512
2889,6.000077486704193,6,1.2914450698768102e-05
3230,11.062922919919934,11,0.005720265447266761
1878,6.927557638370088,7,0.010348908804273194
1588,4.961174821397756,5,0.007765035720448843
55,5.985685902885187,6,0.002385682852468799
2566,14.26664040747703,14,0.01904574339121647
1320,9.035599218494415,9,0.0039554687216016605
136,4.069017704933681,4,0.017254426233420217
1329,5.018330835019613,5,0.003666167003922638
3410,10.077201358722789,10,0.007720135872278888
3384,7.997803412546675,8,0.00027457343166559234
1215,11.045679017207686,11,0.004152637927971431
2844,8.02704943550267,8,0.003381179437833781
3253,4.951160365069464,5,0.009767926986107156
874,9.922899612250264,10,0.007710038774973604
2440,5.933834896391665,6,0.011027517268055842
