,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
0,1.0,0.52,0.395,0.135,0.633,0.2985,0.1295,0.175
1,1.0,0.565,0.445,0.15,0.7959999999999999,0.3635,0.184,0.219
2,1.0,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145
3,1.0,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065
4,1.0,0.685,0.545,0.18,1.768,0.7495,0.392,0.485
5,1.0,0.66,0.565,0.195,1.7605,0.6920000000000001,0.3265,0.5
6,1.0,0.725,0.56,0.185,1.7919999999999998,0.873,0.3670000000000001,0.435
7,1.0,0.655,0.55,0.18,1.274,0.586,0.281,0.365
8,1.0,0.6,0.47,0.16,1.012,0.441,0.2015,0.305
9,1.0,0.425,0.345,0.125,0.425,0.16,0.0795,0.154
10,1.0,0.49,0.39,0.135,0.59,0.215,0.125,0.1845
11,1.0,0.64,0.475,0.175,1.1545,0.4865,0.341,0.28800000000000003
12,1.0,0.505,0.41,0.125,0.642,0.289,0.133,0.155
13,1.0,0.55,0.425,0.16,0.97,0.2885,0.139,0.48
14,1.0,0.71,0.565,0.2,1.601,0.706,0.321,0.45
15,1.0,0.35,0.26,0.09,0.198,0.0725,0.056,0.06
16,1.0,0.58,0.425,0.15,0.8440000000000001,0.3645,0.185,0.2705
17,1.0,0.585,0.46,0.15,1.0035,0.503,0.2105,0.2515
18,1.0,0.62,0.49,0.17,1.2105,0.5185,0.2555,0.335
19,1.0,0.27,0.205,0.075,0.118,0.059,0.031,0.0305
20,1.0,0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355
21,1.0,0.495,0.37,0.125,0.4775,0.185,0.0705,0.16899999999999998
22,1.0,0.475,0.36,0.145,0.6325,0.2825,0.13699999999999998,0.19
23,1.0,0.64,0.53,0.165,1.1895,0.4765,0.3,0.35
24,1.0,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105
25,1.0,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855
26,1.0,0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135
27,1.0,0.29,0.225,0.075,0.152,0.071,0.059,0.045
28,1.0,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315
29,1.0,0.375,0.295,0.11,0.3005,0.1255,0.0575,0.1035
30,1.0,0.485,0.375,0.11,0.464,0.2015,0.09,0.149
31,1.0,0.655,0.53,0.19,1.4280000000000002,0.493,0.318,0.565
32,1.0,0.6,0.46,0.18,1.14,0.423,0.2575,0.365
33,1.0,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305
34,1.0,0.61,0.45,0.19,1.0805,0.517,0.2495,0.2935
35,1.0,0.51,0.37,0.21,1.183,0.508,0.292,0.343
36,1.0,0.475,0.375,0.14,0.501,0.192,0.1175,0.175
37,1.0,0.58,0.425,0.155,0.873,0.3615,0.249,0.239
38,1.0,0.56,0.445,0.165,1.0285,0.4535,0.253,0.275
39,1.0,0.695,0.515,0.175,1.5165,0.578,0.4105,0.39
40,1.0,0.66,0.525,0.2,1.489,0.6065,0.3795,0.421
41,1.0,0.585,0.465,0.165,0.885,0.4025,0.1625,0.274
42,1.0,0.52,0.425,0.165,0.9885,0.396,0.225,0.32
43,1.0,0.495,0.375,0.115,0.6245,0.282,0.14300000000000002,0.155
44,1.0,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161
45,1.0,0.55,0.42,0.13,0.636,0.294,0.14400000000000002,0.1755
46,1.0,0.545,0.43,0.155,0.8035,0.409,0.14400000000000002,0.228
47,1.0,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425
48,1.0,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135
49,1.0,0.505,0.385,0.12,0.6005,0.239,0.142,0.185
50,1.0,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325
51,1.0,0.55,0.445,0.155,0.9905,0.544,0.17800000000000002,0.218
52,1.0,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255
53,1.0,0.625,0.495,0.185,1.3835,0.7105,0.3005,0.345
54,1.0,0.525,0.4,0.125,0.6965,0.369,0.1385,0.16399999999999998
55,1.0,0.57,0.445,0.15,0.9875,0.504,0.207,0.249
56,1.0,0.615,0.5,0.165,1.327,0.6,0.3015,0.355
57,1.0,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355
58,1.0,0.56,0.45,0.16,1.0235,0.429,0.268,0.3
59,1.0,0.69,0.525,0.2,1.7825,0.9165,0.3325,0.461
60,1.0,0.28,0.22,0.08,0.1315,0.066,0.024,0.03
61,1.0,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475
62,1.0,0.615,0.45,0.15,1.198,0.7070000000000001,0.2095,0.2505
63,1.0,0.47,0.36,0.13,0.5225,0.198,0.1065,0.165
64,1.0,0.48,0.35,0.105,0.635,0.35200000000000004,0.127,0.135
65,1.0,0.415,0.315,0.12,0.4015,0.199,0.087,0.097
66,1.0,0.62,0.485,0.175,1.271,0.531,0.3075,0.37
67,1.0,0.565,0.455,0.13,1.058,0.439,0.2645,0.3
68,1.0,0.51,0.385,0.135,0.632,0.282,0.145,0.17
69,1.0,0.595,0.48,0.165,1.262,0.4835,0.28300000000000003,0.41
70,1.0,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1
71,1.0,0.625,0.455,0.17,1.082,0.4955,0.2345,0.315
72,1.0,0.56,0.42,0.14,0.8370000000000001,0.414,0.214,0.2
73,1.0,0.33,0.265,0.09,0.18,0.068,0.036000000000000004,0.06
74,1.0,0.61,0.5,0.18,1.4380000000000002,0.5185,0.3735,0.3345
75,1.0,0.615,0.475,0.175,1.103,0.4635,0.3095,0.2725
76,1.0,0.615,0.47,0.145,1.0285,0.4435,0.2825,0.285
77,1.0,0.645,0.51,0.155,1.129,0.5015,0.24,0.342
78,1.0,0.17,0.125,0.055,0.0235,0.009000000000000001,0.0055,0.008
79,1.0,0.43,0.33,0.095,0.32,0.118,0.065,0.123
80,1.0,0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555
81,1.0,0.455,0.355,0.105,0.3720000000000001,0.138,0.0765,0.135
82,1.0,0.465,0.35,0.11,0.4085,0.165,0.102,0.131
83,1.0,0.65,0.51,0.185,1.375,0.531,0.384,0.3985
84,1.0,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345
85,1.0,0.435,0.335,0.11,0.383,0.1555,0.0675,0.135
86,1.0,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335
87,1.0,0.665,0.525,0.155,1.3575,0.5325,0.3045,0.4485
88,1.0,0.56,0.44,0.135,0.8025,0.35,0.1615,0.259
89,1.0,0.575,0.44,0.125,0.8515,0.4555,0.1715,0.1965
90,1.0,0.685,0.505,0.19,1.533,0.667,0.4055,0.41
91,1.0,0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855
92,1.0,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115
93,1.0,0.375,0.28,0.085,0.3155,0.187,0.046,0.067
94,1.0,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585
95,1.0,0.46,0.365,0.115,0.511,0.2365,0.118,0.123
96,1.0,0.3,0.23,0.095,0.1385,0.056,0.0365,0.037000000000000005
97,1.0,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102
98,1.0,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375
99,1.0,0.535,0.42,0.13,0.6990000000000001,0.3125,0.1565,0.2035
100,1.0,0.68,0.54,0.19,1.6230000000000002,0.7165,0.354,0.4715
101,1.0,0.195,0.15,0.045,0.0375,0.018000000000000002,0.006,0.011
102,1.0,0.525,0.4,0.155,0.7070000000000001,0.282,0.1605,0.225
103,1.0,0.59,0.445,0.135,0.7715,0.328,0.1745,0.23
104,1.0,0.54,0.41,0.145,0.989,0.2815,0.213,0.355
105,1.0,0.525,0.39,0.105,0.5670000000000001,0.2875,0.1075,0.16
106,1.0,0.52,0.4,0.11,0.597,0.2935,0.1155,0.16
107,1.0,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048
108,1.0,0.585,0.45,0.15,0.997,0.4055,0.28300000000000003,0.251
109,1.0,0.45,0.35,0.13,0.46,0.174,0.111,0.135
110,1.0,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39
111,1.0,0.425,0.325,0.11,0.317,0.135,0.048,0.09
112,1.0,0.275,0.2,0.065,0.092,0.0385,0.0235,0.027000000000000003
113,1.0,0.605,0.45,0.195,1.098,0.481,0.2895,0.315
114,1.0,0.545,0.43,0.13,0.7595,0.358,0.153,0.2055
115,1.0,0.66,0.53,0.17,1.3259999999999998,0.519,0.2625,0.44
116,1.0,0.67,0.52,0.175,1.4755,0.6275,0.379,0.374
117,1.0,0.68,0.54,0.195,1.7825,0.5565,0.3235,0.4285
118,1.0,0.43,0.31,0.13,0.6485,0.2735,0.163,0.184
119,1.0,0.57,0.445,0.145,0.8775,0.412,0.217,0.22
120,1.0,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381
121,1.0,0.62,0.5,0.15,1.293,0.596,0.3135,0.354
122,1.0,0.63,0.485,0.185,1.167,0.5479999999999999,0.2485,0.34
123,1.0,0.59,0.475,0.155,0.857,0.35600000000000004,0.174,0.28
