,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
41,1.0,0.565,0.435,0.185,0.9815,0.329,0.136,0.39,12.900615819275885,13
55,1.0,0.315,0.23,0.07,0.16399999999999998,0.0625,0.04,0.045,5.986719677365347,6
119,1.0,0.365,0.275,0.135,0.24,0.108,0.0445,0.0735,7.056193066684584,7
136,1.0,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4.06700949507251,4
188,1.0,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245,8.03093173813791,8
194,1.0,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,7.059682008227157,7
262,1.0,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,3.886456208739682,4
287,1.0,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,11.684099704547958,12
438,1.0,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,9.941180213809272,10
450,1.0,0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,12.895823692681969,13
611,1.0,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,7.105981147055868,7
613,1.0,0.375,0.27,0.135,0.597,0.272,0.131,0.1675,6.948522922015048,7
657,1.0,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,8.991611721793479,9
661,1.0,0.605,0.45,0.165,1.2225,0.35700000000000004,0.202,0.385,13.446206926614206,13
745,1.0,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07,6.9595374223145825,7
865,1.0,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006,4.040860000031287,4
874,1.0,0.54,0.415,0.17,0.879,0.339,0.208,0.255,9.911838445980301,10
887,1.0,0.295,0.215,0.085,0.128,0.049,0.034,0.04,5.908825928502293,6
959,1.0,0.345,0.27,0.11,0.2135,0.08199999999999999,0.0545,0.07,6.91103402353738,7
1016,1.0,0.35,0.265,0.09,0.197,0.073,0.0365,0.077,6.93514864967619,7
1095,1.0,0.515,0.42,0.15,0.6725,0.2555,0.1335,0.235,10.17415961706715,10
1215,1.0,0.52,0.42,0.16,0.745,0.255,0.157,0.2885,11.037967895164247,11
1241,1.0,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,16.765273868071283,16
1320,1.0,0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065,9.034305715570667,9
1323,1.0,0.565,0.45,0.165,0.9765,0.322,0.244,0.37,11.952382827177345,12
1329,1.0,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,5.01403992539093,5
1375,1.0,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,16.811889575961484,17
1425,1.0,0.21,0.17,0.045,0.0475,0.019,0.011,0.013,4.9244682839948934,5
1447,1.0,0.675,0.555,0.205,1.925,0.713,0.358,0.4535,13.39746464782856,13
1454,1.0,0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425,6.044034085087878,6
1461,1.0,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9.140114388624719,9
1466,1.0,0.76,0.575,0.19,1.829,0.7035,0.386,0.56,13.855314152177675,14
1490,1.0,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15.237014330471972,15
1567,1.0,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,6.071445311520382,6
1588,1.0,0.245,0.175,0.055,0.0785,0.04,0.018000000000000002,0.02,4.957646151294525,5
1676,1.0,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545,15.908457800654782,16
1727,1.0,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042,5.921310808748327,6
1746,1.0,0.565,0.45,0.185,0.9285,0.302,0.1805,0.265,11.626852300634859,12
1774,1.0,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,5.995776307076698,6
