,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
2,1.0,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,8.80687086775999,9
13,1.0,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,9.01569282327753,9
40,1.0,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,13.224382248081616,13
50,1.0,0.615,0.5,0.205,1.1055,0.4445,0.227,0.39,15.55935830111655,16
51,1.0,0.555,0.44,0.15,1.092,0.416,0.212,0.4405,15.239267221832062,15
56,1.0,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,11.577303772770769,12
67,1.0,0.235,0.17,0.055,0.0515,0.018000000000000002,0.0105,0.0195,6.716290629532929,7
70,1.0,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355,13.116442071196582,13
88,1.0,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,11.653931613604305,12
97,1.0,0.545,0.41,0.12,0.7929999999999999,0.434,0.1405,0.19,8.92572521100859,9
123,1.0,0.465,0.38,0.13,0.454,0.1895,0.08,0.155,11.262954332592255,11
137,1.0,0.69,0.56,0.215,1.719,0.68,0.299,0.47,17.366865735415033,17
144,1.0,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,11.052439116336576,11
183,1.0,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,8.104494341525584,8
184,1.0,0.33,0.225,0.075,0.187,0.0945,0.0395,0.0425,7.142736922926736,7
200,1.0,0.505,0.39,0.175,0.6920000000000001,0.267,0.15,0.215,12.52460956956384,12
206,1.0,0.575,0.47,0.165,0.853,0.292,0.179,0.35,15.58677407867396,16
226,1.0,0.42,0.33,0.125,0.463,0.18600000000000005,0.11,0.145,10.263473225104335,10
244,1.0,0.52,0.385,0.165,0.7909999999999999,0.375,0.18,0.1815,10.07379637445119,10
284,1.0,0.665,0.505,0.16,1.2915,0.631,0.2925,0.32,10.855680525086566,11
290,1.0,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,20.95002587772554,21
305,1.0,0.44,0.305,0.115,0.379,0.162,0.091,0.11,9.216035836997838,9
320,1.0,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,8.995516995759454,9
348,1.0,0.565,0.44,0.175,0.8735,0.414,0.21,0.21,10.817848698706456,11
361,1.0,0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,12.034602821707274,12
367,1.0,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,12.974770890583798,13
376,1.0,0.49,0.395,0.14,0.5489999999999999,0.2215,0.1275,0.15,11.171026984238917,11
380,1.0,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,8.977558047605232,9
408,1.0,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,12.76348224928338,13
448,1.0,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,10.705458546952054,11
451,1.0,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10.159286402828762,10
453,1.0,0.345,0.27,0.095,0.197,0.0665,0.05,0.07,8.983205702221182,9
466,1.0,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9.192038834976008,9
470,1.0,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,15.998541824805919,16
488,1.0,0.48,0.38,0.145,0.59,0.232,0.141,0.23,11.990415031093388,12
512,1.0,0.635,0.48,0.235,1.064,0.413,0.228,0.36,15.637920348605645,16
519,1.0,0.505,0.375,0.115,0.5895,0.2635,0.12,0.16699999999999998,10.201933357581876,10
526,1.0,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398,10.848679401752012,11
532,1.0,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295,13.480815146901229,13
537,1.0,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,12.13279507430631,12
548,1.0,0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745,8.675503281771807,9
556,1.0,0.695,0.53,0.15,1.477,0.6375,0.3025,0.43,13.85755703484015,14
565,1.0,0.57,0.43,0.12,1.0615,0.348,0.16699999999999998,0.31,14.871087521698762,15
599,1.0,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,8.752151960344115,9
600,1.0,0.635,0.48,0.19,1.467,0.5825,0.303,0.42,14.959441044840764,15
629,1.0,0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,15.852811547299952,16
645,1.0,0.575,0.45,0.16,1.068,0.556,0.214,0.2575,9.976588087853955,10
653,1.0,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7.341663221976098,7
659,1.0,0.62,0.48,0.18,1.1305,0.5285,0.2655,0.306,11.777671091556682,12
660,1.0,0.675,0.525,0.16,1.2835,0.5720000000000001,0.2755,0.3545,12.970732444640886,13
670,1.0,0.345,0.255,0.1,0.197,0.071,0.051,0.06,8.622191595493076,9
676,1.0,0.595,0.46,0.17,1.1295,0.57,0.2555,0.265,10.107070885979917,10
677,1.0,0.55,0.42,0.155,0.912,0.495,0.1805,0.205,9.131645194404346,9
713,1.0,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,9.011801489768647,9
752,1.0,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,11.824159243014567,12
754,1.0,0.505,0.4,0.125,0.77,0.2735,0.159,0.255,12.855856778127967,13
758,1.0,0.57,0.47,0.155,1.186,0.6355,0.2315,0.277,9.612259275196612,10
766,1.0,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,10.751535439019605,11
768,1.0,0.295,0.215,0.075,0.116,0.037000000000000005,0.0295,0.04,7.7549807884541835,8
776,1.0,0.575,0.45,0.135,0.8715,0.45,0.162,0.225,10.233461777582537,10
797,1.0,0.475,0.375,0.125,0.588,0.237,0.1715,0.155,10.23541687117055,10
814,1.0,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,9.875385887079332,10
830,1.0,0.61,0.47,0.165,1.1785,0.5660000000000001,0.2785,0.294,10.764280362254356,11
836,1.0,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,12.60994827587654,13
839,1.0,0.385,0.285,0.085,0.244,0.1215,0.0445,0.068,8.222503989318188,8
854,1.0,0.63,0.485,0.165,1.233,0.6565,0.2315,0.3035,10.146145522023067,10
936,1.0,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,16.7871978576471,17
943,1.0,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,12.98303356377805,13
948,1.0,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,16.250938985378227,16
960,1.0,0.605,0.475,0.19,1.1255,0.59,0.247,0.26,10.176259389657432,10
967,1.0,0.595,0.455,0.155,1.041,0.416,0.2105,0.365,14.06674564885345,14
974,1.0,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,13.565655291130183,14
985,1.0,0.525,0.405,0.16,0.792,0.316,0.1455,0.28,13.164266022385444,13
1047,1.0,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,9.021805629278454,9
1051,1.0,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,10.944581057293982,11
1052,1.0,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,14.083681429996894,14
1094,1.0,0.41,0.3,0.1,0.301,0.124,0.069,0.09,9.084905435362723,9
1103,1.0,0.505,0.385,0.15,0.6415,0.246,0.152,0.215,11.981066009334747,12
1127,1.0,0.54,0.415,0.175,0.8975,0.275,0.241,0.275,14.255269197751714,14
1130,1.0,0.34,0.255,0.095,0.213,0.081,0.034,0.07,8.820878242281744,9
1138,1.0,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,9.660009962049392,10
1152,1.0,0.32,0.23,0.06,0.129,0.0615,0.0275,0.0355,7.218065786605637,7
1167,1.0,0.5,0.405,0.15,0.5965,0.253,0.126,0.185,11.644574741748698,12
1230,1.0,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,13.86444052590485,14
1235,1.0,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,15.937966268246264,16
1246,1.0,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,13.956210833517957,14
1254,1.0,0.68,0.52,0.175,1.543,0.7525,0.35100000000000003,0.374,10.990598552535726,11
1269,1.0,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,19.412001324395547,19
1283,1.0,0.55,0.435,0.16,0.906,0.342,0.219,0.295,13.355284328984215,13
1313,1.0,0.29,0.225,0.07,0.101,0.036000000000000004,0.0235,0.035,7.716651524822952,8
1315,1.0,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12.116703321357711,12
1322,1.0,0.615,0.475,0.165,1.023,0.4905,0.1955,0.3035,12.085552796556698,12
1325,1.0,0.595,0.44,0.135,0.964,0.5005,0.1715,0.2575,10.101287277411853,10
1344,1.0,0.59,0.45,0.185,1.283,0.473,0.276,0.425,15.546160025599846,16
1365,1.0,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11.181402936148574,11
1370,1.0,0.465,0.36,0.125,0.4365,0.16899999999999998,0.1075,0.145,10.719961964710393,11
1374,1.0,0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,11.17300820802788,11
1413,1.0,0.585,0.51,0.16,1.218,0.639,0.241,0.3,10.616160909604293,11
1441,1.0,0.44,0.325,0.11,0.4965,0.258,0.1195,0.1075,8.07237359061767,8
1446,1.0,0.655,0.5,0.22,1.359,0.642,0.3255,0.405,12.776460964953417,13
1473,1.0,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,12.107733769045382,12
1519,1.0,0.27,0.195,0.07,0.106,0.0465,0.018000000000000002,0.036000000000000004,7.2354816829397,7
1521,1.0,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8.045544068027036,8
1538,1.0,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,10.950748489588207,11
1543,1.0,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,12.010959846279363,12
1545,1.0,0.475,0.35,0.115,0.452,0.1715,0.092,0.155,10.802751737302222,11
1546,1.0,0.52,0.405,0.12,0.627,0.2645,0.1415,0.181,10.922282592489807,11
1566,1.0,0.42,0.34,0.125,0.4495,0.165,0.1125,0.14400000000000002,10.697890747083251,11
1581,1.0,0.495,0.38,0.145,0.515,0.175,0.098,0.212,12.80486641194882,13
1597,1.0,0.33,0.26,0.08,0.2,0.0625,0.05,0.07,8.75761415837493,9
1603,1.0,0.37,0.29,0.115,0.25,0.111,0.057,0.075,9.036225143511626,9
1654,1.0,0.455,0.375,0.125,0.458,0.1985,0.111,0.12,10.184477700253302,10
1656,1.0,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26,13.604353412624445,14
1664,1.0,0.435,0.34,0.11,0.407,0.1685,0.073,0.13,10.241378987847224,10
1690,1.0,0.17,0.125,0.055,0.0235,0.009000000000000001,0.0055,0.008,6.0878266184022305,6
1695,1.0,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,10.646875993365713,11
1719,1.0,0.525,0.4,0.115,0.6295,0.2555,0.14400000000000002,0.18,10.943318189929299,11
1748,1.0,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,15.632912806187672,16
1757,1.0,0.46,0.375,0.135,0.4935,0.18600000000000005,0.0845,0.17,11.883058124690033,12
1759,1.0,0.625,0.47,0.145,0.984,0.475,0.2,0.265,11.120014770891276,11
