,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
0,1.0,0.58,0.43,0.13,0.7979999999999999,0.365,0.173,0.2285,9.583513017078875,10
3,1.0,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7.110628056528885,7
4,1.0,0.72,0.565,0.17,1.6130000000000002,0.723,0.3255,0.4945,12.780511312297179,12
5,1.0,0.61,0.465,0.125,0.9225,0.436,0.19,0.26,9.781256067110437,9
8,1.0,0.295,0.22,0.07,0.1365,0.0575,0.0295,0.035,6.395656045504397,6
10,1.0,0.495,0.375,0.115,0.507,0.241,0.103,0.15,8.639905959393941,8
11,1.0,0.54,0.415,0.135,0.7090000000000001,0.3195,0.174,0.185,9.200762565423199,9
12,1.0,0.565,0.43,0.135,0.8545,0.321,0.1775,0.275,11.479927137653668,11
15,1.0,0.29,0.21,0.06,0.1195,0.056,0.0235,0.03,6.044566737227543,6
17,1.0,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,8.611449488241586,9
19,1.0,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17,8.096414602385952,9
22,1.0,0.54,0.435,0.175,0.892,0.322,0.174,0.335,12.940030715516993,13
25,1.0,0.665,0.525,0.18,1.5785,0.6779999999999999,0.229,0.456,13.749833234646067,14
27,1.0,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10.043077470264134,10
28,1.0,0.65,0.505,0.19,1.274,0.59,0.23,0.391,11.904204198344946,11
29,1.0,0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,8.2960105948863,9
31,1.0,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12.5334987017904,12
32,1.0,0.7,0.55,0.175,1.4405,0.6565,0.2985,0.375,11.626131693895505,12
35,1.0,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,12.865697951421804,13
37,1.0,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,8.57254887028774,9
38,1.0,0.405,0.3,0.085,0.3035,0.15,0.0505,0.08800000000000001,7.387254036867242,7
39,1.0,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12.375835872863421,12
42,1.0,0.705,0.535,0.22,1.866,0.929,0.3835,0.4395,10.05123785499528,10
43,1.0,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,8.742147299790846,8
45,1.0,0.62,0.48,0.23,1.0935,0.403,0.245,0.355,13.70212539752885,14
48,1.0,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9.252588094197632,9
49,1.0,0.595,0.47,0.25,1.283,0.462,0.2475,0.445,15.206785265747678,14
53,1.0,0.585,0.475,0.165,1.053,0.458,0.217,0.3,11.27848214989913,11
58,1.0,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,9.836372841928883,10
60,1.0,0.36,0.265,0.09,0.2065,0.078,0.057,0.06,7.284230876254724,8
68,1.0,0.525,0.385,0.1,0.5115,0.246,0.1005,0.1455,8.480778983514353,8
73,1.0,0.635,0.505,0.155,1.2895,0.594,0.314,0.345,10.313284194164432,11
75,1.0,0.325,0.25,0.07,0.1745,0.0875,0.0355,0.04,6.4767227969614725,7
76,1.0,0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,10.879875626358526,10
77,1.0,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,8.645860247313781,8
81,1.0,0.62,0.48,0.17,1.1045,0.535,0.25,0.287,9.775116540494801,10
85,1.0,0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,10.434478223995228,11
91,1.0,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,9.837516406520983,10
92,1.0,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,15.084908427431964,16
96,1.0,0.65,0.505,0.165,1.16,0.4785,0.274,0.349,11.988930325354644,11
100,1.0,0.62,0.485,0.18,1.154,0.4935,0.256,0.315,11.470512058958704,12
101,1.0,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,11.982025117055759,12
103,1.0,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,9.12434134616666,9
108,1.0,0.52,0.405,0.14,0.5775,0.2,0.145,0.179,10.610921334999876,11
109,1.0,0.485,0.355,0.12,0.5085,0.21,0.122,0.135,8.761399270754971,9
115,1.0,0.59,0.45,0.125,0.86,0.4370000000000001,0.1515,0.245,9.27114000627173,9
117,1.0,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9.240205160631048,9
118,1.0,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,8.772437278033088,9
124,1.0,0.455,0.37,0.11,0.514,0.2385,0.1235,0.126,8.286255738709954,8
128,1.0,0.52,0.41,0.14,0.6990000000000001,0.3395,0.129,0.1945,9.28219551653546,10
