,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
498,1.0,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475
533,1.0,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27
605,1.0,0.49,0.39,0.15,0.573,0.225,0.124,0.17
667,1.0,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265
689,1.0,0.8,0.63,0.195,2.526,0.933,0.59,0.62
829,1.0,0.55,0.415,0.135,0.775,0.302,0.179,0.26
1112,1.0,0.58,0.46,0.15,0.9955,0.429,0.212,0.26
1219,1.0,0.31,0.225,0.07,0.1055,0.435,0.015,0.04
1308,1.0,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265
1481,1.0,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255
1682,1.0,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315
1883,1.0,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165
1984,1.0,0.68,0.55,0.175,1.798,0.815,0.3925,0.455
2029,1.0,0.465,0.35,0.13,0.494,0.1945,0.103,0.155
2701,1.0,0.53,0.415,0.145,0.944,0.3845,0.185,0.265
3058,1.0,0.7,0.545,0.13,1.556,0.6725,0.374,0.195
3514,1.0,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205
3598,1.0,0.61,0.49,0.15,1.103,0.425,0.2025,0.36
3731,1.0,0.69,0.515,0.18,1.8445,0.9815,0.4655,0.341
