,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
18,1.0,0.36,0.27,0.085,0.196,0.0875,0.035,0.064
62,1.0,0.605,0.485,0.16,1.2009999999999998,0.417,0.2875,0.38
72,1.0,0.63,0.475,0.15,1.072,0.433,0.2975,0.315
82,1.0,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142
98,1.0,0.58,0.465,0.15,0.9065,0.371,0.1965,0.29
113,1.0,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285
167,1.0,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915
185,1.0,0.645,0.505,0.165,1.307,0.4335,0.262,0.52
212,1.0,0.275,0.195,0.07,0.0875,0.0345,0.022,0.0255
364,1.0,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371
443,1.0,0.495,0.375,0.115,0.6245,0.282,0.14300000000000002,0.155
530,1.0,0.26,0.205,0.07,0.097,0.0415,0.019,0.0305
544,1.0,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276
574,1.0,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365
580,1.0,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17
589,1.0,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077
594,1.0,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36
622,1.0,0.205,0.155,0.045,0.0495,0.0235,0.011,0.014
638,1.0,0.46,0.345,0.115,0.4215,0.1895,0.102,0.111
682,1.0,0.53,0.395,0.145,0.775,0.308,0.16899999999999998,0.255
684,1.0,0.3,0.235,0.08,0.131,0.05,0.0265,0.043
699,1.0,0.595,0.475,0.16,1.1405,0.547,0.231,0.271
757,1.0,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175
786,1.0,0.645,0.51,0.19,1.4745,0.605,0.345,0.48
863,1.0,0.455,0.375,0.12,0.4970000000000001,0.2355,0.1055,0.1295
882,1.0,0.635,0.51,0.185,1.308,0.544,0.318,0.377
899,1.0,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119
926,1.0,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595
980,1.0,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4
1005,1.0,0.645,0.49,0.16,1.144,0.5015,0.289,0.319
1009,1.0,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055
1013,1.0,0.325,0.23,0.09,0.147,0.06,0.034,0.045
1025,1.0,0.645,0.52,0.175,1.561,0.7090000000000001,0.3555,0.4
