,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
341,1.0,0.355,0.27,0.075,0.204,0.3045,0.046,0.0595,6.38192044664925,7
778,1.0,0.57,0.435,0.14,0.8085,0.3235,0.183,0.22,16.12070155979701,16
801,1.0,0.31,0.235,0.06,0.12,0.0415,0.033,0.04,10.829591102822889,11
963,1.0,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,12.89668942082754,13
1202,1.0,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15.248539356809896,15
1378,1.0,0.725,0.575,0.24,2.21,1.351,0.413,0.5015,12.20426130147765,13
1405,1.0,0.49,0.385,0.115,0.6829999999999999,0.3265,0.1615,0.165,13.011555014515574,13
1651,1.0,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13.303598913491006,13
1934,1.0,0.385,0.305,0.095,0.252,0.0915,0.055,0.09,13.7142263193793,14
2164,1.0,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,18.70938231178515,19
2240,1.0,0.485,0.38,0.14,0.6729999999999999,0.2175,0.13,0.195,17.860325345752063,18
2329,1.0,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,18.127663900575538,18
2640,1.0,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,15.14872278662591,15
2758,1.0,0.52,0.395,0.18,0.64,0.158,0.11,0.245,21.789830934854375,22
2819,1.0,0.5,0.38,0.155,0.655,0.2405,0.14300000000000002,0.205,17.27372398074842,17
3179,1.0,0.445,0.345,0.14,0.476,0.2055,0.1015,0.1085,14.889339130392251,15
3647,1.0,0.56,0.455,0.125,0.943,0.344,0.129,0.375,21.072966451937067,21
3650,1.0,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434,10.945977491108152,11
3702,1.0,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,19.057165978579278,19
