,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
82,1.0,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142
364,1.0,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371
443,1.0,0.495,0.375,0.115,0.6245,0.282,0.14300000000000002,0.155
574,1.0,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365
594,1.0,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36
682,1.0,0.53,0.395,0.145,0.775,0.308,0.16899999999999998,0.255
684,1.0,0.3,0.235,0.08,0.131,0.05,0.0265,0.043
757,1.0,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175
882,1.0,0.635,0.51,0.185,1.308,0.544,0.318,0.377
980,1.0,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4
1013,1.0,0.325,0.23,0.09,0.147,0.06,0.034,0.045
1237,1.0,0.215,0.15,0.055,0.041,0.015,0.009000000000000001,0.0125
1363,1.0,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555
1394,1.0,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765
1418,1.0,0.575,0.45,0.155,0.948,0.429,0.206,0.259
1670,1.0,0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995
1698,1.0,0.62,0.46,0.17,1.127,0.535,0.2635,0.29600000000000004
1858,1.0,0.51,0.4,0.125,0.545,0.261,0.115,0.1385
1871,1.0,0.625,0.49,0.175,1.1075,0.4485,0.2165,0.3595
1880,1.0,0.5,0.39,0.125,0.5215,0.2485,0.117,0.131
1887,1.0,0.69,0.54,0.185,1.71,0.7725,0.3855,0.4325
1924,1.0,0.575,0.465,0.195,0.9965,0.417,0.247,0.47
2002,1.0,0.41,0.32,0.095,0.2905,0.141,0.063,0.073
2089,1.0,0.725,0.55,0.22,2.0495,0.7735,0.4405,0.655
2208,1.0,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03
2385,1.0,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214
2485,1.0,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575
2785,1.0,0.42,0.32,0.115,0.376,0.16899999999999998,0.092,0.1
3011,1.0,0.58,0.435,0.15,0.8390000000000001,0.3485,0.207,0.192
3021,1.0,0.53,0.41,0.14,0.6809999999999999,0.3095,0.1415,0.1835
3048,1.0,0.44,0.34,0.105,0.369,0.16399999999999998,0.08,0.1015
3293,1.0,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935
3344,1.0,0.7,0.6,0.23,2.003,0.8105,0.4045,0.5755
3372,1.0,0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355
3555,1.0,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01
3626,1.0,0.315,0.235,0.075,0.1285,0.051,0.028,0.0405
3740,1.0,0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147
