,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
7,1.0,0.635,0.505,0.185,1.3035,0.501,0.295,0.41,16.851912264236546,17
14,1.0,0.675,0.505,0.16,1.5319999999999998,0.74,0.35700000000000004,0.3815,11.328445180662321,11
26,1.0,0.375,0.28,0.095,0.2225,0.0875,0.043,0.08,10.06754520040695,10
30,1.0,0.61,0.485,0.145,1.3305,0.7829999999999999,0.2255,0.2865,8.390597497990736,9
36,1.0,0.29,0.225,0.075,0.152,0.071,0.059,0.045,8.453891809170631,9
47,1.0,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13.462031252730267,13
52,1.0,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,8.871505533907776,9
56,1.0,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,12.39256222307606,12
88,1.0,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,12.674349346182023,12
97,1.0,0.545,0.41,0.12,0.7929999999999999,0.434,0.1405,0.19,9.409781817281722,9
99,1.0,0.465,0.34,0.11,0.34600000000000003,0.1425,0.073,0.113,10.681251087038884,11
112,1.0,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14.1464401446166,14
120,1.0,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425,14.939216543122082,16
125,1.0,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,19.770945860128364,20
129,1.0,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155,10.28377491364007,10
157,1.0,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,12.686426536407394,12
166,1.0,0.6,0.465,0.155,1.0165,0.512,0.2465,0.225,10.394338811365717,10
169,1.0,0.635,0.5,0.18,1.3119999999999998,0.529,0.2485,0.485,17.70474593803993,18
171,1.0,0.52,0.41,0.17,0.8705,0.3735,0.219,0.25,13.004488914554035,14
177,1.0,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25,13.530762898859205,13
190,1.0,0.67,0.55,0.155,1.5659999999999998,0.858,0.339,0.354,9.577675475414024,10
193,1.0,0.66,0.525,0.205,1.3665,0.5005,0.29100000000000004,0.41,18.1133057380534,18
195,1.0,0.69,0.55,0.2,1.8465,0.732,0.472,0.57,17.840430875704236,19
205,1.0,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,11.660790418907187,11
218,1.0,0.63,0.5,0.16,1.22,0.4905,0.3,0.345,14.641547215245124,14
223,1.0,0.575,0.455,0.185,1.156,0.5525,0.243,0.295,12.668561582420011,13
248,1.0,0.58,0.475,0.135,0.925,0.391,0.165,0.275,14.052557167711466,14
252,1.0,0.63,0.53,0.175,1.4135,0.667,0.2945,0.3555,13.597139219426202,13
284,1.0,0.665,0.505,0.16,1.2915,0.631,0.2925,0.32,11.42357586062986,11
288,1.0,0.595,0.475,0.17,1.0965,0.419,0.229,0.35,16.082924764144806,17
291,1.0,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,18.496180036039167,20
320,1.0,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,9.427886743165288,9
339,1.0,0.74,0.595,0.19,2.3235,1.1495,0.5115,0.505,11.490854877922768,11
356,1.0,0.395,0.295,0.095,0.2245,0.078,0.054000000000000006,0.08,10.266474827927196,10
358,1.0,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13.283312296822782,13
366,1.0,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,11.382835429252555,11
369,1.0,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371,14.566581671677344,14
372,1.0,0.55,0.425,0.16,0.97,0.2885,0.139,0.48,20.125397376086717,20
374,1.0,0.555,0.42,0.14,0.868,0.33,0.243,0.21,12.291490360927291,13
398,1.0,0.63,0.47,0.15,1.1355,0.539,0.2325,0.3115,12.048654666942868,12
410,1.0,0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,11.267591272068396,12
423,1.0,0.455,0.345,0.125,0.44,0.16899999999999998,0.1065,0.135,11.500210397132907,12
439,1.0,0.73,0.57,0.165,2.0165,1.0685,0.418,0.435,9.373271018560102,10
465,1.0,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,15.984611870193056,17
497,1.0,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19.705510976189505,19
511,1.0,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,12.834787341327903,13
523,1.0,0.75,0.55,0.18,1.893,0.942,0.397,0.445,11.172119614829274,11
526,1.0,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398,11.554002303205186,11
556,1.0,0.695,0.53,0.15,1.477,0.6375,0.3025,0.43,14.637620407828457,14
562,1.0,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,8.990587548551499,9
563,1.0,0.57,0.445,0.145,0.7405,0.306,0.172,0.1825,12.435445426032516,12
573,1.0,0.47,0.345,0.115,0.4885,0.2005,0.108,0.166,11.290101098326979,11
577,1.0,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,16.615272671444885,18
585,1.0,0.64,0.51,0.175,1.368,0.515,0.266,0.57,19.71250355111978,21
625,1.0,0.33,0.25,0.09,0.197,0.085,0.041,0.0605,9.394445076301558,10
627,1.0,0.525,0.43,0.125,0.813,0.3315,0.166,0.1775,12.356828707476353,12
639,1.0,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,15.452454526164205,15
642,1.0,0.495,0.39,0.15,0.853,0.3285,0.189,0.27,13.98557500766442,14
649,1.0,0.425,0.305,0.11,0.359,0.173,0.0875,0.0975,9.423672521472334,9
654,1.0,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,14.595761311992394,15
663,1.0,0.375,0.3,0.1,0.2465,0.104,0.0475,0.083,10.447345523681049,11
664,1.0,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15.817780392279824,15
681,1.0,0.575,0.42,0.135,0.857,0.461,0.147,0.2125,9.854165906557068,10
704,1.0,0.605,0.435,0.13,0.9025,0.4320000000000001,0.174,0.26,11.252714430107744,11
708,1.0,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,10.321177083519867,10
718,1.0,0.5,0.385,0.12,0.6335,0.2305,0.125,0.235,13.484753288019217,14
733,1.0,0.585,0.47,0.165,1.409,0.8,0.229,0.295,9.287052941488156,10
742,1.0,0.75,0.61,0.235,2.5085,1.232,0.519,0.612,14.084388391852464,14
758,1.0,0.57,0.47,0.155,1.186,0.6355,0.2315,0.277,10.596669160512693,10
779,1.0,0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,15.876621863079663,15
791,1.0,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,9.437330512179777,10
798,1.0,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12.563281459054947,12
818,1.0,0.445,0.33,0.12,0.34700000000000003,0.12,0.084,0.105,11.225709659180636,11
