,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
21,1.0,0.0,0.0,0.495,0.37,0.125,0.4775,0.185,0.0705,0.16899999999999998
155,1.0,1.0,0.0,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225
162,1.0,0.0,0.0,0.53,0.42,0.185,0.752,0.299,0.156,0.205
198,1.0,1.0,0.0,0.49,0.36,0.11,0.5005,0.161,0.107,0.195
264,1.0,0.0,0.0,0.52,0.39,0.14,0.7325,0.2415,0.14400000000000002,0.26
292,1.0,1.0,0.0,0.52,0.4,0.13,0.6245,0.215,0.2065,0.17
432,1.0,0.0,1.0,0.455,0.365,0.095,0.514,0.2245,0.101,0.15
448,1.0,0.0,1.0,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535
460,1.0,1.0,0.0,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43
474,1.0,1.0,0.0,0.58,0.46,0.15,0.9955,0.429,0.212,0.26
483,1.0,1.0,0.0,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475
496,1.0,1.0,0.0,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265
571,1.0,0.0,1.0,0.61,0.49,0.15,1.103,0.425,0.2025,0.36
750,1.0,1.0,0.0,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335
776,1.0,0.0,1.0,0.515,0.4,0.14,0.7365,0.2955,0.184,0.185
786,1.0,1.0,0.0,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595
800,1.0,0.0,1.0,0.5,0.38,0.155,0.66,0.2655,0.1365,0.215
882,1.0,0.0,0.0,0.45,0.35,0.14,0.474,0.21,0.109,0.1275
885,1.0,1.0,0.0,0.68,0.55,0.175,1.798,0.815,0.3925,0.455
915,1.0,0.0,0.0,0.455,0.33,0.1,0.3720000000000001,0.358,0.0775,0.11
935,1.0,1.0,0.0,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165
968,1.0,1.0,0.0,0.8,0.63,0.195,2.526,0.933,0.59,0.62
1005,1.0,0.0,1.0,0.69,0.515,0.18,1.8445,0.9815,0.4655,0.341
1247,1.0,1.0,0.0,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195
1271,1.0,0.0,0.0,0.525,0.41,0.175,0.8740000000000001,0.3585,0.207,0.205
1288,1.0,1.0,0.0,0.6,0.475,0.18,1.162,0.511,0.2675,0.32
1298,1.0,1.0,0.0,0.55,0.415,0.135,0.775,0.302,0.179,0.26
1316,1.0,0.0,1.0,0.565,0.45,0.115,0.9085,0.398,0.197,0.29
1328,1.0,1.0,0.0,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17
1364,1.0,0.0,1.0,0.31,0.235,0.06,0.12,0.0415,0.033,0.04
