,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
198,1.0,1.0,0.0,0.49,0.36,0.11,0.5005,0.161,0.107,0.195
264,1.0,0.0,0.0,0.52,0.39,0.14,0.7325,0.2415,0.14400000000000002,0.26
750,1.0,1.0,0.0,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335
786,1.0,1.0,0.0,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595
915,1.0,0.0,0.0,0.455,0.33,0.1,0.3720000000000001,0.358,0.0775,0.11
1288,1.0,1.0,0.0,0.6,0.475,0.18,1.162,0.511,0.2675,0.32
1364,1.0,0.0,1.0,0.31,0.235,0.06,0.12,0.0415,0.033,0.04
1404,1.0,0.0,1.0,0.63,0.515,0.16,1.016,0.4215,0.244,0.355
1566,1.0,0.0,0.0,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725
2046,1.0,1.0,0.0,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445
2061,1.0,0.0,1.0,0.43,0.33,0.095,0.34,0.1315,0.085,0.112
2081,1.0,1.0,0.0,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4
2197,1.0,0.0,0.0,0.43,0.34,0.0,0.428,0.2065,0.086,0.115
2199,1.0,0.0,1.0,0.725,0.575,0.24,2.21,1.351,0.413,0.5015
2284,1.0,0.0,1.0,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3
2356,1.0,1.0,0.0,0.525,0.405,0.115,0.72,0.3105,0.1915,0.2
2476,1.0,0.0,0.0,0.5,0.385,0.155,0.762,0.3795,0.161,0.19
3249,1.0,0.0,0.0,0.485,0.38,0.14,0.6729999999999999,0.2175,0.13,0.195
3333,1.0,0.0,0.0,0.385,0.305,0.095,0.252,0.0915,0.055,0.09
3350,1.0,1.0,0.0,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435
3428,1.0,0.0,1.0,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46
3729,1.0,1.0,0.0,0.565,0.455,0.15,0.8205,0.365,0.159,0.26
