,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
21,1.0,0.495,0.37,0.125,0.4775,0.185,0.0705,0.16899999999999998
155,1.0,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225
162,1.0,0.53,0.42,0.185,0.752,0.299,0.156,0.205
198,1.0,0.49,0.36,0.11,0.5005,0.161,0.107,0.195
432,1.0,0.455,0.365,0.095,0.514,0.2245,0.101,0.15
882,1.0,0.45,0.35,0.14,0.474,0.21,0.109,0.1275
885,1.0,0.68,0.55,0.175,1.798,0.815,0.3925,0.455
1316,1.0,0.565,0.45,0.115,0.9085,0.398,0.197,0.29
1710,1.0,0.6,0.47,0.155,1.036,0.4375,0.196,0.325
1722,1.0,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06
2066,1.0,0.31,0.225,0.07,0.1055,0.435,0.015,0.04
2648,1.0,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05
