,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
0,1.0,0.0,0.0,0.52,0.395,0.135,0.633,0.2985,0.1295,0.175,8.729151801647316,9.0
20,1.0,0.0,0.0,0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355,8.607449481142146,9.0
24,1.0,0.0,1.0,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9.406668896982623,9.0
34,1.0,0.0,1.0,0.61,0.45,0.19,1.0805,0.517,0.2495,0.2935,10.482043892222384,10.0
37,1.0,1.0,0.0,0.58,0.425,0.155,0.873,0.3615,0.249,0.239,10.207864454444303,10.0
51,1.0,1.0,0.0,0.55,0.445,0.155,0.9905,0.544,0.17800000000000002,0.218,8.640538845936993,9.0
57,1.0,1.0,0.0,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,10.43141652588861,10.0
62,1.0,0.0,1.0,0.615,0.45,0.15,1.198,0.7070000000000001,0.2095,0.2505,7.122606789089129,7.0
65,1.0,0.0,1.0,0.415,0.315,0.12,0.4015,0.199,0.087,0.097,8.344046301151074,8.0
67,1.0,1.0,0.0,0.565,0.455,0.13,1.058,0.439,0.2645,0.3,10.456949784779281,10.0
72,1.0,0.0,0.0,0.56,0.42,0.14,0.8370000000000001,0.414,0.214,0.2,7.820565772749969,8.0
80,1.0,0.0,1.0,0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555,9.234864658685186,9.0
81,1.0,0.0,0.0,0.455,0.355,0.105,0.3720000000000001,0.138,0.0765,0.135,8.86348864366727,9.0
84,1.0,0.0,1.0,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,11.78235533524012,12.0
91,1.0,0.0,0.0,0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855,8.856565633201924,9.0
98,1.0,1.0,0.0,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,9.638509728445744,10.0
100,1.0,0.0,1.0,0.68,0.54,0.19,1.6230000000000002,0.7165,0.354,0.4715,12.458224433749743,12.0
