,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
261,1.0,0.225,0.17,0.05,0.0515,0.019,0.012,0.017,4.07752087394419,4
413,1.0,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6.017170413258555,6
547,1.0,0.385,0.29,0.1,0.2575,0.1,0.061,0.086,6.033442765986489,6
691,1.0,0.22,0.16,0.05,0.049,0.0215,0.01,0.015,3.9233631106871294,4
735,1.0,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,5.0625540925675265,5
774,1.0,0.14,0.105,0.035,0.014,0.0055,0.0025,0.004,3.0891623007366857,3
796,1.0,0.385,0.28,0.125,0.244,0.102,0.038,0.085,6.023579000242104,6
912,1.0,0.575,0.465,0.175,1.099,0.4735,0.202,0.35,8.931583965520577,9
1017,1.0,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,5.053885445030588,5
1216,1.0,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,6.020314643536751,6
1789,1.0,0.815,0.65,0.25,2.255,0.8905,0.42,0.7975,14.019276132053387,14
1794,1.0,0.325,0.25,0.055,0.166,0.076,0.051,0.045,5.003805088273599,5
1910,1.0,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,11.943669386252669,12
2046,1.0,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04,4.965406338467183,5
2531,1.0,0.73,0.55,0.205,1.908,0.5415,0.3565,0.5965,14.03515912464828,14
2685,1.0,0.46,0.345,0.11,0.3755,0.1525,0.058,0.125,7.06693460577836,7
2710,1.0,0.375,0.29,0.1,0.219,0.0925,0.038,0.075,5.972245186459311,6
2722,1.0,0.225,0.17,0.07,0.0565,0.024,0.013,0.016,4.04206937863843,4
3023,1.0,0.385,0.3,0.1,0.2725,0.1115,0.057,0.08,6.022530757900482,6
3164,1.0,0.3,0.23,0.075,0.15,0.0605,0.042,0.045,4.913637342592136,5
3474,1.0,0.3,0.225,0.075,0.1345,0.057,0.028,0.044,4.9259473504786175,5
3729,1.0,0.225,0.165,0.055,0.059,0.027000000000000003,0.0125,0.015,3.9535553543890587,4
