,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
36,1.0,0.475,0.375,0.14,0.501,0.192,0.1175,0.175,13.087870786427114,13.0
215,1.0,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,16.874616786530837,17.0
273,1.0,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,17.90127459242425,18.0
457,1.0,0.515,0.425,0.14,0.7659999999999999,0.304,0.1725,0.255,14.06815755796328,14.0
634,1.0,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,9.075257507298879,9.0
717,1.0,0.475,0.365,0.13,0.4805,0.1905,0.114,0.1475,12.088906277751356,12.0
802,1.0,0.53,0.415,0.16,0.7829999999999999,0.2935,0.158,0.245,15.008074354454953,15.0
830,1.0,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,11.032139941709364,11.0
1214,1.0,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,16.04372999631888,16.0
1512,1.0,0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,11.993897792973156,12.0
1545,1.0,0.45,0.36,0.125,0.45,0.191,0.0865,0.145,12.011619633762406,12.0
1619,1.0,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,9.959717459926084,10.0
1634,1.0,0.54,0.405,0.125,0.8909999999999999,0.4815,0.1915,0.202,9.037408827929927,9.0
1636,1.0,0.63,0.48,0.15,1.271,0.6605,0.2425,0.31,10.943026101327824,11.0
1674,1.0,0.475,0.365,0.1,0.1315,0.2025,0.0875,0.123,6.889314574640308,7.0
1725,1.0,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15.075988751371968,15.0
1897,1.0,0.45,0.355,0.115,0.4385,0.184,0.108,0.1125,10.890759154128318,11.0
2045,1.0,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,10.90340114978178,11.0
2221,1.0,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,15.95425645755315,16.0
2564,1.0,0.67,0.52,0.165,1.39,0.711,0.2865,0.3,11.045944610322936,11.0
2604,1.0,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,16.91186456084516,17.0
2754,1.0,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,20.050030462183713,20.0
2826,1.0,0.465,0.36,0.105,0.452,0.22,0.159,0.1035,8.919917362792942,9.0
2862,1.0,0.39,0.31,0.1,0.302,0.116,0.064,0.115,10.974562116468189,11.0
2922,1.0,0.19,0.13,0.03,0.0295,0.0155,0.015,0.01,6.022715968522224,6.0
3012,1.0,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,13.060488854939802,13.0
3061,1.0,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,9.856687716864615,10.0
3092,1.0,0.58,0.44,0.125,0.7855,0.363,0.1955,0.195,10.948782817196168,11.0
3114,1.0,0.635,0.505,0.17,1.415,0.605,0.297,0.365,14.946506639734,15.0
3130,1.0,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,8.775425217785335,9.0
3164,1.0,0.62,0.485,0.17,1.208,0.4805,0.3045,0.33,14.950593272973439,15.0
3252,1.0,0.625,0.495,0.16,1.234,0.6335,0.192,0.35,13.077029882971296,13.0
3380,1.0,0.635,0.51,0.175,1.2125,0.5735,0.261,0.36,14.12916292743932,14.0
3470,1.0,0.255,0.195,0.065,0.08,0.0315,0.018000000000000002,0.027000000000000003,8.054064117557095,8.0
3664,1.0,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,12.9134815093766,13.0
3696,1.0,0.375,0.28,0.095,0.2225,0.0875,0.043,0.08,10.103317192441036,10.0
3700,1.0,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,12.11711704150554,12.0
