,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
101,1.0,0.195,0.15,0.045,0.0375,0.018000000000000002,0.006,0.011,3.175185920442287,3.0
143,1.0,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,5.706051666289224,6.0
339,1.0,0.205,0.155,0.045,0.0495,0.0235,0.011,0.014,3.1911547735258776,3.0
381,1.0,0.66,0.475,0.18,1.3695,0.6409999999999999,0.294,0.335,5.899920165705551,6.0
383,1.0,0.26,0.205,0.07,0.097,0.0415,0.019,0.0305,3.900861202420092,4.0
500,1.0,0.53,0.41,0.14,0.6809999999999999,0.3095,0.1415,0.1835,5.984790781657983,6.0
531,1.0,0.315,0.235,0.075,0.1285,0.051,0.028,0.0405,4.205967491622469,4.0
584,1.0,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,6.906863958109884,7.0
718,1.0,0.3,0.235,0.08,0.131,0.05,0.0265,0.043,4.342310203793433,4.0
779,1.0,0.3,0.215,0.05,0.1185,0.048,0.0225,0.042,3.880802779399418,4.0
842,1.0,0.595,0.475,0.16,1.1405,0.547,0.231,0.271,6.114480072705295,6.0
854,1.0,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,5.465757598243043,6.0
908,1.0,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,8.040770825587732,8.0
940,1.0,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,5.1372661142904175,5.0
965,1.0,0.455,0.355,1.13,0.594,0.332,0.116,0.1335,8.064677114068484,8.0
1015,1.0,0.7,0.6,0.23,2.003,0.8105,0.4045,0.5755,9.89879526189867,10.0
1036,1.0,0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355,6.854725213541867,7.0
1112,1.0,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12.212886936303274,12.0
1207,1.0,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009000000000000001,2.9094026233131234,3.0
1241,1.0,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36,8.619624371059889,8.0
1259,1.0,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,4.864912220043431,5.0
1279,1.0,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365,6.136952515662201,6.0
1378,1.0,0.44,0.34,0.105,0.369,0.16399999999999998,0.08,0.1015,5.279585665488131,5.0
1390,1.0,0.625,0.49,0.175,1.1075,0.4485,0.2165,0.3595,8.003486626893366,8.0
1464,1.0,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,10.084791536970144,10.0
1594,1.0,0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147,5.8430630184218995,6.0
1600,1.0,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,2.9069480343927085,3.0
1698,1.0,0.585,0.45,0.125,0.8740000000000001,0.3545,0.2075,0.225,6.703278533645518,6.0
1730,1.0,0.67,0.525,0.2,1.7405,0.6205,0.297,0.657,10.833455594732616,11.0
1752,1.0,0.42,0.32,0.115,0.376,0.16899999999999998,0.092,0.1,4.983834469086798,5.0
1795,1.0,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935,9.921559919412964,10.0
1908,1.0,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,3.0292623522453854,3.0
1916,1.0,0.575,0.465,0.195,0.9965,0.417,0.247,0.47,8.020086755520516,8.0
1947,1.0,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,3.1498657245582193,3.0
2349,1.0,0.635,0.51,0.185,1.308,0.544,0.318,0.377,7.697320769846496,8.0
2422,1.0,0.165,0.12,0.05,0.021,0.0075,0.0045,0.014,2.921070402978072,3.0
2568,1.0,0.72,0.525,0.18,1.445,0.631,0.3215,0.435,7.365344340362307,7.0
2578,1.0,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,5.504933462619295,6.0
2628,1.0,0.635,0.5,0.18,1.154,0.4405,0.2315,0.387,8.591289783159262,9.0
2735,1.0,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,3.981317469295847,4.0
2746,1.0,0.425,0.325,0.1,0.398,0.1185,0.0645,0.0945,5.988822187177391,6.0
2846,1.0,0.53,0.395,0.145,0.775,0.308,0.16899999999999998,0.255,6.555418964231489,7.0
2857,1.0,0.75,0.615,0.205,2.2635,0.821,0.423,0.726,11.89659807018421,12.0
3008,1.0,0.725,0.55,0.22,2.0495,0.7735,0.4405,0.655,9.954752920600733,10.0
3011,1.0,0.325,0.23,0.09,0.147,0.06,0.034,0.045,4.106653479211095,4.0
3154,1.0,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8.283266793383143,8.0
3193,1.0,0.375,0.29,0.095,0.213,0.096,0.041,0.061,4.781726248298634,5.0
3313,1.0,0.24,0.175,0.065,0.0665,0.031,0.0135,0.017,3.422387270137188,3.0
3383,1.0,0.275,0.195,0.07,0.0875,0.0345,0.022,0.0255,3.6759250550529434,4.0
3438,1.0,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,5.929616842516243,6.0
3452,1.0,0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995,7.854397624081743,8.0
3670,1.0,0.215,0.15,0.055,0.041,0.015,0.009000000000000001,0.0125,3.177187227879492,3.0
3702,1.0,0.63,0.51,0.17,1.1885,0.4915,0.3065,0.348,7.61633818120736,7.0
