,y_predicted,y_actual,Relative Error
1779,17.304488308839698,17.0,0.017911076990570464
2855,15.238663286352736,15.0,0.01591088575684907
3472,19.113804509976013,18.0,0.06187802833200075
958,13.605873348501301,13.0,0.04660564219240781
292,14.831916165518653,15.0,0.011205588965423155
2899,19.179530035384982,19.0,0.009448949230788517
3739,16.180276695439787,16.0,0.011267293464986672
615,10.101907522822302,10.0,0.010190752282230164
3245,12.19276517569105,12.0,0.01606376464092089
1786,15.217967916708991,14.0,0.08699770833635652
2403,16.653585404683536,17.0,0.020377329136262584
3040,18.501318328391683,19.0,0.026246403768858784
2476,13.75754055589093,14.0,0.017318531722076407
1316,14.925465110986291,17.0,0.12203146405962993
2527,13.961259200920598,14.0,0.0027671999342430303
3427,17.957409176296096,18.0,0.0023661568724391044
955,19.709237068695252,19.0,0.037328266773434315
2797,16.563942133187155,16.0,0.03524638332419716
198,15.281576275973476,17.0,0.10108374847214845
968,23.16142870358158,23.0,0.00701863928615571
350,16.44640991642069,16.0,0.027900619776293212
1426,15.012115084921566,14.0,0.07229393463725474
1209,10.746830804672411,10.0,0.07468308046724115
2178,13.953291283760358,13.0,0.07333009875079674
2356,13.423643516852106,14.0,0.04116832022484956
1498,10.173453135045222,10.0,0.017345313504522154
1182,12.98862813691559,13.0,0.0008747586988007491
3490,10.674683570344017,11.0,0.029574220877816613
2334,11.028219834789267,10.0,0.10282198347892671
3453,16.000494403550597,15.0,0.06669962690337314
3567,20.39119020931037,20.0,0.019559510465518494
104,20.124455213342493,19.0,0.05918185333381543
2553,11.622531717486059,11.0,0.056593792498732594
3099,18.838231204074955,19.0,0.008514147153949755
3514,14.011664011296585,13.0,0.07782030856127574
1482,14.658747631120562,15.0,0.022750157925295868
3041,11.469213138824637,11.0,0.04265573989314882
1578,13.217995357204778,13.0,0.016768873631136764
888,12.70197466748494,12.0,0.05849788895707834
3690,15.39845761865605,15.0,0.026563841243736636
2462,11.643099955126871,12.0,0.029741670406094062
2697,15.236643851712856,15.0,0.015776256780857048
1901,15.179616486899265,17.0,0.10708138312357264
1095,15.063207954345218,14.0,0.07594342531037272
3492,18.557220327481346,18.0,0.030956684860074784
2473,11.62998457029931,11.0,0.057271324572664574
761,18.9954649563327,18.0,0.05530360868515002
2081,18.461598691153434,20.0,0.07692006544232832
3594,13.940816971665837,14.0,0.004227359166725897
2670,12.861121575614368,13.0,0.010682955721971728
326,18.294735646378577,18.0,0.01637420257658759
181,16.229316144516716,15.0,0.08195440963444772
930,23.41197256320524,22.0,0.0641805710547836
750,14.64508604926689,16.0,0.08468212192081936
132,21.267524733797003,21.0,0.012739273037952546
1037,18.212811793727415,17.0,0.0713418702192597
1937,25.975280888829097,27.0,0.037952559672996405
3090,10.779902578535607,11.0,0.020008856496763015
2061,12.569302072479903,14.0,0.10219270910857833
325,16.100714700885394,16.0,0.006294668805337134
2741,20.431244171787597,20.0,0.02156220858937985
3148,19.959300090083808,20.0,0.0020349954958096108
27,9.187969689677114,9.0,0.02088552107523493
3308,15.416736555451283,15.0,0.02778243703008556
1789,16.465126757422603,17.0,0.0314631319163175
1656,19.027444455830153,18.0,0.05708024754611962
1257,17.818576891749647,18.0,0.010079061569464068
2528,19.972488141106872,20.0,0.0013755929446563897
933,9.583366918227462,9.0,0.06481854646971799
1187,20.426375821834547,20.0,0.021318791091727362
3407,15.809849161234991,15.0,0.05398994408233276
3425,13.973757442132229,15.0,0.0684161705245181
849,16.24814687419136,16.0,0.015509179636959969
765,12.635992391978906,13.0,0.028000585232391836
3249,17.08980502737944,18.0,0.05056638736780883
2065,18.997428859532913,19.0,0.00013532318247823726
2036,16.949074653036945,17.0,0.002995608644885592
2123,13.89788730708466,14.0,0.007293763779667094
1185,15.35919367975825,15.0,0.02394624531721661
2904,17.104415175790145,18.0,0.04975471245610308
2211,16.145615843946352,16.0,0.009100990246647012
3073,13.564910466519045,13.0,0.04345465127069577
2627,17.30026104736433,19.0,0.08945994487556157
3613,15.81680772373123,16.0,0.011449517266798104
1288,17.074873421446565,18.0,0.05139592103074639
2364,21.461431041095498,21.0,0.02197290671883323
3350,17.74670770344421,19.0,0.06596275245030482
1271,16.33972131263693,18.0,0.09223770485350397
1596,15.033323285846606,15.0,0.0022215523897737436
1872,12.825240903291089,13.0,0.013443007439147
1041,20.214294380828676,19.0,0.06391023056993031
1237,24.380705831240835,24.0,0.01586274296836813
3479,16.908055773559077,17.0,0.005408483908289571
3428,21.859013065076795,23.0,0.04960812760535675
1601,17.562408374553613,17.0,0.033082845561977214
3729,16.58437227254086,18.0,0.07864598485884106
2821,12.194704982689478,13.0,0.061945770562347846
2922,6.260987329709995,6.0,0.04349788828499923
2597,12.421848744778348,12.0,0.035154062064862344
1446,13.851938198169389,13.0,0.06553370755149146
136,15.473536956843866,15.0,0.03156913045625771
776,14.975164117267777,16.0,0.06405224267076393
110,17.731536724759764,18.0,0.014914626402235362
1193,11.195710303169358,12.0,0.06702414140255349
1386,16.017645170032374,16.0,0.0011028231270233668
1081,15.387484762064926,15.0,0.025832317470995035
2046,18.93144906614136,20.0,0.053427546692931926
2023,18.468253131598303,18.0,0.026014062866572374
1072,15.003564464678696,15.0,0.00023763097857975405
1287,20.990274554045246,22.0,0.04589661117976152
193,13.252929344243867,13.0,0.019456103403374395
2713,15.938922925245002,16.0,0.0038173171721873622
2352,20.365643021121976,20.0,0.018282151056098782
2114,19.74695426554044,20.0,0.012652286722977912
264,17.694344318835913,19.0,0.06871872006126772
786,13.86972026803939,15.0,0.07535198213070729
2311,16.04470533057826,16.0,0.0027940831611412698
259,19.466498989274648,19.0,0.02455257838287619
353,19.321932024871224,18.0,0.07344066804840131
1566,11.389357870074635,12.0,0.05088684416044709
3689,11.377031994923858,11.0,0.03427563590216887
3233,16.065958978932237,15.0,0.07106393192881579
577,15.49165653859131,15.0,0.032777102572753944
1826,13.617486676911074,13.0,0.04749897514700571
155,17.450762641645305,20.0,0.12746186791773476
3288,20.07067607536431,20.0,0.0035338037682155488
882,13.953996251130395,16.0,0.12787523430435033
885,16.887868570858977,19.0,0.11116481206005384
1612,14.214608393633586,14.0,0.015329170973827593
1467,14.00744265493016,13.0,0.07749558884078148
2629,12.153070438131106,12.0,0.012755869844258841
1404,18.316615893054802,19.0,0.03596758457606304
3333,12.494885643814099,14.0,0.10750816829899293
1520,10.637929563628946,10.0,0.06379295636289459
1318,18.788572575335635,19.0,0.011127759192861294
2310,24.351097573425605,23.0,0.058743372757635
736,15.86526012301482,15.0,0.05768400820098805
1511,14.998115571839627,14.0,0.07129396941711619
2331,17.36206786940062,20.0,0.13189660652996907
3160,18.3029050081751,18.0,0.016828056009727713
1160,16.093015417942237,15.0,0.07286769452948244
162,17.904026707736133,20.0,0.10479866461319336
1710,17.731883046971255,20.0,0.11340584765143724
