,y_predicted,y_actual,Relative Error
1566,13.866328030941268,12.0,0.15552733591177237
2199,13.957013895846512,13.0,0.07361645352665473
571,21.664541027985457,23.0,0.058063433565849684
1404,20.15522081945121,19.0,0.06080109576058995
474,17.855758041465787,19.0,0.060223260975484895
3428,24.450094351991126,23.0,0.0630475805213533
292,15.654885079962412,15.0,0.04365900533082746
3162,21.344764954064363,22.0,0.029783411178892584
1388,21.66664058082861,23.0,0.05797214865962568
2664,17.460862873537177,18.0,0.029952062581267924
1722,13.37875753684867,13.0,0.029135195142205434
2648,13.369339471528919,13.0,0.028410728579147622
2224,18.66367020721935,19.0,0.0177015680410868
800,19.10905261025116,19.0,0.005739611065850619
1710,20.12528566311117,20.0,0.006264283155558559
2081,21.180022372545924,20.0,0.0590011186272962
1328,16.75823403430653,17.0,0.014221527393733587
448,11.206947704001674,11.0,0.018813427636515844
2418,20.3852900108659,21.0,0.029271904244480885
2061,14.715005952187228,14.0,0.05107185372765916
2197,8.688796685123476,8.0,0.08609958564043452
2200,11.495828916141887,11.0,0.04507535601289883
915,9.783490150329314,8.0,0.22293626879116424
2627,19.495009410321444,19.0,0.026053126859023366
2046,21.713260633018063,20.0,0.08566303165090314
1288,19.185510325826932,18.0,0.06586168476816291
1901,16.69562560443927,17.0,0.017904376209454606
750,17.11434681017546,16.0,0.06964667563596616
2289,18.34846228646495,21.0,0.12626370064452613
198,18.023387978149106,17.0,0.06019929283230036
882,16.02632960219238,16.0,0.0016456001370237505
460,11.292743533262204,12.0,0.05893803889481634
2537,23.001414272837597,23.0,6.149012337376269e-05
432,15.022919857301194,15.0,0.0015279904867462335
1747,2.6035163569055757,5.0,0.47929672861888484
3266,18.018619262006254,18.0,0.0010344034447918994
3755,19.8429093914022,19.0,0.04436365217906307
3729,19.223329737298958,18.0,0.06796276318327542
786,16.005631611904583,15.0,0.06704210746030555
1316,16.822321020314426,17.0,0.010451704687386694
2066,4.1489860709091895,5.0,0.17020278581816212
1298,18.51374559001023,23.0,0.19505453956477256
2245,25.441928648429915,26.0,0.021464282752695577
1271,17.578301308011348,18.0,0.023427705110480684
2756,13.596123174664832,13.0,0.04585562882037172
3249,18.97067750142367,18.0,0.0539265278568705
496,22.081579431289313,23.0,0.039931329074377686
1508,18.277267241983743,21.0,0.12965394085791698
3350,20.25790987247766,19.0,0.06620578276198218
2936,20.84590665526197,22.0,0.05245878839718317
1789,17.000416483926156,17.0,2.449905447973907e-05
1364,12.490952250254601,11.0,0.1355411136595092
2110,8.239138074065902,9.0,0.08454021399267751
3333,14.866938130830448,14.0,0.061924152202174856
155,20.574724197641963,20.0,0.02873620988209815
2356,14.906328949008607,14.0,0.06473778207204336
968,22.164892155202388,23.0,0.036309036730330965
162,19.793415419016146,20.0,0.010329229049192711
1247,16.179939705037615,16.0,0.01124623156485094
935,14.374164056652415,15.0,0.04172239622317235
2904,16.962014962747915,18.0,0.057665835402893606
776,16.27454223010037,16.0,0.01715888938127308
2331,19.088939226698727,20.0,0.04555303866506364
