female,infant,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,rings
1.0,0.0,0.0,0.665,0.5,0.15,1.2475,0.4625,0.2955,0.3595,10.0
0.0,0.0,1.0,0.58,0.46,0.15,1.0165,0.491,0.221,0.265,9.0
0.0,1.0,0.0,0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5.0
0.0,0.0,1.0,0.57,0.455,0.155,0.8320000000000001,0.3585,0.174,0.27699999999999997,11.0
0.0,0.0,1.0,0.56,0.46,0.235,0.8395,0.3325,0.157,0.305,12.0
0.0,0.0,1.0,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18.0
0.0,0.0,1.0,0.695,0.55,0.195,1.6645,0.727,0.36,0.445,11.0
0.0,0.0,1.0,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,14.0
0.0,0.0,1.0,0.49,0.395,0.14,0.5489999999999999,0.2215,0.1275,0.15,11.0
0.0,0.0,1.0,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,14.0
0.0,1.0,0.0,0.365,0.275,0.135,0.24,0.10800000000000001,0.0445,0.0735,7.0
1.0,0.0,0.0,0.68,0.52,0.185,1.494,0.615,0.3935,0.406,11.0
1.0,0.0,0.0,0.685,0.525,0.175,1.71,0.5415,0.309,0.58,16.0
1.0,0.0,0.0,0.65,0.545,0.23,1.7519999999999998,0.5605,0.2895,0.815,16.0
0.0,0.0,1.0,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10.0
0.0,0.0,1.0,0.525,0.385,0.1,0.5115,0.24600000000000002,0.1005,0.1455,8.0
1.0,0.0,0.0,0.66,0.525,0.19,1.67,0.6525,0.4875,0.49,11.0
1.0,0.0,0.0,0.57,0.455,0.165,1.0595,0.44,0.2195,0.285,14.0
1.0,0.0,0.0,0.48,0.405,0.13,0.6375,0.27699999999999997,0.1445,0.21,10.0
0.0,0.0,1.0,0.6,0.475,0.15,0.99,0.386,0.2195,0.3105,10.0
0.0,0.0,1.0,0.625,0.49,0.12,0.8765,0.456,0.18,0.233,10.0
0.0,1.0,0.0,0.33,0.23,0.08,0.14,0.0565,0.0365,0.046,7.0
1.0,0.0,0.0,0.705,0.55,0.17,1.219,0.6395,0.23600000000000002,0.301,9.0
0.0,1.0,0.0,0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,6.0
1.0,0.0,0.0,0.625,0.445,0.16,1.09,0.46,0.2965,0.304,11.0
0.0,0.0,1.0,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,10.0
1.0,0.0,0.0,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8.0
0.0,1.0,0.0,0.385,0.29,0.09,0.23199999999999998,0.0855,0.0495,0.08,7.0
0.0,0.0,1.0,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,9.0
0.0,0.0,1.0,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,19.0
0.0,0.0,1.0,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10.0
0.0,1.0,0.0,0.515,0.4,0.135,0.6965,0.32,0.1255,0.175,9.0
1.0,0.0,0.0,0.625,0.49,0.155,1.115,0.484,0.27699999999999997,0.3095,9.0
0.0,0.0,1.0,0.575,0.445,0.17,1.0225,0.5489999999999999,0.2175,0.228,9.0
0.0,1.0,0.0,0.49,0.365,0.125,0.5585,0.252,0.126,0.1615,10.0
0.0,0.0,1.0,0.645,0.5,0.19,1.5595,0.741,0.3715,0.3845,14.0
0.0,1.0,0.0,0.52,0.425,0.17,0.6805,0.28,0.174,0.195,10.0
1.0,0.0,0.0,0.57,0.46,0.135,0.9795,0.397,0.2525,0.2655,9.0
0.0,1.0,0.0,0.54,0.39,0.125,0.6255,0.2525,0.158,0.19,8.0
1.0,0.0,0.0,0.61,0.495,0.165,1.0835,0.4525,0.273,0.317,9.0
1.0,0.0,0.0,0.6,0.465,0.16,1.133,0.466,0.2885,0.298,11.0
1.0,0.0,0.0,0.66,0.53,0.17,1.431,0.622,0.309,0.39799999999999996,10.0
0.0,1.0,0.0,0.51,0.375,0.1,0.5785,0.23800000000000002,0.1225,0.175,7.0
0.0,0.0,1.0,0.35,0.26,0.09,0.195,0.0745,0.040999999999999995,0.0655,9.0
0.0,0.0,1.0,0.625,0.505,0.185,1.1565,0.52,0.2405,0.3535,10.0
0.0,1.0,0.0,0.62,0.475,0.16,0.907,0.371,0.16699999999999998,0.3075,11.0
0.0,1.0,0.0,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8.0
0.0,1.0,0.0,0.415,0.325,0.1,0.313,0.139,0.0625,0.0965,7.0
0.0,0.0,1.0,0.63,0.485,0.155,1.278,0.637,0.275,0.31,8.0
1.0,0.0,0.0,0.575,0.48,0.165,1.078,0.511,0.2095,0.306,9.0
0.0,1.0,0.0,0.335,0.26,0.09,0.1835,0.078,0.024,0.065,11.0
0.0,0.0,1.0,0.515,0.395,0.12,0.6459999999999999,0.285,0.1365,0.172,9.0
0.0,1.0,0.0,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,5.0
0.0,1.0,0.0,0.44,0.33,0.11,0.38,0.19699999999999998,0.079,0.09,7.0
0.0,0.0,1.0,0.52,0.4,0.12,0.823,0.298,0.1805,0.265,15.0
1.0,0.0,0.0,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7.0
0.0,0.0,1.0,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24,11.0
0.0,0.0,1.0,0.605,0.475,0.155,1.161,0.5720000000000001,0.2455,0.275,9.0
0.0,0.0,1.0,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10.0
1.0,0.0,0.0,0.61,0.49,0.17,1.3475,0.7045,0.25,0.3045,11.0
0.0,0.0,1.0,0.685,0.53,0.17,1.56,0.647,0.38299999999999995,0.465,11.0
0.0,1.0,0.0,0.48,0.39,0.15,0.6275,0.276,0.134,0.185,13.0
0.0,0.0,1.0,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,9.0
0.0,1.0,0.0,0.355,0.27,0.075,0.204,0.3045,0.046,0.0595,7.0
1.0,0.0,0.0,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,10.0
1.0,0.0,0.0,0.35,0.265,0.09,0.1855,0.0745,0.0415,0.06,7.0
1.0,0.0,0.0,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,10.0
1.0,0.0,0.0,0.515,0.405,0.12,0.6459999999999999,0.2895,0.1405,0.177,10.0
1.0,0.0,0.0,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15.0
0.0,1.0,0.0,0.52,0.385,0.115,0.581,0.2555,0.156,0.14300000000000002,10.0
0.0,0.0,1.0,0.4,0.315,0.105,0.287,0.1135,0.037000000000000005,0.113,10.0
0.0,1.0,0.0,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6.0
0.0,0.0,1.0,0.535,0.42,0.125,0.738,0.355,0.1895,0.1795,8.0
0.0,1.0,0.0,0.545,0.43,0.15,0.742,0.3525,0.158,0.20800000000000002,10.0
1.0,0.0,0.0,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565,10.0
0.0,1.0,0.0,0.46,0.345,0.11,0.3755,0.1525,0.057999999999999996,0.125,7.0
1.0,0.0,0.0,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9.0
1.0,0.0,0.0,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8.0
0.0,0.0,1.0,0.59,0.455,0.16,1.09,0.5,0.2215,0.292,9.0
0.0,1.0,0.0,0.475,0.365,0.125,0.5465,0.22899999999999998,0.1185,0.172,9.0
0.0,1.0,0.0,0.425,0.325,0.11,0.405,0.1695,0.092,0.1065,8.0
1.0,0.0,0.0,0.705,0.54,0.205,1.757,0.8265,0.41700000000000004,0.461,9.0
0.0,0.0,1.0,0.705,0.555,0.215,2.141,1.0465,0.38299999999999995,0.528,11.0
1.0,0.0,0.0,0.455,0.35,0.12,0.4555,0.1945,0.1045,0.1375,7.0
0.0,1.0,0.0,0.53,0.43,0.14,0.677,0.298,0.0965,0.23,8.0
1.0,0.0,0.0,0.515,0.375,0.11,0.6065,0.3005,0.131,0.15,6.0
0.0,1.0,0.0,0.55,0.435,0.165,0.804,0.34,0.19399999999999998,0.244,8.0
1.0,0.0,0.0,0.625,0.49,0.165,1.127,0.47700000000000004,0.2365,0.3185,9.0
0.0,0.0,1.0,0.445,0.345,0.09,0.3795,0.14300000000000002,0.07400000000000001,0.125,10.0
0.0,0.0,1.0,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,16.0
0.0,0.0,1.0,0.575,0.455,0.185,1.156,0.5525,0.243,0.295,13.0
1.0,0.0,0.0,0.55,0.43,0.155,0.785,0.289,0.22699999999999998,0.233,11.0
0.0,1.0,0.0,0.515,0.395,0.125,0.5805,0.2365,0.1075,0.19,9.0
0.0,1.0,0.0,0.39,0.31,0.085,0.344,0.18100000000000002,0.0695,0.079,7.0
0.0,0.0,1.0,0.535,0.435,0.15,0.7170000000000001,0.3475,0.1445,0.19399999999999998,9.0
