Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source
CCCC,1405,±1,1.19,±1,1,6.5,92.5,1,Ar,415,Speceis,CH,±5,431,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1405,±1,1.18,±1,1,6.5,92.5,1,Ar,420,Speceis,CH,±5,431,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1409,±1,1.17,±1,1,6.5,92.5,1,Ar,390,Speceis,CH,±5,431,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1447,±1,1.14,±1,1,6.5,92.5,1,Ar,244,Speceis,CH,±5,431,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1478,±1,1.2,±1,1,6.5,92.5,1,Ar,171,Speceis,CH,±5,431,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1483,±1,1.32,±1,1,6.5,92.5,1,Ar,161,Speceis,CH,±5,431,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1407,±1,1.99,±1,1,6.5,92.5,1,Ar,297,Speceis,CH,±5,431,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1400,±1,2.03,±1,1,6.5,92.5,1,Ar,335,Speceis,CH,±5,431,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1445,±1,2.02,±1,1,6.5,92.5,1,Ar,186,Speceis,CH,±5,431,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1454,±1,2,±1,1,6.5,92.5,1,Ar,170,Speceis,CH,±5,431,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1415,±1,3.8,±1,1,6.5,92.5,1,Ar,189,Speceis,CH,±5,431,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1399,±1,3.81,±1,1,6.5,92.5,1,Ar,243,Speceis,CH,±5,431,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1433,±1,3.75,±1,1,6.5,92.5,1,Ar,151,Speceis,CH,±5,431,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
