Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source
CCCC,1407,±1,1.99,±1,1.0,6.5,92.5,1.0,Ar,297,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCCCCCCCCCC,1252,±1,15.08,,0.051460000000000006,1.911,98.03754,0.5,N2,713,Species,OH,±5,306.0,5.0,Stanford,n_Dodecane / Vasu_2010_thesis
CCCCCCCCCCCCCCCC,1327,±2,6.46,,0.1832,4.0,95.8168,1.12,Ar,360,Species,CH,±2,431.0,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
CCCCCCCCCCCC,1172,±1,6.19,±9.3,0.5336,21.0,78.4664,0.47,Ar,524,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCC,1327, ±1.5,1.69,,0.0334,0.813,99.1536,0.64,Ar,1099,Species,CH,±5,431.0,8.9,Stanford,n_Alkane_Oxidation
CCCC,1455,±1,1.15,±1,2.0,13.0,85.0,1.0,Ar,149,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1598,,2.06,,0.05,0.325,99.625,1.0,Ar,144,Speceis,OH,±5,306.7,8.9,Stanford,n_Alkane_Oxidation
CCCCCCCCCCCC,1177,±1,20.8,,0.565,20.89,78.545,0.5,N2,165,Species,OH,±5,306.0,5.0,Stanford,n_Dodecane / Vasu_2010_thesis
CCCCCCC,1305,±1.8,10.62,,1.874,20.6,77.52600000000001,1.0,N2,117,Species,OH,,306.7,5.0,Stanford,blend_surrogate_fuels
CCCCC,1261,±0.7,3.75,±1,0.5,4.0,95.5,1.0,Ar,1455,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
CCCC,1352,±1,1.14,±1,1.0,13.0,86.0,0.5,Ar,307,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCC,1478,±1,1.2,±1,1.0,6.5,92.5,1.0,Ar,171,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCCCCCCCCCC,976,±1,4.87,±9.3,0.4056,21.0,78.5944,0.36,Ar,6220,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1163,±1,21.2,,0.565,20.89,78.545,0.5,N2,213,Species,OH,±5,306.0,5.0,Stanford,n_Dodecane / Vasu_2010_thesis
CCCCCCCCCCCC,1243,,7.53,,0.39,21.0,78.61,0.34,N2,130,Speceis,CH,,430.0,15.3,Stanford,n_Dodecane_Nano
CCCCCCCCCCCC,1049,±1,18.9,,0.565,20.89,78.545,0.5,N2,839,Species,OH,±5,306.0,5.0,Stanford,n_Dodecane / Vasu_2010_thesis
CCCCCCCCCCCC,1158,±1,15.19,,0.1,3.596,96.304,0.5,N2,1181,Species,OH,±5,306.0,5.0,Stanford,n_Dodecane / Vasu_2010_thesis
CCCC,1557,±1,1.13,±1,1.0,6.5,92.5,1.0,Ar,87,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCCCCCCCCCC,838,±1,6.26,±9.3,1.504,21.0,77.49600000000001,1.32,Ar,5352,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1068,±1,6.4,±9.3,0.516,21.0,78.484,0.45,Ar,2126,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCC,1531,,2.16,,0.05,0.325,99.625,1.0,Ar,260,Speceis,OH,±5,306.7,8.9,Stanford,n_Alkane_Oxidation
CCCCCCC,1421,±1,5.69,,0.4,4.4,95.2,1.0,Ar,138,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCCCCCCC,932,±1,4.98,±9.3,1.24,21.0,77.76,1.09,Ar,4627,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCC,1422,±1,1.08,±1,1.0,13.0,86.0,0.5,Ar,131,Speceis,CH,±5,431.0,15.3,Stanford,Autoignition_ n_Alkane / Horning_2001_thesis
CCCCCCC,1236,±1,15.28,,0.1,2.2,97.7,0.5,Ar,652,Species,OH,,306.7,7.5,Stanford,n_heptane_methylcyclohexane
CCCCCCCCC,1350,±0.7,1.87,±1,0.14300000000000002,4.0,95.85700000000001,0.5,Ar,317,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates
CCCC,1477,±3,5.32,,0.95,6.19,92.86,1.0,Ar,93,Speceis,CH,±2.36,430.0,11.5,Xi’an_Jiaotong,C1_C4_Alkanes
CCCCCCCCCCCC,1406,,2.37,,0.047,0.75,99.20299999999999,1.0,N2,571,Speceis,CH,,430.0,15.3,Stanford,n_Dodecane_Nano
CCCC,1386,±3,1.49,,0.95,6.19,92.86,1.0,Ar,485,Speceis,CH,±2.36,430.0,11.5,Xi’an_Jiaotong,C1_C4_Alkanes
CCCCCCCCCCCC,1126,,6.7,,0.57,21.0,78.43,0.5,N2,1069,Speceis,CH,,430.0,15.3,Stanford,n_Dodecane_Nano
