Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-1.621,-0.6626,-0.4759,0.1237,1.6659,9.8147,0.8776741256336575,0.7194193024129298
-1.8483,-0.6298,-0.4831,0.101,2.1473,10.0713,0.8703652316033235,0.8879874199279969
-1.7729,-0.6097,-0.5058,0.1056,2.7099,9.8343,0.8674276559737418,0.5102676123137597
-1.7882,-0.6206,-0.5254,0.1194,2.8353,9.816,0.8716427982021164,0.4609087972408992
-2.1887,-0.6552,-0.4893,0.0969,2.891,10.4622,0.8906239701250211,0.902277896518386
-1.8472,-0.6,-0.4997,0.0931,2.8928,9.9174,0.8689578341773923,0.8608891777982456
-1.5747,-0.6101,-0.4575,0.0838,2.1852,9.6964,0.8682949245905167,0.8312156116562877
-1.7469,-0.6149,-0.4919,0.0908,2.5363,9.9065,0.8686548095226113,0.9024958871240072
-1.6962,-0.6144,-0.5037,0.1344,2.4425,9.6817,0.8757717668765589,0.8625674560201015
-2.1068,-0.6181,-0.5243,0.1061,3.0245,10.2341,0.8784698335998538,0.6563627221305657
-2.0787,-0.638,-0.5098,0.124,2.946,10.2256,0.8758038110862993,0.8907093241029874
-2.0526,-0.6208,-0.506,0.1029,2.9428,10.1852,0.8808460351777421,0.919855846921712
-1.7368,-0.6202,-0.5062,0.1131,2.1033,9.8675,0.8903924787719519,0.641053179543092
-2.2601,-0.6265,-0.5418,0.1409,3.1323,10.318,0.8838679542340392,0.9173089954020796
-2.0521,-0.6244,-0.5423,0.1587,3.0772,10.0274,0.8775306785802681,0.8840640306517213
-1.8269,-0.6004,-0.5155,0.1377,2.4653,9.7999,0.8712084934790345,0.7643165812062516
-2.0085,-0.6102,-0.5517,0.1659,3.5498,9.8516,0.8709417999202984,0.9060936641230484
-1.8299,-0.642,-0.5332,0.1643,2.4086,9.8098,0.8749876208392504,0.4099742295620572
-2.1247,-0.6103,-0.5096,0.1061,2.8649,10.2589,0.8894483977537665,0.7829589415246068
-1.9939,-0.6227,-0.5276,0.1093,2.9809,10.083,0.8691003594570299,0.8437550982191329
