Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-1.2005,-0.6579999999999999,-0.4357,0.1386,2.0346,9.1537,0.5944701298364137,0.5002249359823492
-1.3009,-0.633,-0.4324,0.1254,2.036,9.2884,0.6054098731372354,0.6270587702121161
-1.4480000000000002,-0.6307,-0.4204,0.0591,2.5038,9.5725,0.5874217595644566,0.6874441591125953
-1.2726,-0.6327,-0.4629,0.1324,2.8707,9.1066,0.5877930788009817,-0.4453199788761668
-1.8206,-0.6554,-0.4414,0.1083,2.8168,9.9297,0.6271010370537091,0.3285844638291341
-1.6035,-0.6224,-0.4696,0.1236,3.1734,9.4876,0.6099065432163033,0.5370830830073112
-1.1837,-0.6271,-0.3998,0.094,2.1835,9.1803,0.5841979777380713,0.3254368912603152
-1.1511,-0.6206,-0.4347,0.0946,2.2065,9.1242,0.5988602299805008,0.19321151760962185
-1.3175,-0.6276,-0.4481,0.1443,2.4188,9.1698,0.6061250040373494,0.6257103225321478
-1.6382,-0.6213,-0.4564,0.1041,2.7395,9.6512,0.6236054518283748,0.2943863306134614
-1.4519,-0.6397,-0.4333,0.1234,2.489,9.4568,0.6224418310093334,0.2923233502231456
-1.6292,-0.6323,-0.4596,0.1219,3.1357,9.5563,0.5989533335469229,0.5344398890626368
-1.1491,-0.5916,-0.4398,0.1215,2.4181,8.9785,0.5914197932909726,0.2502612561116013
-1.6615,-0.6286,-0.4444,0.1144,2.6049,9.6898,0.6164095140588292,0.4140944931970526
-1.7001,-0.6363,-0.4672,0.1432,2.8017,9.6408,0.6029784781108045,0.6288318366540198
-1.3358,-0.6011,-0.4544,0.1381,2.5854,9.1594,0.583107790051816,0.4685612900346899
-1.5568,-0.6346,-0.4607,0.1349,2.9769,9.456,0.6079073022431954,0.4940819938854024
-1.2332,-0.6408,-0.4606,0.1663,2.2916,9.0469,0.5858862214020821,0.3804806677427326
-1.7779,-0.6363,-0.4462,0.1196,2.8933,9.7882,0.6366904676106371,0.677417342211155
-1.4709,-0.625,-0.4512,0.1142,2.7217,9.4291,0.6052595626171272,0.2506842566145441
