Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-0.31,-0.614,-0.2695,0.1012,0.6931,7.3529,0.9457450952505162,0.5238082182269868
0.1212,-0.5401,-0.201,0.0491,0.4798,6.9344,0.9259962020899088,0.9496631257921408
-0.4376,-0.6403,-0.1844,-0.0175,1.3151,7.8224,0.935777225859378,0.7332892569448732
-1.0123,-0.7024,-0.2489,0.043,1.1471,8.547,0.9378414033395942,0.4655992763130914
-0.5619,-0.6261,-0.2591,0.0919,1.9035,7.6342,0.9361087370793444,0.9219471822543184
0.0744,-0.5703,-0.2253,0.098,0.9781,6.8559,0.9499221921219833,0.8604878590410039
-1.1584,-0.6496,-0.3569,0.1163,2.5788,8.2016,0.9341636990219954,0.9627475426089752
0.0011,-0.5359,-0.2652,0.1147,1.7133,6.7598,0.9411319004332972,0.05262179413481372
0.231,-0.5628,-0.1031,-0.0295,0.231,7.1206,0.9309448956258058,-0.5752792929518933
-0.3376,-0.6635,-0.1644,-0.0208,0.9494,7.7911,0.9336100967664152,0.6892222237821859
0.3108,-0.5396,-0.1488,-0.0041,0.611,6.857,0.9326662297254696,0.9168762254114255
-0.4026,-0.6457,-0.2433,0.0523,1.4553,7.526,0.938485068939938,0.9402282844235862
-0.3366,-0.5698,-0.2525,0.0374,1.8230000000000002,7.3475,0.936157773540153,-3.06533842388054
0.0497,-0.5384,-0.2895,0.1685,0.3596,6.6434,0.9471639576742552,0.7203258340639233
-0.1689,-0.6153,-0.1953,0.0306,2.0948,7.2705,0.9358796578314198,0.9444448075181378
-0.387,-0.6184,-0.2296,0.0404,1.0128,7.5985,0.9294306751823929,0.9381771724552412
