Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-1.6074,-0.6332,-0.4653,0.1262,2.6505,9.5585,0.6202440968992347,0.4031692800316836
-1.4057,-0.6175,-0.4647,0.1599,2.063,9.2542,0.6157963725404758,0.4762170217440055
-1.1675,-0.6033,-0.4374,0.1307,1.8466,9.0472,0.5914440473181408,0.20481622187871606
-1.1125,-0.6186,-0.424,0.0933,1.9953,9.0928,0.5940279961895979,-0.4253253848053
-1.7135,-0.6141,-0.435,0.0843,2.8667,9.755,0.6190855211512811,0.5641972762004949
-1.9929,-0.6806,-0.4699,0.1326,2.9936,10.091,0.6435742126105595,0.6130998631784659
-1.5395,-0.6471,-0.4424,0.1165,2.7539999999999996,9.5507,0.5774248219807452,0.6138091317730774
-1.1292,-0.6239,-0.4867,0.2035,2.4683,8.7704,0.586435481857932,0.44375687140709896
-1.8075,-0.6595,-0.4671,0.1002,2.7906,9.9281,0.6307274088332036,0.4509240494990012
-1.4593,-0.6168,-0.5312,0.2091,3.439,9.0199,0.5939356225186327,0.5094699459337604
-1.0845,-0.6135,-0.3805,0.0902,1.646,9.1318,0.6037438203483274,-0.010750583234091726
-1.5257,-0.6254,-0.4205,0.0899,2.4474,9.6098,0.6100094824584507,0.5674686341713495
-1.1711,-0.6095,-0.4279,0.0922,1.9409,9.1695,0.6070124318715949,-0.1823055820420829
-1.4506,-0.6317,-0.4737,0.1509,2.7884,9.2878,0.6095610160436749,0.22958435010763445
-1.2833,-0.593,-0.4444,0.1248,2.8807,9.0714,0.5932454590672718,-0.5017496157378212
-1.177,-0.6146,-0.4137,0.1272,2.4284,9.0604,0.5889361431096469,0.23679595776608955
-1.4119,-0.6072,-0.444,0.0914,2.6682,9.3884,0.6079618485753764,0.2663925890358701
-1.3553,-0.6142,-0.4934,0.17800000000000002,2.7082,9.0489,0.5865186700291599,0.784992832083621
-1.4394,-0.6342,-0.4828,0.1816,3.2138,9.1524,0.5895361925481407,0.4163119130949792
-1.3676,-0.6046,-0.418,0.0917,2.5453,9.3554,0.5983423605172986,-0.2675368712167123
