Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-2.0037,-0.7646,-0.389,-0.0477,3.4332,11.799000000000001,0.9278835871308168,0.14764202285115258
-2.3308,-0.7189,-0.3125,-0.1652,2.1645,12.5872,0.9381832704135228,0.6600546286731763
-2.4082,-0.7052,-0.2154,-0.2796,2.4779,12.9986,0.9291578453502324,0.971225648938208
-1.7616,-0.757,-0.361,-0.0914,2.0911,11.7276,0.9346384464675992,-0.95028190224206
-2.5664,-0.7342,-0.2401,-0.2381,1.9039,13.1481,0.9360342043945684,0.8625470549457313
-2.838,-0.7278,-0.334,-0.1878,3.6738,13.103,0.9460325964684536,0.9151923279095406
-2.1073,-0.7464,-0.3361,-0.1182,2.6744,12.1401,0.9133709762595648,0.7528623050344896
-1.9914,-0.7413,-0.3974,-0.07400000000000001,3.2519,11.8018,0.9320007410417795,0.46419951329211495
-2.214,-0.7094,-0.2731,-0.2002,2.2322,12.4973,0.9264509891679432,0.6445589684301549
-2.4831,-0.7017,-0.2947,-0.1812,2.6044,12.7708,0.9436936085544612,0.6270806654274089
-2.8524,-0.7482,-0.262,-0.1989,2.634,13.3755,0.9362171441537808,0.8305537173273698
-2.664,-0.696,-0.28,-0.205,2.7960000000000003,13.0463,0.9352381709428398,0.93000405257567
-2.3533,-0.7313,-0.3332,-0.1265,2.5019,12.4881,0.9171863395264516,0.9714217234046648
-2.5886,-0.7257,-0.2925,-0.1721,2.4822,12.9489,0.9371727959259089,0.2511310117286325
-3.0418,-0.7164,-0.2082,-0.2851,2.2641,13.8466,0.9416335441300098,0.9074333144563932
-2.5437,-0.6963,-0.2446,-0.2181,2.1885,12.9921,0.9263658240572464,0.8570226954552149
-2.4739,-0.6809999999999999,-0.2651,-0.1942,2.5997,12.788,0.9346772038228388,0.6040444826601656
-1.8766,-0.7175,-0.3157,-0.1222,1.9237,11.9311,0.9191185448948264,0.7224069707354583
-3.0009,-0.7347,-0.2429,-0.2506,2.4005,13.6918,0.9416705542497592,0.8525579235922743
-2.3458,-0.7025,-0.2974,-0.1778,2.4203,12.6321,0.9370742379612714,0.6547725940554028
