Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
0.0181,-0.5418,-0.1625,-0.0037,1.6981,6.8259,0.8378111040566392,0.9419566938373996
-0.1106,-0.5042,-0.2239,0.056,2.0881,6.6859,0.8371532950566576,-1.7409876977399414
0.0065,-0.502,-0.165,-0.005,1.6551,6.777,0.8483540097686564,-17.17868766326399
-0.2132,-0.5455,-0.2243,0.0743,2.5036,6.7949,0.8438605340910404,0.9041411184801244
-0.3439,-0.5527,-0.2207,0.0515,2.2687,7.0829,0.8329855389072498,-1.8386698366596528
-0.2581,-0.5423,-0.1867,-0.0031,2.017,7.087999999999999,0.8559878726378426,0.7533446905529386
-0.0689,-0.5037,-0.2009,0.0437,1.9693,6.6818,0.8594219663636373,0.6738722158711916
-0.3361,-0.5443,-0.1862,-0.0122,2.0378,7.2757,0.8604049751134341,0.815495165143058
0.1863,-0.466,-0.1557,-0.0409,1.6559,6.6266,0.8430828799481128,0.6781129549984162
-0.0646,-0.4981,-0.1639,-0.022,2.3046,6.8433,0.8522439901771108,0.7569826287453245
-0.8816,-0.5591,-0.2457,0.0149,2.8799,7.7973,0.879697690217438,0.7332331147258022
-0.5585,-0.5459,-0.2117,0.0156,2.5721,7.4134,0.8682715377133308,0.6798811926022328
-0.1837,-0.5013,-0.1868,0.0044,2.3783,6.8677,0.8473634691035608,-0.31300000931685923
-0.1778,-0.4997,-0.1675,-0.023,2.6313,6.924,0.8298596001391241,0.909592952035576
0.0565,-0.5031,-0.2089,0.0346,1.7662,6.5783,0.8148579681466988,-0.32885883233327906
-0.9378,-0.57,-0.2702,0.0398,3.2777,7.7073,0.8842158922841622,0.6356776576003245
-0.2428,-0.5774,-0.2316,0.0563,2.3377,6.9146,0.8356946330786155,0.2520048342294349
-0.2913,-0.5533,-0.153,-0.0454,1.4827,7.3787,0.8601936170584068,0.8041738885378346
-0.8923,-0.5762,-0.2144,-0.0299,2.6242,7.9689,0.8907623882334939,-1.9720187594438472
-0.1154,-0.5134,-0.1986,0.0302,1.9439,6.8021,0.8505280533641737,0.9088269462250247
