Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-1.8654,-0.6269,-0.5007,0.1137,2.4805,9.9937,0.8793733068668095,0.5239354368970625
-1.8629,-0.6494,-0.5135,0.1298,2.2838,9.9889,0.8856196690961596,0.5804361370952102
-2.4166,-0.6235,-0.5344,0.1162,4.078,10.4898,0.8752307972154275,0.8342419659316496
-1.9095,-0.6276,-0.5277,0.1432,3.1085,9.8803,0.8774102812685342,0.8227162827373379
-1.9146,-0.6451,-0.5308,0.1565,2.8239,9.9197,0.8796129738080519,0.8163880694691208
-1.7689,-0.6165,-0.4942,0.0968,2.5488,9.8953,0.8649832642089852,0.9450814750836098
-1.9983,-0.6282,-0.5469,0.1601,3.4796,9.9298,0.8757413304739946,0.7980927979700911
-1.7963,-0.6127,-0.5248,0.1483,2.4305,9.7438,0.8750346276888605,0.6546495518155134
-1.9607,-0.5967,-0.5201,0.121,2.9795,9.9459,0.8756434832870778,0.7771834822089695
-2.0239,-0.6337,-0.5283,0.1549,2.7715,10.0343,0.8765719165308549,0.905633988065454
-1.84,-0.6451,-0.5061,0.1089,2.0942,10.0461,0.8702758441019357,0.625015861167568
-1.8477,-0.6304,-0.5406,0.1412,2.2389,9.8973,0.8792781000498886,0.7929678905781148
-2.0631,-0.623,-0.5512,0.1672,3.1064,9.9878,0.88219494851826,0.8534279104481783
-2.0229,-0.6075,-0.5451,0.1543,3.0417,9.9483,0.8778866019996935,0.9324309101784116
-1.8142,-0.6142,-0.4956,0.0874,2.3609,9.9798,0.8800420690516797,0.8733879891464749
-1.8541,-0.6282,-0.5523,0.1644,2.6694,9.7788,0.8716044919093344,0.7569790378964038
-1.8016,-0.6527,-0.5272,0.1805,2.5307,9.7766,0.8840681561210793,0.6675814831690245
-1.9276,-0.6048,-0.5314,0.1136,3.034,9.9497,0.8742023166241096,0.6171739723711429
-1.9756,-0.6408,-0.4927,0.1175,2.4139,10.1436,0.8847900973933899,0.8956907130339118
-1.9368,-0.6033,-0.5013,0.0596,3.264,10.1066,0.8646826373616179,0.9260935117219068
