Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-1.4866,-0.6328,-0.4478,0.12,2.6685,9.4513,0.6141043610030305,0.4213326306373804
-1.4621,-0.6604,-0.4596,0.1208,2.0673,9.4838,0.6136063051789054,0.3618037298347594
-1.9747,-0.6283,-0.4393,0.0941,3.3685,10.0677,0.630563644436006,0.28137329379515963
-1.2621,-0.6382,-0.4393,0.14300000000000002,2.22,9.1343,0.6034759055709737,0.1433424057812981
-1.1819,-0.6311,-0.4404,0.1397,2.2332,9.0589,0.5891440966601631,0.4154256836619632
-1.3887,-0.6276,-0.4344,0.08,2.4144,9.447000000000001,0.6118142673708322,0.2842433823195695
-1.4517,-0.6322,-0.4908,0.1812,3.1882,9.1655,0.6002529330904363,0.4320781126441735
-1.5524,-0.627,-0.4556,0.1242,2.7258,9.4692,0.5966816859742918,0.2400374496900044
-1.2306,-0.6083,-0.4227,0.1044,2.255,9.1684,0.5890924631408074,0.3615952956532059
-1.3869,-0.6329,-0.4394,0.1313,2.285,9.3423,0.6156462976536987,0.4249396970957383
-1.2973,-0.6387,-0.4703,0.1622,2.1317,9.1421,0.5870284190003874,0.087044856225718
-1.2532,-0.622,-0.4628,0.1214,1.8018,9.2037,0.6176923664985066,0.1236101775499786
-1.3548,-0.623,-0.4633,0.1497,2.6452,9.1758,0.5913515675258361,0.5630144386221567
-1.4229,-0.6149,-0.4883,0.1676,2.7916,9.1622,0.6034356321035506,-0.17445094626739288
-1.4219,-0.6161,-0.462,0.112,2.7028,9.3248,0.6109931060116751,0.4993220686388118
-1.3876,-0.6351,-0.4986,0.1687,2.6414,9.1279,0.6008018263373074,-0.2102000052276332
-1.5499,-0.6381,-0.4688,0.1571,2.7927,9.4052,0.6105958626426157,-0.000571703636441212
-1.6353,-0.6272,-0.4787,0.1384,3.1498,9.4951,0.6068557619748167,0.5389583895135458
-1.6035,-0.6331,-0.4119,0.0862,2.4119,9.7137,0.6195884726436032,0.1487696270778619
-1.5219,-0.6298,-0.3998,0.0419,2.5667,9.7284,0.6187981711529654,0.31087708365046995
-1.1232,-0.6139,-0.4006,0.0888,1.6502,9.1439,0.598911437962412,0.7042639820287184
-1.6636,-0.6509999999999999,-0.4483,0.1166,2.5679,9.702,0.6182670076541368,0.5282165183582026
-1.6803,-0.6338,-0.4599,0.1064,3.105,9.6673,0.5997809145731618,0.4600722986937074
-1.3631,-0.622,-0.4265,0.0906,2.6747,9.3509,0.5812019467406744,0.7627172567053877
-2.0976,-0.6332,-0.4553,0.0667,3.6593,10.2146,0.641627704062617,0.16904517983401002
-1.3385,-0.6482,-0.401,0.1008,1.9133,9.4813,0.6111193738598623,0.5671150762582837
-1.7307,-0.6475,-0.4321,0.0769,2.5606,9.8933,0.6286686603274285,0.4212656894807002
-2.1769,-0.655,-0.4152,0.0225,3.042,10.6062,0.6518500073642105,0.6353931328286075
-1.3043,-0.6203,-0.4542,0.1618,2.9805,9.0351,0.5891428930468146,0.3341375220098124
-1.37,-0.6013,-0.4801,0.1488,3.0081,9.102,0.5863600069537395,-0.2841543397533264
-1.3236,-0.6225,-0.4374,0.1037,2.1666,9.3493,0.6189257123154277,0.009896585535219438
-1.4747,-0.6622,-0.4878,0.1897,2.6630000000000003,9.2777,0.6208769126167939,0.3154611521271937
-0.9934,-0.6006,-0.4045,0.0821,1.4354,9.0167,0.5947658332435957,-0.07785946874742987
-1.5934,-0.6519,-0.4824,0.1399,2.8474,9.5012,0.6022311014584678,0.4211205491900909
-1.5867,-0.6278,-0.4571,0.1189,2.9127,9.5449,0.6126244335092438,0.4171908223657143
-1.5103,-0.6442,-0.4665,0.1395,2.2669,9.4441,0.6251746871286993,0.3896476382546089
-1.1279,-0.6119,-0.4148,0.0852,1.8887,9.1419,0.5888308092242008,0.303482381022778
-1.7547,-0.6435,-0.4614,0.0992,2.8711,9.8373,0.6359118252177421,-0.002536165595086625
-1.7046,-0.6342,-0.4834,0.1515,3.1312,9.5463,0.6214957362201138,0.08172457594720972
-1.3187,-0.6132,-0.442,0.1136,3.0677,9.1743,0.5809066243149893,0.5074782194749106
-1.3075,-0.6437,-0.4364,0.1241,2.0261,9.3143,0.608549314047969,0.32942746320436544
-1.3825,-0.6432,-0.4416,0.1175,2.291,9.3804,0.597232346275283,0.7295261781264601
-1.5188,-0.6293,-0.4886,0.1559,2.5202,9.361,0.6112299587456083,0.17313797055016922
-1.3255,-0.6412,-0.4534,0.1579,1.9531,9.196,0.599706698698278,0.4120268999927276
-1.3836,-0.6059,-0.4733,0.1574,2.5519,9.1247,0.6086339713876537,0.04011527112577673
-1.1861,-0.6174,-0.462,0.1669,2.1551,8.9498,0.5939216841961824,0.5476565605767291
-1.4545,-0.6131,-0.4468,0.1315,2.6331,9.3262,0.5970616398597386,0.7857320582743265
-1.3728,-0.6121,-0.4207,0.076,1.9074,9.4631,0.6101573004708314,0.5198408405118542
-1.2178,-0.6014,-0.4585,0.1719,2.958,8.8828,0.5834595653752604,0.43118572665780897
-1.3818,-0.6217,-0.5037,0.2023,2.8703,9.0039,0.5914917210681687,0.7550997926352947
-1.5686,-0.6302,-0.4574,0.1201,2.5461,9.5342,0.6048626966097423,0.6071675536326242
-1.4915,-0.6161,-0.4414,0.1044,2.8523,9.4514,0.6061198208803186,0.5159990444167226
-1.4337,-0.619,-0.4791,0.1468,2.7064,9.2193,0.6064027318459035,-0.2665150580008435
-1.7272,-0.6509,-0.4696,0.1593,3.2794,9.6076,0.6274842623170447,0.5603882666239847
-1.2008,-0.6057,-0.4393,0.0974,2.4819,9.0892,0.5893736761846291,0.3535700336660199
-1.1959,-0.6138,-0.435,0.1029,2.3132,9.1253,0.5930483558008117,0.06876269929220112
