Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-1.7671,-0.6606,-0.3233,-0.0735,2.9892,11.4193,0.9154765650455848,0.8767338747839586
-1.7671,-0.6606,-0.3233,-0.0735,2.9892,11.4193,0.9154765650455848,0.8767338747839586
-1.7671,-0.6606,-0.3233,-0.0735,2.9892,11.4193,0.9154765650455848,0.8767338747839586
-1.7671,-0.6606,-0.3233,-0.0735,2.9892,11.4193,0.9154765650455848,0.8767338747839586
-1.7671,-0.6606,-0.3233,-0.0735,2.9892,11.4193,0.9154765650455848,0.8767338747839586
-1.7671,-0.6606,-0.3233,-0.0735,2.9892,11.4193,0.9154765650455848,0.8767338747839586
-1.7671,-0.6606,-0.3233,-0.0735,2.9892,11.4193,0.9154765650455848,0.8767338747839586
-1.7671,-0.6606,-0.3233,-0.0735,2.9892,11.4193,0.9154765650455848,0.8767338747839586
-1.7671,-0.6606,-0.3233,-0.0735,2.9892,11.4193,0.9154765650455848,0.8767338747839586
-1.7671,-0.6606,-0.3233,-0.0735,2.9892,11.4193,0.9154765650455848,0.8767338747839586
-1.7671,-0.6606,-0.3233,-0.0735,2.9892,11.4193,0.9154765650455848,0.8767338747839586
-1.7671,-0.6606,-0.3233,-0.0735,2.9892,11.4193,0.9154765650455848,0.8767338747839586
-1.7671,-0.6606,-0.3233,-0.0735,2.9892,11.4193,0.9154765650455848,0.8767338747839586
-1.7671,-0.6606,-0.3233,-0.0735,2.9892,11.4193,0.9154765650455848,0.8767338747839586
-1.7671,-0.6606,-0.3233,-0.0735,2.9892,11.4193,0.9154765650455848,0.8767338747839586
