Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-0.08800000000000001,-0.442,-0.2629,0.0923,2.1976,6.4052,0.8716854842922742,0.01623308907395693
-0.08800000000000001,-0.442,-0.2629,0.0923,2.1976,6.4052,0.8716854842922742,0.01623308907395693
-0.08800000000000001,-0.442,-0.2629,0.0923,2.1976,6.4052,0.8716854842922742,0.01623308907395693
-0.08800000000000001,-0.442,-0.2629,0.0923,2.1976,6.4052,0.8716854842922742,0.01623308907395693
-0.08800000000000001,-0.442,-0.2629,0.0923,2.1976,6.4052,0.8716854842922742,0.01623308907395693
-0.08800000000000001,-0.442,-0.2629,0.0923,2.1976,6.4052,0.8716854842922742,0.01623308907395693
-0.08800000000000001,-0.442,-0.2629,0.0923,2.1976,6.4052,0.8716854842922742,0.01623308907395693
-0.08800000000000001,-0.442,-0.2629,0.0923,2.1976,6.4052,0.8716854842922742,0.01623308907395693
-0.08800000000000001,-0.442,-0.2629,0.0923,2.1976,6.4052,0.8716854842922742,0.01623308907395693
-0.08800000000000001,-0.442,-0.2629,0.0923,2.1976,6.4052,0.8716854842922742,0.01623308907395693
-0.08800000000000001,-0.442,-0.2629,0.0923,2.1976,6.4052,0.8716854842922742,0.01623308907395693
-0.08800000000000001,-0.442,-0.2629,0.0923,2.1976,6.4052,0.8716854842922742,0.01623308907395693
-0.08800000000000001,-0.442,-0.2629,0.0923,2.1976,6.4052,0.8716854842922742,0.01623308907395693
-0.08800000000000001,-0.442,-0.2629,0.0923,2.1976,6.4052,0.8716854842922742,0.01623308907395693
-0.08800000000000001,-0.442,-0.2629,0.0923,2.1976,6.4052,0.8716854842922742,0.01623308907395693
0.0431,-0.3461,-0.2406,0.1231,1.9972,5.8992,0.9053460834979168,0.8131252532253257
-0.0687,-0.3447,-0.2664,0.1563,2.028,5.8799,0.9087572667305428,0.9320744286472707
-0.0687,-0.3447,-0.2664,0.1563,2.028,5.8799,0.9087572667305427,0.9320744286472707
