Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.4804455630405245
-1.0794,-0.5738,-0.4747,0.201,3.1361,8.5116,0.5776386822180647,0.48044556304052444
