,from,to,distance
0,0,0,0.0
1,0,1,0.5678531197100455
2,0,2,1.1813628524291362
3,0,3,0.2211281724609558
4,0,4,0.7975243935654474
5,0,5,0.7108709203252106
6,0,6,0.7329191661461293
7,1,1,0.0
8,1,2,0.8171941009689534
9,1,3,0.5143471868087623
10,1,4,0.45051961587881273
11,1,5,0.4475451514402534
12,1,6,0.28426861126579406
13,2,2,0.0
14,2,3,1.079676132600145
15,2,4,1.191542956754192
16,2,5,0.4786636034769491
17,2,6,1.0188871795705803
18,3,3,0.0
19,3,4,0.7592486247928428
20,3,5,0.6416973352182385
21,3,6,0.6949860566643952
22,4,4,0.0
23,4,5,0.8918227895994211
24,4,6,0.1904241131198763
25,5,5,0.0
26,5,6,0.7172858002186301
27,6,6,0.0
