,Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
34,1.0,7.5,3.2,2.4,4.6,5.3,0.8,1.34,9.958,3.14,5.0,9.1
494,1.0,7.4,2.8000000000000003,4.0,11.9,3.2,1.3,0.92,9.9629,3.01,4.6000000000000005,10.8
642,1.0,7.4,1.7000000000000002,4.0,5.5,3.7000000000000006,3.4,1.61,9.935,3.05,6.2,11.5
675,1.0,7.6,2.1,3.5,1.2,4.1000000000000005,0.7,1.06,9.914,3.06,4.5,11.3
755,1.0,6.5,3.2,4.8,8.0,2.6,1.8,0.88,9.9144,3.22,7.9,12.7
847,1.0,6.7,2.2,2.2,1.2,3.8,0.5,1.24,9.9098,3.1,3.7,11.2
969,1.0,7.2,3.2,4.699999999999999,5.1,4.3999999999999995,1.9,0.65,9.91,3.03,4.1,12.6
1241,1.0,8.6,5.5,3.5,15.55,5.7,3.55,3.665,10.001,3.04,6.3,11.0
1424,1.0,6.3,2.4,3.7,1.8,3.1,0.6,0.61,9.897,3.3,3.4000000000000004,12.2
1499,1.0,10.3,1.7000000000000002,4.699999999999999,1.4,3.7000000000000006,0.5,0.33,9.939,2.89,2.8000000000000003,9.6
1817,1.0,7.1,2.7,2.8000000000000003,1.25,2.3,0.3,0.89,9.8993,2.95,3.0,11.4
1929,1.0,6.0,3.3000000000000003,1.7999999999999998,3.0,3.6000000000000005,0.5,0.85,9.9125,3.28,4.0,11.5
2541,1.0,7.9,6.4,4.6000000000000005,10.6,24.4,3.3,2.27,9.983,2.87,7.4,9.1
2649,1.0,6.9,1.9,6.0,4.0,3.7000000000000006,0.6,1.22,9.9255,2.92,5.8999999999999995,10.4
2828,1.0,5.9,2.2,4.5,22.6,12.0,5.5,1.22,9.9636,3.1,3.5,12.8
3159,1.0,6.0,1.1,4.699999999999999,10.6,5.2,6.9,1.48,9.958,2.91,3.4000000000000004,9.3
3170,1.0,7.4,2.7,3.1,2.4,1.4000000000000001,1.5,1.43,9.9094,3.03,6.5,12.0
3255,1.0,6.1,2.6,2.5,2.9,4.7,28.9,4.4,9.9314,3.44,6.4,10.5
3319,1.0,6.3,2.8000000000000003,2.2,9.5,4.0,3.0,1.11,9.9338,3.05,3.1,10.8
3672,1.0,6.9,3.9000000000000004,2.2,4.3,3.0,1.0,1.02,9.93,3.0,8.7,11.6
3698,1.0,7.5,3.4000000000000004,2.4,3.85,3.1,0.5,0.34,9.9098,3.01,3.5999999999999996,11.8
3728,1.0,7.6,4.8,3.7,1.2,3.4000000000000004,0.5,0.57,9.9256,3.05,5.4,10.4
3771,1.0,5.8,2.6,3.0,2.6,3.4000000000000004,7.5,1.29,9.902,3.2,3.8,11.5
3997,1.0,8.5,2.6,2.1,16.2,7.400000000000001,4.1,1.97,9.98,3.02,5.0,9.8
4338,1.0,6.8,2.0,2.7,1.2,3.4000000000000004,1.9,0.68,9.902,3.14,3.7,11.7
