,Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
9,1.0,6.5,2.2,2.5,17.1,5.0,4.4,1.38,10.001,3.3,3.7,8.8
12,1.0,7.2,2.1,3.5999999999999996,15.7,4.5,6.8,1.83,9.9922,3.25,7.6,9.4
13,1.0,6.6,5.45,0.4,2.5,3.1,4.8,1.11,9.906,3.14,3.2,11.9
22,1.0,7.2,1.6,3.5,1.2,3.1,2.7,0.84,9.928,3.33,3.4000000000000004,9.9
24,1.0,6.8,2.7,1.2,1.3,4.0,8.7,1.68,9.92,3.18,4.1,10.0
29,1.0,7.4,2.0,16.599999999999998,2.1,2.1999999999999997,3.4,1.13,9.916500000000001,3.26,5.5,12.2
30,1.0,7.2,1.4000000000000001,3.5,1.2,3.6000000000000005,1.5,0.73,9.938,3.46,3.9000000000000004,9.9
33,1.0,7.0,2.3000000000000003,4.2,18.05,5.0,3.5,1.44,9.999,3.22,4.2,8.8
34,1.0,7.5,3.2,2.4,4.6,5.3,0.8,1.34,9.958,3.14,5.0,9.1
41,1.0,6.7,3.0,7.4,5.0,3.8,3.5,1.57,9.945,3.21,4.6000000000000005,9.9
43,1.0,8.2,1.7000000000000002,3.2,1.5,5.0,1.7,1.01,9.94,3.14,5.8,9.5
45,1.0,7.7,3.8,2.3000000000000003,10.8,3.0,2.8,0.95,9.9164,2.93,4.1,13.6
46,1.0,6.7,2.7,2.5,8.0,5.3,5.4,2.02,9.961,3.22,4.3,9.3
47,1.0,6.2,3.2,2.4,4.1,5.1,3.4,1.49,9.9306,3.36,5.2,11.0
56,1.0,6.7,2.4,3.2,9.0,2.3,2.0,1.09,9.9262,3.34,3.5,12.6
62,1.0,6.2,2.9,2.9,5.6,4.6,3.5,1.78,9.9313,3.25,5.1,10.5333333333
65,1.0,5.7,2.2,3.3000000000000003,1.9,3.6000000000000005,3.7,1.1,9.8945,3.26,5.8,12.4
67,1.0,6.1,2.6,2.8000000000000003,1.7,4.3,2.4,0.98,9.8918,3.14,4.4,12.5
70,1.0,6.4,2.4,2.7,1.5,4.0,3.5,1.05,9.8914,3.13,3.0,12.4
78,1.0,6.5,2.3000000000000003,3.5999999999999996,16.3,3.8,4.3,1.33,9.9924,3.26,4.1,8.8
85,1.0,7.5,1.7000000000000002,3.7,1.5,6.0,1.8,0.75,9.936,3.54,8.8,10.7
88,1.0,8.2,3.1,4.3,7.0,4.7,1.8,0.87,9.962800000000001,3.23,6.4,10.6
89,1.0,7.1,3.7,3.0,6.2,4.0,4.9,1.39,9.9021,3.17,2.7,13.6
91,1.0,6.8,2.1,6.2,6.4,4.1000000000000005,0.7,1.13,9.9358,2.96,5.8999999999999995,10.2
94,1.0,7.5,2.9,3.5999999999999996,15.7,5.0,2.9,1.24,9.968,3.06,5.4,10.4
96,1.0,7.6,2.3000000000000003,3.4000000000000004,1.6,4.3,2.4,1.29,9.9305,3.12,7.0,10.4
107,1.0,7.4,3.2,2.7,12.9,4.0,6.0,2.21,9.9831,3.05,6.6000000000000005,9.4
109,1.0,8.1,1.2,3.8,0.9,3.4000000000000004,3.6,0.86,9.9026,2.8,5.5,12.0
110,1.0,7.2,2.4,3.5999999999999996,2.0,2.9000000000000004,2.1,0.63,9.9076,3.13,6.3,12.5
112,1.0,7.5,3.3000000000000003,3.9000000000000004,12.4,6.5,2.9,1.19,9.974,3.16,3.9000000000000004,9.4
115,1.0,6.5,3.2,3.0,2.3,5.1,2.0,1.27,9.8964,3.13,5.2,12.8
121,1.0,5.5,2.4,3.2,8.7,6.0,1.9,1.02,9.94,3.27,3.1,10.4
123,1.0,8.1,2.0,3.0,1.3,3.6000000000000005,0.7,0.49,9.924199999999999,2.99,7.3,10.3
125,1.0,6.2,2.5,5.4,7.0,4.6,5.8,1.76,9.9454,3.19,7.0,10.4
127,1.0,7.3,3.4000000000000004,2.1,3.2,5.0,1.4,1.36,9.936,3.25,4.4,10.2
133,1.0,7.1,3.5999999999999996,2.4,1.8,2.5,3.2,1.02,9.902999999999999,3.34,5.8999999999999995,12.8
134,1.0,5.8,2.8000000000000003,1.7999999999999998,1.2,5.800000000000001,0.7,1.08,9.928799999999999,3.23,5.8,9.55
139,1.0,7.2,5.5,0.8999999999999999,1.5,10.8,1.6,1.51,9.938,3.07,5.699999999999999,9.2
140,1.0,6.7,2.3000000000000003,1.7000000000000002,1.3,6.1,1.4,1.0,9.925,3.07,5.5,9.5
141,1.0,5.8,4.1499999999999995,1.3,1.4,4.0,1.1,0.64,9.922,3.29,5.2,10.5
145,1.0,6.3,3.4000000000000004,2.8000000000000003,14.7,4.7,4.9,1.98,9.977,3.23,4.6000000000000005,9.5
146,1.0,4.9,3.35,1.4000000000000001,1.3,3.6000000000000005,6.9,1.68,9.9212,3.47,4.6000000000000005,10.4666666667
148,1.0,6.2,3.4000000000000004,2.8000000000000003,7.5,3.4000000000000004,4.0,1.97,9.9485,3.14,6.0,9.7
156,1.0,9.4,2.3000000000000003,5.6000000000000005,16.45,6.3,5.25,2.82,10.0098,3.1,5.1,9.3
158,1.0,7.3,2.6,2.4,1.7,5.0,1.0,1.12,9.9286,3.11,4.3,9.9
160,1.0,6.2,3.0,3.3000000000000003,3.5,3.7000000000000006,3.7,1.55,9.8987,3.18,3.7,12.4
165,1.0,6.9,2.9,3.2,5.8,4.0,1.6,1.12,9.93,3.04,5.8,11.2
167,1.0,5.8,2.8000000000000003,6.6000000000000005,9.1,3.9,2.6,1.59,9.965,3.66,5.5,10.8
