,Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,y_pred,y_act
5,1.0,7.0,1.2,2.9,10.3,3.9,4.1,0.98,9.9564,3.19,3.8,9.8,7.279398962400209,8
6,1.0,7.0,2.0,3.4000000000000004,2.1,4.9,1.2,1.36,9.922,3.25,4.6000000000000005,11.6,7.246126820497721,7
10,1.0,7.4,2.0,2.8000000000000003,9.1,4.7,2.9,0.95,9.953199999999999,3.16,4.699999999999999,9.8,7.038834687446625,7
16,1.0,6.4,1.6,2.5,1.4,5.7,2.1,1.25,9.909099999999999,3.23,4.4,11.1,7.306567174056957,7
19,1.0,8.0,1.4000000000000001,4.9,1.5,3.5000000000000004,4.2,1.2,9.928,3.26,4.0,10.6,7.005524188842014,7
21,1.0,6.3,1.7000000000000002,3.2,1.0,4.0,3.9,1.18,9.8886,3.31,4.0,13.1,8.14133228486116,8
25,1.0,6.2,2.8000000000000003,2.2,7.3,4.1000000000000005,2.6,1.57,9.957,3.44,6.4,9.8,6.814935714901272,7
27,1.0,9.0,1.7000000000000002,4.9,1.0,3.9,4.6,1.31,9.93,3.09,5.1,10.5,6.855973755398542,7
44,1.0,6.8,1.7999999999999998,3.0,12.8,6.2,1.9,1.71,9.9808,3.0,5.2,9.0,6.717151632976192,7
53,1.0,5.9,4.8,3.0,1.5,3.7000000000000006,1.9,0.78,9.9057,3.47,4.2,11.9,6.854561775653046,7
55,1.0,6.8,2.8000000000000003,6.0,1.1,13.200000000000001,4.2,1.27,9.934,3.09,4.4,9.1,6.04231444350498,6
57,1.0,7.3,4.2,3.8,6.8,4.5,2.9,1.22,9.925,3.19,3.7,12.6,7.392911264447587,7
72,1.0,6.9,1.9,2.8000000000000003,5.0,5.800000000000001,1.4,1.46,9.952,3.29,3.5999999999999996,9.1,6.425581946608149,6
76,1.0,6.1,2.7,3.1,1.5,3.5000000000000004,1.7,0.83,9.9076,3.32,4.4,11.1,7.017642555301705,7
80,1.0,6.1,5.5,1.5,9.8,3.1,1.9,1.25,9.957,3.36,4.699999999999999,10.2,6.338649826628558,6
81,1.0,7.3,2.2,4.0,14.75,4.2,4.45,1.295,9.998000000000001,3.36,4.1,9.1,6.8495712238186,7
82,1.0,8.4,2.0,3.1,2.8,5.4,1.6,0.89,9.941600000000001,2.96,4.5,9.5,6.3424247636148365,6
99,1.0,7.0,2.3000000000000003,3.5,1.4,3.6000000000000005,3.1,1.13,9.911999999999999,3.16,4.8,10.8,6.963678560079751,7
100,1.0,5.1,4.2,0.1,1.5,1.7000000000000002,2.5,1.02,9.894,3.38,3.5999999999999996,12.3,7.223287718310938,7
101,1.0,6.7,2.1,4.9,1.4,4.7,3.0,1.14,9.914,2.92,4.2,10.8,6.720876972205796,7
108,1.0,7.3,2.5,3.5999999999999996,2.1,3.4000000000000004,3.0,1.77,9.9085,3.25,4.0,11.9,7.401027312121696,8
111,1.0,5.8,1.7000000000000002,3.5999999999999996,1.3,3.6000000000000005,1.1,0.7,9.9202,3.43,6.800000000000001,10.4,7.017589648518755,7
116,1.0,7.7,2.8000000000000003,3.9000000000000004,8.9,3.6000000000000005,0.8,1.17,9.935,3.06,3.8,12.0,7.495454150487787,7
120,1.0,6.9,1.7999999999999998,3.5999999999999996,1.3,3.6000000000000005,4.0,1.17,9.934,3.27,9.5,9.5,6.743681747447679,7
137,1.0,6.9,4.5,2.7,4.7,3.5000000000000004,1.7,0.8,9.9058,3.12,3.5999999999999996,12.5,7.22778671149508,7
143,1.0,7.2,2.5,2.8000000000000003,14.4,5.5,5.5,2.05,9.986,3.12,3.8,9.0,6.7845876636829265,7
153,1.0,8.0,2.3000000000000003,3.5,9.2,4.3999999999999995,5.3,1.86,9.97,3.09,5.6000000000000005,9.5,6.748188592564118,7
155,1.0,7.0,1.2,2.9,10.3,3.9,4.1,0.98,9.9564,3.19,3.8,9.8,7.279398962400209,8
157,1.0,6.5,1.7999999999999998,3.4000000000000004,1.6,4.0,4.3,1.48,9.911999999999999,3.32,5.8999999999999995,11.5,7.511881892218506,8
161,1.0,7.6,4.8,3.3000000000000003,7.0,2.4,1.4,1.3,9.918,3.25,4.5,12.5,7.3649828630208525,7
163,1.0,7.5,2.4,4.9,9.4,4.8,5.0,1.49,9.962,3.17,5.8999999999999995,10.5,7.128746842730788,7
183,1.0,8.1,2.0,4.9,11.8,4.8,4.6,2.12,9.968,3.09,4.6000000000000005,10.0,7.149269747830704,7
189,1.0,5.9,2.9,2.5,12.0,5.7,4.8,2.24,9.981,3.23,4.1,9.0,6.500211953284524,6
191,1.0,7.4,1.9,3.0,12.8,5.3,4.85,2.29,9.986,3.14,4.9,9.1,6.860715353099789,7
203,1.0,7.7,3.2,6.2,10.6,3.6000000000000005,5.6,1.53,9.978,3.13,4.4,8.9,6.19689369593828,6
206,1.0,7.0,1.1,3.2,4.6,5.7,5.9,1.44,9.956,3.55,4.4,9.4,6.985708014560121,7
208,1.0,7.2,2.1,3.7,1.6,4.9,2.3,0.94,9.924,3.16,4.8,10.9,6.912150710060856,7
224,1.0,7.7,4.4,2.4,11.2,3.1,4.1,1.67,9.948,3.12,4.3,11.3,7.170706606834834,7
228,1.0,7.0,3.5999999999999996,3.2,10.05,4.5,3.7,1.31,9.9352,3.09,3.3000000000000003,11.7,7.399315010531409,8
243,1.0,6.7,1.2,3.5999999999999996,2.3,3.9,4.3,1.25,9.9229,3.07,6.7,10.1,7.0304901848242585,7
269,1.0,7.3,5.1,2.9,11.3,3.4000000000000004,6.1,2.24,9.9683,3.14,5.6000000000000005,9.5,6.295668361543935,6
273,1.0,7.2,1.7999999999999998,3.1,1.1,4.5,2.0,0.73,9.925,3.32,4.0,10.8,6.970928740985104,7
278,1.0,7.0,2.6,5.8999999999999995,1.4,3.7000000000000006,4.0,1.2,9.918,3.34,4.1,11.1,6.923299015595274,7
280,1.0,7.8,1.7000000000000002,2.3000000000000003,1.7,2.9000000000000004,3.9,1.28,9.927200000000001,3.37,4.1,10.7,7.146986755338935,7
285,1.0,8.0,2.2,4.2,14.6,4.3999999999999995,4.5,1.63,10.003,3.21,6.8999999999999995,8.6,6.711817263074356,7
287,1.0,7.2,3.5,2.5,5.6,3.2,2.3,1.2,9.9334,2.93,6.6000000000000005,10.3,6.6074041644692185,7
291,1.0,6.2,2.1,2.7,1.7,3.8,4.1,1.5,9.933,3.49,7.1,10.5,7.047673602335634,7
293,1.0,6.4,5.0,2.0,2.4,5.8999999999999995,1.9,1.12,9.9314,3.18,4.0,9.2,5.64054035377537,6
294,1.0,6.2,2.5,2.5,1.4,3.0,3.5,1.05,9.911999999999999,3.3,4.4,11.1,7.064680216575797,7
295,1.0,7.9,4.6000000000000005,3.2,4.1,3.3000000000000003,4.0,1.38,9.911999999999999,3.18,4.4,12.8,7.363081113506429,7
306,1.0,6.4,6.8999999999999995,0.8999999999999999,7.6,4.3999999999999995,3.4,1.44,9.948,3.26,3.8,10.1,5.854084029624396,6
307,1.0,6.6,1.5,3.2,6.0,3.3000000000000003,5.9,1.28,9.9192,3.19,7.1,12.1,8.142722593564788,8
314,1.0,7.3,2.1,2.9,1.6,3.4000000000000004,2.9,1.18,9.917,3.3,5.0,11.0,7.177377464165621,8
315,1.0,5.8,2.6,2.9,1.0,4.2,3.5,1.01,9.904399999999999,3.36,4.8,11.4,7.234113441436336,7
318,1.0,5.8,3.15,2.7,1.55,2.6,1.5,0.7,9.8994,3.37,4.0,11.9,7.2441743645968515,8
324,1.0,6.9,2.2,3.7,15.0,5.3,5.9,1.78,9.991999999999999,3.37,8.2,9.5,7.35960451477778,7
325,1.0,6.9,2.4,4.9,1.3,3.2,3.5,1.48,9.932,3.45,5.699999999999999,10.7,6.831171104383293,7
335,1.0,6.9,3.2,2.6,8.3,5.3,3.2,1.8,9.965,3.25,5.1,9.2,6.400877748517068,6
338,1.0,5.1,3.3000000000000003,2.7,6.7,2.1999999999999997,4.4,1.29,9.9221,3.36,3.9000000000000004,11.0,7.176176586910571,7
347,1.0,7.1,2.6,3.4000000000000004,14.4,6.7,3.5,1.89,9.986,3.07,5.300000000000001,9.1,6.763694780810366,7
348,1.0,4.9,3.3000000000000003,3.1,1.2,1.6,3.9,1.5,9.8713,3.33,5.8999999999999995,14.0,8.231804566241042,8
351,1.0,7.1,3.3000000000000003,2.5,1.6,3.0,2.5,1.26,9.901,3.22,3.4000000000000004,12.1,7.2588527987903415,7
357,1.0,6.2,2.2,2.7,1.5,6.4,2.0,1.32,9.938,3.22,4.6000000000000005,9.2,6.197002489659801,6
360,1.0,7.4,4.9,2.4,15.1,3.0,3.4,1.53,9.953,3.13,5.1,12.0,7.59048439897956,7
368,1.0,5.4,4.6000000000000005,1.5,2.1,2.6,2.9,1.3,9.8953,3.39,7.7,13.4,7.727646050209097,8
372,1.0,7.2,2.4,2.9,2.2,3.7000000000000006,3.7,1.02,9.92,3.27,6.4,11.0,7.200477901277005,7
382,1.0,7.0,1.7000000000000002,3.3000000000000003,4.0,3.4000000000000004,1.7,1.27,9.934,3.19,3.9000000000000004,10.6,6.958703353198202,7
392,1.0,6.2,1.9,2.9,4.3,4.5,3.3,1.26,9.9658,3.18,4.2,9.3,6.159942912916876,6
408,1.0,6.2,2.2,4.9,6.0,2.9000000000000004,3.1,1.28,9.928,3.41,3.5999999999999996,11.3,7.378997381129444,8
426,1.0,7.2,3.2,2.4,5.6,3.3000000000000003,2.3,1.2,9.9334,2.92,6.6000000000000005,10.3,6.681755891588828,7
435,1.0,7.7,2.8000000000000003,3.3000000000000003,6.7,3.7000000000000006,3.2,1.55,9.951,3.39,6.2,10.7,7.137727925319812,7
438,1.0,7.1,2.0,2.7,9.6,3.7000000000000006,1.9,1.05,9.9444,3.04,3.7,10.5,7.208155506365086,7
439,1.0,7.7,2.8000000000000003,3.3000000000000003,6.7,3.7000000000000006,3.2,1.55,9.951,3.39,6.2,10.7,7.137727925319812,7
453,1.0,7.5,3.4000000000000004,3.5,6.0,3.4000000000000004,1.2,1.26,9.924,3.16,3.9000000000000004,12.0,7.284397214736315,7
454,1.0,6.5,2.6,3.1,3.6,3.0,3.6,0.92,9.9026,3.22,6.2,12.6,7.8835672710044316,8
458,1.0,7.8,4.2,2.3000000000000003,8.8,5.4,4.2,2.15,9.971,3.02,5.8,9.2,6.108066110677052,6
459,1.0,8.8,2.8000000000000003,4.5,6.0,2.1999999999999997,1.4,0.49,9.934,3.01,3.3000000000000003,11.1,6.921860207441759,7
460,1.0,6.4,1.5,3.5999999999999996,1.8,3.4000000000000004,4.3,1.5,9.922,3.42,6.8999999999999995,11.0,7.421305235387724,8
462,1.0,6.7,1.7000000000000002,3.7,2.0,3.9,3.4,1.25,9.922,3.26,6.0,10.8,7.165255240714832,7
464,1.0,6.1,2.7,3.1,1.5,3.5000000000000004,1.7,0.83,9.9076,3.32,4.4,11.1,7.017642555301705,7
467,1.0,8.0,2.6,3.5999999999999996,2.0,5.4,3.0,1.21,9.92,3.09,7.199999999999999,11.6,7.270683158736696,7
469,1.0,7.0,1.7000000000000002,7.4,12.8,4.5,2.4,1.26,9.942,3.26,3.8,12.2,8.152960688055504,8
470,1.0,5.6,2.4,3.4000000000000004,2.0,4.1000000000000005,1.4,0.73,9.8981,3.04,4.5,11.6,7.177755037969865,7
471,1.0,5.8,4.0,4.2,4.4,4.7,3.85,2.45,9.937000000000001,3.25,5.699999999999999,9.6,6.193303977687868,6
472,1.0,6.5,2.8000000000000003,2.9,2.7,3.8,2.6,1.07,9.911999999999999,3.32,4.1,11.6,7.265498913717123,7
473,1.0,6.5,3.5,3.8,7.4,3.6000000000000005,2.0,1.96,9.9712,3.47,4.8,9.1,6.112116444259217,6
483,1.0,7.0,1.5,2.8000000000000003,14.7,5.1,2.9,1.49,9.9792,2.96,3.9000000000000004,9.0,6.938379305304204,7
484,1.0,7.4,2.9,5.0,1.8,4.2,3.5,1.27,9.937000000000001,3.45,5.0,10.2,6.552986531514605,7
488,1.0,7.7,3.4000000000000004,2.8000000000000003,11.0,4.0,3.1,1.17,9.9815,3.27,2.9,9.2,6.318703636266514,6
497,1.0,6.7,1.1,3.4000000000000004,8.8,4.3,4.1,1.13,9.962,3.42,4.0,9.3,7.068687748108246,7
