,Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,y_pred,y_act
0,1.0,7.4,4.4,2.0,11.5,4.9,4.4,1.57,9.98,3.27,4.4,9.0,5.2456256702678274,5
1,1.0,7.1,2.5,3.1,2.3,5.0,3.2,1.56,9.914,3.14,5.1,11.4,6.140830171927766,6
2,1.0,6.8,2.8000000000000003,4.4,9.3,3.1,3.5,1.37,9.946,3.16,3.5999999999999996,10.4,5.902542760612708,6
3,1.0,6.4,2.9,5.699999999999999,1.0,6.0,1.5,1.2,9.924,3.06,4.1,9.5,5.174458260612484,5
4,1.0,7.8,4.3,4.9,13.0,3.3000000000000003,3.7,1.58,9.955,3.14,3.5,11.3,5.998927151023947,6
7,1.0,6.6,3.2,2.6,7.7,5.4,5.6,2.09,9.961,3.17,4.5,8.8,5.314238227461274,5
8,1.0,7.2,2.4,2.9,3.0,3.6000000000000005,1.7,1.17,9.9411,3.36,6.800000000000001,10.1,5.835841226234778,6
11,1.0,7.3,4.3,3.7,4.6,2.8000000000000003,1.7,1.14,9.91,3.23,4.3,13.2,6.342261303255992,6
14,1.0,6.5,1.7999999999999998,4.1,14.2,3.9,4.7,1.29,9.9678,3.28,7.199999999999999,10.3,6.581901234432387,7
15,1.0,7.7,3.8,4.0,2.0,3.8,2.8,1.52,9.906,3.18,3.2,12.9,6.157882263171466,6
17,1.0,7.1,4.4,3.7,2.7,4.1000000000000005,3.5,1.28,9.896,3.07,4.3,13.5,6.359926724712239,7
18,1.0,7.0,2.0,4.9,5.9,3.8,3.9,1.28,9.938,3.21,4.8,10.8,6.124451731422813,6
20,1.0,7.1,1.7999999999999998,3.9000000000000004,15.25,4.7,4.5,1.58,9.9946,3.34,7.7,9.1,6.163017660089366,6
23,1.0,6.3,2.4,2.2,11.9,5.0,6.5,1.79,9.9659,3.06,5.8,9.3,5.900979824998014,6
26,1.0,6.8,3.2,3.0,3.3,2.9000000000000004,1.5,0.8,9.9061,3.33,6.3,12.6,6.595859339086624,7
28,1.0,6.4,1.7999999999999998,3.2,9.6,5.2,2.4,0.9,9.963,3.35,4.9,9.4,5.87435460712803,6
29,1.0,7.4,2.0,16.599999999999998,2.1,2.1999999999999997,3.4,1.13,9.916500000000001,3.26,5.5,12.2,6.381879042799375,6
31,1.0,6.4,1.9,3.5,10.2,4.3,4.0,1.06,9.9632,3.16,5.0,9.7,5.892406397356399,6
