,Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,y_pred,y_act
48,1.0,6.2,6.6000000000000005,4.8,1.2,2.9000000000000004,2.9,0.75,9.892,3.33,3.9000000000000004,12.8,7.873513882802719,8
651,1.0,9.1,2.7,4.5,10.6,3.5000000000000004,2.8,1.24,9.97,3.2,4.6000000000000005,10.4,8.412248442637269,9
751,1.0,6.9,3.5999999999999996,3.4000000000000004,4.2,1.8000000000000003,5.7,1.19,9.898,3.28,3.5999999999999996,12.7,9.030279178931456,9
759,1.0,7.6,2.0,3.0,14.2,5.6000000000000005,5.3,2.125,9.99,3.14,4.6000000000000005,8.9,8.05617867511475,8
821,1.0,7.6,2.0,3.0,14.2,5.6000000000000005,5.3,2.125,9.99,3.14,4.6000000000000005,8.9,8.05617867511475,8
862,1.0,6.9,2.1,2.8000000000000003,2.4,5.6000000000000005,4.9,1.59,9.943999999999999,3.02,4.699999999999999,8.8,7.535418304143268,8
1026,1.0,7.1,2.6,4.9,2.2,3.2,3.1,1.13,9.902999999999999,3.37,4.2,12.9,8.807980758390702,9
1165,1.0,6.5,3.5,3.5999999999999996,0.8,3.4000000000000004,3.2,1.11,9.8942,3.11,5.0,12.1,8.302158251360346,8
1244,1.0,6.9,1.5,2.8000000000000003,4.4,2.9000000000000004,1.4,1.07,9.9347,3.24,4.6000000000000005,10.4,8.083866834567512,8
1248,1.0,7.0,1.5,3.8,2.2,4.7,3.3,0.96,9.928,3.13,3.9000000000000004,10.4,8.084084393275313,8
1299,1.0,7.6,2.0,3.0,14.2,5.6000000000000005,5.3,2.125,9.99,3.14,4.6000000000000005,8.9,8.05617867511475,8
1571,1.0,7.3,1.9,2.7,13.9,5.7,4.5,1.55,9.9807,2.94,4.1,8.8,7.94660133739556,8
1596,1.0,7.6,2.0,3.0,14.2,5.6000000000000005,5.3,2.125,9.99,3.14,4.6000000000000005,8.9,8.05617867511475,8
1627,1.0,8.1,1.7000000000000002,4.4,14.1,5.3,4.3,1.45,10.006,3.28,7.5,8.8,8.109447510220274,8
1822,1.0,6.9,1.5,2.8000000000000003,4.4,2.9000000000000004,1.4,1.07,9.9347,3.24,4.6000000000000005,10.4,8.083866834567512,8
1829,1.0,6.4,4.4,4.4,14.4,4.8,2.9,2.28,9.9955,3.26,5.4,8.8,7.089243090351516,7
1893,1.0,6.6,3.5999999999999996,2.9,1.6,2.1,2.4,0.85,9.8965,3.41,6.1,12.4,8.553367283640974,9
2121,1.0,7.9,2.8000000000000003,4.1,2.0,4.3999999999999995,5.0,1.52,9.934,3.45,4.9,10.7,8.309443642275916,8
2155,1.0,7.6,2.0,3.0,14.2,5.6000000000000005,5.3,2.125,9.99,3.14,4.6000000000000005,8.9,8.05617867511475,8
2190,1.0,6.7,2.6,3.9000000000000004,1.1,4.0,4.5,1.47,9.935,3.32,5.8,9.6,7.759826043523158,8
2199,1.0,7.0,5.300000000000001,4.3,6.1,2.9000000000000004,0.6,0.76,9.9118,3.08,5.0,12.5,8.05071472097869,8
2348,1.0,6.4,3.5,2.8000000000000003,1.1,5.5,0.9,1.6,9.9405,3.42,5.0,9.1,6.914650142948239,7
2370,1.0,8.1,2.7,3.5,1.7,3.0,3.8,1.03,9.9255,3.22,6.3,10.4,8.342139501742416,8
2391,1.0,7.3,1.9,2.7,13.9,5.7,4.5,1.55,9.9807,2.94,4.1,8.8,7.94660133739556,8
2405,1.0,8.2,2.2,3.5999999999999996,6.8,3.4000000000000004,1.2,0.9,9.943999999999999,3.01,3.8,10.5,8.142010020148035,8
2565,1.0,7.3,1.9,2.7,13.9,5.7,4.5,1.55,9.9807,2.94,4.1,8.8,7.94660133739556,8
2635,1.0,7.2,2.6,4.4,7.1,2.7,2.5,1.26,9.93,3.02,3.4000000000000004,11.1,8.290514038270866,8
2713,1.0,5.2,4.4,0.4,1.4,3.6000000000000005,4.3,1.19,9.894,3.36,3.3000000000000003,12.1,8.042542411369203,8
2735,1.0,7.3,1.9,2.7,13.9,5.7,4.5,1.55,9.9807,2.94,4.1,8.8,7.94660133739556,8
2849,1.0,7.3,1.9,2.7,13.9,5.7,4.5,1.55,9.9807,2.94,4.1,8.8,7.94660133739556,8
2906,1.0,7.3,1.9,2.7,13.9,5.7,4.5,1.55,9.9807,2.94,4.1,8.8,7.94660133739556,8
2913,1.0,6.8,2.6,4.2,1.7,4.9,4.1,1.22,9.93,3.47,4.8,10.5,8.016200540628494,8
3053,1.0,7.1,2.6,3.1,2.2,4.3999999999999995,2.9,1.28,9.937000000000001,3.34,6.4,10.9,7.990876999752437,8
3066,1.0,6.8,2.4,2.9,2.0,4.3999999999999995,1.5,0.96,9.9232,3.23,6.4,10.4,7.883906419586116,8
3212,1.0,7.3,1.9,2.7,13.9,5.7,4.5,1.55,9.9807,2.94,4.1,8.8,7.94660133739556,8
3240,1.0,7.3,1.9,2.7,13.9,5.7,4.5,1.55,9.9807,2.94,4.1,8.8,7.94660133739556,8
3277,1.0,7.6,2.0,3.0,14.2,5.6000000000000005,5.3,2.125,9.99,3.14,4.6000000000000005,8.9,8.05617867511475,8
3293,1.0,6.7,2.3000000000000003,3.1,2.1,4.6,3.0,0.96,9.926,3.33,6.4,10.7,8.096313300325106,8
3440,1.0,6.8,4.6000000000000005,2.6,2.7,4.2,2.8,0.83,9.9114,3.38,5.1,12.0,8.115112673007253,8
3538,1.0,8.2,3.7,3.5999999999999996,1.0,3.4000000000000004,1.7,0.93,9.906,3.04,3.2,11.7,8.1691829556941,8
3638,1.0,7.4,2.4,3.5999999999999996,2.0,3.1,2.7,1.39,9.9055,3.28,4.8,12.5,8.72465106904065,9
3826,1.0,8.1,1.7000000000000002,4.4,14.1,5.3,4.3,1.45,10.006,3.28,7.5,8.8,8.109447510220274,8
3883,1.0,7.8,1.7999999999999998,4.6000000000000005,12.6,4.2,4.1,1.43,10.0,3.24,7.6,8.5,7.9505468157986945,8
3890,1.0,7.4,4.0,2.9,5.4,4.3999999999999995,3.1,1.22,9.94,3.3,5.0,11.1,7.976426448266353,8
4020,1.0,6.7,2.3000000000000003,3.1,2.1,4.6,3.0,0.96,9.926,3.33,6.4,10.7,8.096313300325106,8
4033,1.0,6.0,3.4000000000000004,2.4,5.4,6.0,2.3,1.26,9.951,3.25,4.4,9.0,7.075461775261778,7
4071,1.0,7.0,2.8000000000000003,2.6,1.7,4.2,3.4,1.3,9.925,3.43,5.0,10.7,8.068362156035493,8
