,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
18,1.0,0.36,0.27,0.085,0.196,0.0875,0.035,0.064
594,1.0,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36
684,1.0,0.3,0.235,0.08,0.131,0.05,0.0265,0.043
699,1.0,0.595,0.475,0.16,1.1405,0.547,0.231,0.271
1013,1.0,0.325,0.23,0.09,0.147,0.06,0.034,0.045
1183,1.0,0.63,0.51,0.17,1.1885,0.4915,0.3065,0.348
1237,1.0,0.215,0.15,0.055,0.041,0.015,0.009000000000000001,0.0125
1504,1.0,0.15,0.1,0.025,0.015,0.0045,0.004,0.005
1584,1.0,0.585,0.45,0.125,0.8740000000000001,0.3545,0.2075,0.225
1924,1.0,0.575,0.465,0.195,0.9965,0.417,0.247,0.47
2165,1.0,0.55,0.45,0.13,0.804,0.3375,0.1405,0.23
2495,1.0,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35
2573,1.0,0.24,0.175,0.065,0.0665,0.031,0.0135,0.017
2785,1.0,0.42,0.32,0.115,0.376,0.16899999999999998,0.092,0.1
2943,1.0,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015
3021,1.0,0.53,0.41,0.14,0.6809999999999999,0.3095,0.1415,0.1835
3048,1.0,0.44,0.34,0.105,0.369,0.16399999999999998,0.08,0.1015
3372,1.0,0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355
3555,1.0,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01
3626,1.0,0.315,0.235,0.075,0.1285,0.051,0.028,0.0405
