Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
1.0,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,8.832164583251902,9
1.0,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,8.992581593470888,9
1.0,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,13.191220726133379,13
1.0,0.615,0.5,0.205,1.1055,0.4445,0.227,0.39,15.61334525876348,16
1.0,0.555,0.44,0.15,1.092,0.416,0.212,0.4405,15.30296520146333,15
1.0,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,11.64294906527626,12
1.0,0.235,0.17,0.055,0.0515,0.018000000000000002,0.0105,0.0195,6.745229714509525,7
1.0,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355,13.240760204584687,13
1.0,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,11.637181463794413,12
1.0,0.545,0.41,0.12,0.7929999999999999,0.434,0.1405,0.19,8.92895748828997,9
1.0,0.465,0.38,0.13,0.454,0.1895,0.08,0.155,11.272279285754303,11
1.0,0.69,0.56,0.215,1.719,0.68,0.299,0.47,17.297414001837797,17
1.0,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,11.049454625780712,11
1.0,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,8.107387465528596,8
1.0,0.33,0.225,0.075,0.187,0.0945,0.0395,0.0425,7.1391651474628635,7
1.0,0.505,0.39,0.175,0.6920000000000001,0.267,0.15,0.215,12.530154794773525,12
1.0,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,10.552313020920975,11
1.0,0.575,0.47,0.165,0.853,0.292,0.179,0.35,15.609670214327982,16
1.0,0.42,0.33,0.125,0.463,0.18600000000000005,0.11,0.145,10.28552723844573,10
1.0,0.52,0.385,0.165,0.7909999999999999,0.375,0.18,0.1815,10.077351012125792,10
1.0,0.665,0.505,0.16,1.2915,0.631,0.2925,0.32,10.863349703786943,11
1.0,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,20.97608331597944,21
1.0,0.44,0.305,0.115,0.379,0.162,0.091,0.11,9.195511661399728,9
1.0,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,8.97542196925723,9
1.0,0.565,0.44,0.175,0.8735,0.414,0.21,0.21,10.835974545247943,11
1.0,0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,12.03841147361944,12
1.0,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,12.990856782867006,13
1.0,0.49,0.395,0.14,0.5489999999999999,0.2215,0.1275,0.15,11.159950875196229,11
1.0,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,9.002147589286684,9
1.0,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,12.82624681298171,13
1.0,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,10.685210435851292,11
1.0,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10.163763696091047,10
