,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
62,1.0,0.605,0.485,0.16,1.2009999999999998,0.417,0.2875,0.38,9.353619344842258,9
64,1.0,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09,5.70587996354139,6
72,1.0,0.63,0.475,0.15,1.072,0.433,0.2975,0.315,8.361416663467129,8
82,1.0,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,6.467194426416697,6
94,1.0,0.55,0.43,0.15,0.655,0.2635,0.122,0.221,7.642720109906311,8
98,1.0,0.58,0.465,0.15,0.9065,0.371,0.1965,0.29,8.121624951254635,8
113,1.0,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285,8.125247455392554,8
140,1.0,0.555,0.425,0.14,0.963,0.44,0.224,0.24,6.841547597731586,7
167,1.0,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7.015212293024079,7
185,1.0,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,10.659390709914398,10
199,1.0,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,5.841151191597345,6
212,1.0,0.275,0.195,0.07,0.0875,0.0345,0.022,0.0255,4.066460833878524,4
241,1.0,0.405,0.3,0.09,0.269,0.103,0.067,0.11,5.751035006855666,6
281,1.0,0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,7.74769473292676,8
346,1.0,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,9.814899254393268,10
364,1.0,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,8.609130787951601,8
388,1.0,0.505,0.4,0.125,0.583,0.246,0.13,0.175,6.876205500697577,7
413,1.0,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,5.840818589653386,6
432,1.0,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,11.61534163488157,12
443,1.0,0.495,0.375,0.115,0.6245,0.282,0.14300000000000002,0.155,6.239058161499704,6
460,1.0,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,9.804522725191417,10
514,1.0,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,5.961316479906041,6
515,1.0,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,11.75314050064298,12
530,1.0,0.26,0.205,0.07,0.097,0.0415,0.019,0.0305,4.106433992728723,4
544,1.0,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8.112212364659513,8
574,1.0,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365,6.708094160498145,6
580,1.0,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6.057733535119746,6
589,1.0,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,5.2124415922235015,5
603,1.0,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,3.8899195820054464,4
622,1.0,0.205,0.155,0.045,0.0495,0.0235,0.011,0.014,3.3961681877016012,3
638,1.0,0.46,0.345,0.115,0.4215,0.1895,0.102,0.111,5.942422690535661,6
644,1.0,0.64,0.515,0.165,1.3115,0.4945,0.2555,0.41,9.45084470071717,10
671,1.0,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,6.82229063627392,7
675,1.0,0.455,0.355,1.13,0.594,0.332,0.116,0.1335,7.977044654467661,8
682,1.0,0.53,0.395,0.145,0.775,0.308,0.16899999999999998,0.255,7.388854339912259,7
727,1.0,0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855,11.399564737676368,12
757,1.0,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9.751611870981664,9
760,1.0,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,7.586480642877966,8
786,1.0,0.645,0.51,0.19,1.4745,0.605,0.345,0.48,9.301396340389296,9
863,1.0,0.455,0.375,0.12,0.4970000000000001,0.2355,0.1055,0.1295,6.085002517131446,6
868,1.0,0.545,0.43,0.14,0.772,0.289,0.19,0.2615,7.9474367903007135,8
882,1.0,0.635,0.51,0.185,1.308,0.544,0.318,0.377,8.743409631856418,8
889,1.0,0.24,0.18,0.055,0.0555,0.0235,0.013,0.018000000000000002,3.774974552749165,4
899,1.0,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,6.093212563122676,6
908,1.0,0.605,0.49,0.18,1.167,0.457,0.29,0.3745,8.919932455076871,9
922,1.0,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,5.854387157290941,6
926,1.0,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10.260055283512903,10
962,1.0,0.595,0.48,0.16,1.2095,0.5225,0.29600000000000004,0.32,7.880749925960827,8
980,1.0,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8.580625232456168,8
1005,1.0,0.645,0.49,0.16,1.144,0.5015,0.289,0.319,8.107345109293446,8
1009,1.0,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,4.977388358306802,5
1025,1.0,0.645,0.52,0.175,1.561,0.7090000000000001,0.3555,0.4,8.06201800108471,8
1063,1.0,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,3.8131234380915195,4
1080,1.0,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,7.668504237799549,8
1137,1.0,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,9.654690519026119,10
1178,1.0,0.715,0.565,0.18,1.79,0.8440000000000001,0.3535,0.5385,8.82996547679341,9
1191,1.0,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.18600000000000005,6.998371334106128,7
1196,1.0,0.64,0.475,0.14,1.0725,0.4895,0.2295,0.31,7.758241933657104,8
1289,1.0,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,4.0008405637798115,4
1341,1.0,0.375,0.265,0.095,0.196,0.085,0.042,0.0585,5.022820588593838,5
1347,1.0,0.23,0.165,0.06,0.0515,0.019,0.0145,0.036000000000000004,3.7764480219369716,4
1353,1.0,0.58,0.45,0.155,0.8275,0.321,0.1975,0.2445,7.988206974141299,8
1355,1.0,0.255,0.185,0.065,0.07400000000000001,0.0305,0.0165,0.02,3.880242966589188,4
1363,1.0,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,6.2589977414506075,6
1366,1.0,0.16,0.11,0.025,0.018000000000000002,0.0065,0.0055,0.005,2.852204006371949,3
1394,1.0,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,5.287451261630178,5
1418,1.0,0.575,0.45,0.155,0.948,0.429,0.206,0.259,7.337340503196114,7
1460,1.0,0.27,0.205,0.075,0.118,0.059,0.031,0.0305,4.032060240499615,4
1468,1.0,0.52,0.415,0.175,0.753,0.258,0.171,0.255,8.058478586249603,8
1479,1.0,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,3.2203604489044015,3
1493,1.0,0.6,0.48,0.17,0.9175,0.38,0.2225,0.29,8.303255017776822,8
1530,1.0,0.425,0.33,0.115,0.3265,0.1315,0.077,0.103,5.973776382875879,6
1531,1.0,0.655,0.52,0.2,1.5475,0.713,0.314,0.466,8.483950376820074,9
1548,1.0,0.545,0.42,0.145,0.778,0.3745,0.1545,0.205,6.678513438363325,7
1570,1.0,0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165,6.003778036446172,6
1598,1.0,0.575,0.455,0.165,0.867,0.3765,0.1805,0.268,7.752368204800729,8
1614,1.0,0.43,0.35,0.105,0.366,0.1705,0.0855,0.11,5.90627959796713,6
1623,1.0,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,5.95106401392578,6
1625,1.0,0.195,0.15,0.045,0.0375,0.018000000000000002,0.006,0.011,3.327778965968487,3
1627,1.0,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,4.839763760977141,5
1631,1.0,0.33,0.25,0.075,0.1405,0.056,0.035,0.05,4.798639525439099,5
1643,1.0,0.505,0.39,0.185,0.6125,0.267,0.142,0.172,6.807472569674077,7
1655,1.0,0.62,0.49,0.15,1.195,0.4605,0.302,0.355,8.801666549014662,9
1666,1.0,0.675,0.53,0.195,1.4985,0.62,0.375,0.425,9.145971011361032,9
1670,1.0,0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995,8.73757653695199,8
1698,1.0,0.62,0.46,0.17,1.127,0.535,0.2635,0.29600000000000004,7.275374685767735,7
1715,1.0,0.6,0.46,0.155,0.9735,0.4270000000000001,0.2045,0.3,7.838493444875914,8
1718,1.0,0.42,0.32,0.11,0.309,0.115,0.0645,0.0945,5.918733616216525,6
1831,1.0,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,7.150661386219353,7
1833,1.0,0.63,0.525,0.195,1.3135,0.4935,0.2565,0.465,9.955586646605141,10
1858,1.0,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6.3990436267055815,6
1863,1.0,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,3.8118276070133614,4
