Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-2.8398,-0.4274,0.754,-1.1237,-1.8222,15.8781,0.9844042774368036,0.9942080615638064
-2.8398,-0.4274,0.754,-1.1237,-1.8222,15.8781,0.9844042774368036,0.9942080615638064
-3.3937,-0.5235,-0.1088,-0.3347,3.1009,14.2123,0.9925199657134988,0.997401594757095
-3.3937,-0.5235,-0.1088,-0.3347,3.1009,14.2123,0.9925199657134988,0.997401594757095
-2.8398,-0.4274,0.754,-1.1237,-1.8222,15.8781,0.9844042774368036,0.9942080615638064
-2.8398,-0.4274,0.754,-1.1237,-1.8222,15.8781,0.9844042774368036,0.9942080615638064
-2.8398,-0.4274,0.754,-1.1237,-1.8222,15.8781,0.9844042774368036,0.9942080615638064
-2.8398,-0.4274,0.754,-1.1237,-1.8222,15.8781,0.9844042774368036,0.9942080615638064
-3.3937,-0.5235,-0.1088,-0.3347,3.1009,14.2123,0.9925199657134988,0.997401594757095
-2.8398,-0.4274,0.754,-1.1237,-1.8222,15.8781,0.9844042774368036,0.9942080615638064
-2.8398,-0.4274,0.754,-1.1237,-1.8222,15.8781,0.9844042774368036,0.9942080615638064
-2.8398,-0.4274,0.754,-1.1237,-1.8222,15.8781,0.9844042774368036,0.9942080615638064
-2.8398,-0.4274,0.754,-1.1237,-1.8222,15.8781,0.9844042774368036,0.9942080615638064
-3.3937,-0.5235,-0.1088,-0.3347,3.1009,14.2123,0.9925199657134987,0.997401594757095
