Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-3.4019,-0.6134,0.6855,-1.1135,-0.8367,17.3889,0.8875361290454624,0.8759173720053731
-3.4019,-0.6134,0.6855,-1.1135,-0.8367,17.3889,0.8875361290454624,0.8759173720053731
-2.0976,-0.3715,-0.2165,-0.1259,3.267,10.6574,0.7132325162479858,0.7668585109303061
-2.0976,-0.3715,-0.2165,-0.1259,3.267,10.6574,0.7132325162479858,0.7668585109303061
-2.0976,-0.3715,-0.2165,-0.1259,3.267,10.6574,0.7132325162479858,0.7668585109303061
-2.0976,-0.3715,-0.2165,-0.1259,3.267,10.6574,0.7132325162479858,0.7668585109303061
-2.0976,-0.3715,-0.2165,-0.1259,3.267,10.6574,0.7132325162479858,0.7668585109303061
-3.4019,-0.6134,0.6855,-1.1135,-0.8367,17.3889,0.8875361290454624,0.8759173720053731
-3.4019,-0.6134,0.6855,-1.1135,-0.8367,17.3889,0.8875361290454624,0.8759173720053731
-3.4019,-0.6134,0.6855,-1.1135,-0.8367,17.3889,0.8875361290454624,0.8759173720053731
-3.4019,-0.6134,0.6855,-1.1135,-0.8367,17.3889,0.8875361290454624,0.8759173720053731
-2.0976,-0.3715,-0.2165,-0.1259,3.267,10.6574,0.7132325162479858,0.7668585109303061
-3.4019,-0.6134,0.6855,-1.1135,-0.8367,17.3889,0.8875361290454624,0.8759173720053731
-3.4019,-0.6134,0.6855,-1.1135,-0.8367,17.3889,0.8875361290454624,0.8759173720053731
-3.4019,-0.6134,0.6855,-1.1135,-0.8367,17.3889,0.8875361290454624,0.8759173720053731
-3.4019,-0.6134,0.6855,-1.1135,-0.8367,17.3889,0.8875361290454624,0.8759173720053731
-2.0976,-0.3715,-0.2165,-0.1259,3.267,10.6574,0.7132325162479858,0.7668585109303061
