,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T
16,1.0,0.12221763272424911,0.0,1.8718021769015913,0.16056518946692358,0.6422607578676943
24,1.0,0.17395330712343798,0.6931471805599453,2.5649493574615367,0.16778523489932887,0.6711409395973155
29,1.0,0.11332868530700327,0.0,2.5649493574615367,0.17998560115190784,0.7199424046076314
31,1.0,0.10436001532424286,0.0,2.5649493574615367,0.18050541516245489,0.7220216606498195
57,1.0,0.4824261492442928,-1.3862943611198906,1.3862943611198906,0.11671335200746966,0.7002801120448179
75,1.0,0.20701416938432612,-0.916290731874155,2.174751721484161,0.07163323782234957,0.7163323782234957
121,1.0,0.7514160886839212,-3.506557897319982,-1.1086626245216111,0.05605381165919283,0.5605381165919282
123,1.0,1.33500106673234,-3.506557897319982,-1.1086626245216111,0.06064281382656155,0.6064281382656155
124,1.0,1.3217558399823195,-3.506557897319982,-1.1086626245216111,0.05847953216374269,0.5847953216374269
203,1.0,1.801709800081223,0.5062150112083075,3.044522437723423,0.04878048780487805,0.975609756097561
