,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,log_T0/T
10,1.0,0.6471032420585384,-1.8325814637483102,1.3862943611198906,0.05811250581125058,-0.36046774217742855
24,1.0,1.6174060820832772,0.7598708126028534,3.044522437723423,0.05107252298263534,0.021223636451626584
26,1.0,1.8656293177945105,0.688134638736401,3.044522437723423,0.05060728744939271,0.01207258123426924
29,1.0,1.8421356765531218,0.588897159186146,3.044522437723423,0.05324813631522897,0.06293979977387414
84,1.0,0.5364933705145685,-1.3862943611198906,1.3862943611198906,0.10871928680147858,-0.42722659988967715
122,1.0,0.598836501088704,-1.9449106487222296,1.3862943611198906,0.04859086491739553,-0.38526240079064494
134,1.0,0.5709795465857378,-1.5606477482646683,1.3862943611198906,0.0847457627118644,-0.3886579897917832
172,1.0,0.06765864847381486,0.0,2.5649493574615367,0.1720578114246387,-0.3736303845881458
182,1.0,0.7030975114131134,-2.995732273553991,-1.1239300966523995,0.1419647927314026,-0.5658818295140691
193,1.0,0.7654678421395714,-3.506557897319982,-0.7657178733947807,0.036635404454865184,-0.5341514490694873
195,1.0,0.7080357930536959,-3.506557897319982,-0.5418004280654213,0.040956749672346006,-0.4226499328622652
197,1.0,0.7747271675523681,-3.506557897319982,-0.9480394301887354,0.036635404454865184,-0.5341514490694873
213,1.0,0.1823215567939546,-0.916290731874155,2.174751721484161,0.06872852233676977,-0.37500590062345585
