,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,log_T0/T,y_pred,y_act
14,1.0,0.6981347220709843,-1.8325814637483102,1.3862943611198906,0.06038647342995169,-0.32208349916911333,5.425135103348186,5.393627546352362
25,1.0,1.801709800081223,0.5062150112083075,3.044522437723423,0.04878048780487805,-0.02469261259037152,6.524062992522308,6.297109319933935
28,1.0,1.8341801851120072,0.4081282255276481,3.044522437723423,0.059665871121718374,0.17673717850005394,8.583301088923442,8.585225601808064
30,1.0,1.7613002617433464,0.25386672395705046,3.044522437723423,0.05186721991701245,0.036663984371591525,7.290326976534933,7.069023426578259
31,1.0,1.7934247485471162,0.4014570867106256,3.044522437723423,0.0536480686695279,0.07042246429654579,7.53687775390035,7.351799869057777
36,1.0,1.8293763327993617,-0.2781278596469693,3.044522437723423,0.040032025620496396,-0.22234323114344062,4.943800485114238,4.736198448394496
37,1.0,1.8594181177018698,-0.18922533311074907,3.044522437723423,0.03894080996884735,-0.24998020526776946,4.607384704333217,4.382026634673881
48,1.0,2.0906287310704004,-0.23559575925344942,3.044522437723423,0.044762757385854966,-0.11064652008706367,5.911775600093031,6.021023349349527
55,1.0,1.410986973710262,0.1097508639591191,3.044522437723423,0.0471253534401508,-0.05921185963184606,6.572672605245693,6.8658910748834385
58,1.0,1.5195132049061133,-0.13353139262452263,3.044522437723423,0.04194630872483222,-0.17563256864315802,5.483395116557785,5.5053315359323625
63,1.0,1.6034198401085373,0.24373018492259815,3.044522437723423,0.043591979075850044,-0.13714983814723358,5.63081403306551,5.877735781779639
66,1.0,1.8825138324965192,0.16466662155523393,3.044522437723423,0.04945598417408507,-0.010939940038334333,6.801194578567476,7.003065458786462
68,1.0,1.8825138324965192,0.15614868248993138,3.044522437723423,0.05219206680584551,0.0429075010112766,7.345743674644256,7.621195162809845
82,1.0,0.5007752879124892,-1.3862943611198906,1.3862943611198906,0.11938872970391595,-0.3336110043401807,5.471562276763496,5.541263545158426
85,1.0,0.4824261492442928,-1.3862943611198906,1.3862943611198906,0.11671335200746966,-0.3562748639173927,5.2453751427884825,5.030437921392435
86,1.0,0.5596157879354227,-1.3862943611198906,1.3862943611198906,0.11930326890956812,-0.3343270802748248,5.435879703929338,5.44673737166631
92,1.0,1.4327007339340465,-2.279845606024556,1.3862943611198906,0.02635740643120717,-0.3038014543316642,5.313025977044752,5.356586274672012
114,1.0,0.5128236264286637,-1.9449106487222296,1.3862943611198906,0.050911312493636084,-0.3386128011203239,5.363419464649919,5.247024072160486
115,1.0,0.5766133643039938,-1.9449106487222296,1.3862943611198906,0.05105687736138058,-0.3357576956833441,5.361430120319404,5.19295685089021
116,1.0,0.5596157879354227,-1.9449106487222296,1.3862943611198906,0.05366534292154127,-0.2859305394129746,5.869760247562594,6.042632833682381
117,1.0,0.6259384308664954,-1.9449106487222296,1.3862943611198906,0.05291005291005291,-0.30010459245033816,5.695567603757603,5.75890177387728
121,1.0,0.6097655716208943,-1.9449106487222296,1.3862943611198906,0.05157297576070139,-0.3257001396393018,5.4464176762572425,5.442417710521793
136,1.0,0.636576829071551,-1.5606477482646683,1.3862943611198906,0.09184423218221896,-0.308219723669329,5.606782389789168,5.713732805509369
137,1.0,0.5128236264286637,-1.5606477482646683,1.3862943611198906,0.091441111923921,-0.31261855774181246,5.621178059601338,5.730099782973574
138,1.0,0.5247285289349821,-1.5606477482646683,1.3862943611198906,0.08909479686386315,-0.3386128011203239,5.349567955002922,5.278114659230517
168,1.0,0.11332868530700327,0.0,2.5649493574615367,0.17998560115190784,-0.3285840637722067,5.288924864607205,5.318119993844216
169,1.0,0.0769610411361284,0.0,2.5649493574615367,0.17580872011251758,-0.35206433138104914,5.055849922714723,4.875197323201151
170,1.0,0.10436001532424286,0.0,2.5649493574615367,0.18050541516245489,-0.3257001396393018,5.3240373236631715,5.327876168789581
171,1.0,0.10436001532424286,0.0,2.5649493574615367,0.17705382436260622,-0.3450071390710504,5.117943241777932,5.003946305945459
173,1.0,0.131028262406404,0.0,2.5649493574615367,0.1849112426035503,-0.30158497762077235,5.569128011325809,5.726847747587197
180,1.0,0.7701082216960737,-2.995732273553991,-1.1239300966523995,0.16329196603527107,-0.42592111667554666,5.500252854693653,5.560681631015528
181,1.0,0.7227059828014898,-2.995732273553991,-1.1239300966523995,0.15644555694618273,-0.4687528473440829,5.069885085335143,4.969813299576001
190,1.0,0.7929925155296614,-3.506557897319982,-0.7657178733947807,0.040983606557377046,-0.42199441005937505,5.178234281125063,5.0369526024136295
191,1.0,0.7514160886839212,-3.506557897319982,-0.7657178733947807,0.03970775095298602,-0.4536201499952115,4.882648301822319,4.77912349311153
192,1.0,0.7323678937132266,-3.506557897319982,-0.7657178733947807,0.03762793497892836,-0.5074198306311578,4.355458163403589,4.465908118654584
194,1.0,0.7466879474879751,-3.506557897319982,-0.5418004280654213,0.04274965800273598,-0.3798053613275867,5.621736521076157,5.327876168789581
196,1.0,0.8109302162163288,-3.506557897319982,-0.9480394301887354,0.03901373283395755,-0.4712528486461675,4.678226801156517,4.820281565605037
202,1.0,0.4762341789963717,-3.3104430183936913,-0.20702416943432653,0.04101049868766404,-0.4213384572644545,5.234610552465164,4.969813299576001
214,1.0,0.27763173659827955,-0.916290731874155,2.174751721484161,0.07077140835102619,-0.34571510370239034,4.970532977035546,4.795790545596741
215,1.0,0.26236426446749106,-0.916290731874155,2.174751721484161,0.07423904974016332,-0.297879897428227,5.4628877584666915,5.655991810819852
219,1.0,0.20701416938432612,-0.916290731874155,2.174751721484161,0.07163323782234957,-0.3336110043401807,5.127091512727141,5.081404364984463
220,1.0,0.25464221837358075,-0.916290731874155,2.174751721484161,0.07423904974016332,-0.297879897428227,5.4665955973644165,5.730099782973574
221,1.0,0.29266961396282004,-0.916290731874155,2.174751721484161,0.07434944237918216,-0.2963940130538025,5.463415833879592,5.720311776607412
222,1.0,0.1906203596086497,-0.916290731874155,2.174751721484161,0.06983240223463687,-0.3590720685384539,4.8770272902559775,4.700480365792417
223,1.0,0.19885085874516517,-0.916290731874155,2.174751721484161,0.07423904974016332,-0.297879897428227,5.49338453009953,5.777652323222656
263,1.0,0.7608058290337602,-3.506557897319982,-1.1086626245216111,0.06447453255963895,-0.4388998841944018,5.146716648673627,5.332718793265369
264,1.0,0.712949807856125,-3.506557897319982,-1.1086626245216111,0.06097560975609756,-0.49469624183610705,4.606697633616272,4.59511985013459
265,1.0,0.7514160886839212,-3.506557897319982,-1.1086626245216111,0.05605381165919283,-0.5788580341578177,3.7408080921327826,3.8501476017100584
267,1.0,1.33500106673234,-3.506557897319982,-1.1086626245216111,0.06064281382656155,-0.500169043577462,4.252842344982781,4.290459441148391
268,1.0,1.3217558399823195,-3.506557897319982,-1.1086626245216111,0.05847953216374269,-0.5364933705145686,3.893258493048762,3.8918202981106265
271,1.0,0.4762341789963717,-2.995732273553991,-0.5978370007556204,0.0646830530401035,-0.4356709501652303,5.049592704361738,5.087596335232384
281,1.0,0.767790723555711,-3.506557897319982,-1.1086626245216111,0.06693440428380187,-0.4014570867106256,5.521732218036612,5.730099782973574
282,1.0,0.8162493776939287,-3.506557897319982,-1.1086626245216111,0.06657789613848203,-0.40679755334194295,5.444468858159487,5.634789603169249
283,1.0,0.8586616190375187,-3.506557897319982,-1.1086626245216111,0.06640106241699867,-0.4094571293777019,5.397217740745085,5.241747015059643
