,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,y_pred,y_act
36,1.0,0.058268908123975824,0.0,1.1786549963416462,0.15365703749231716,0.6146281499692686,5.609164476185061,5.393627546352362
37,1.0,0.06765864847381486,0.0,1.1786549963416462,0.16223231667748214,0.6489292667099286,6.0474072149953955,6.089044875446846
40,1.0,0.12221763272424911,0.0,1.1786549963416462,0.15852885225110971,0.6341154090044389,5.829207470699457,5.717027701406222
47,1.0,0.6678293725756554,-0.6931471805599453,1.3862943611198906,0.1278118609406953,0.7668711656441718,7.189675405985454,7.112327444710911
48,1.0,0.6931471805599453,-0.6931471805599453,1.3862943611198906,0.13154433043935806,0.7892659826361483,7.458711001792816,7.520234556474628
50,1.0,1.3217558399823195,-0.6931471805599453,1.3862943611198906,0.13217023526301877,0.7930214115781126,7.195630987562345,7.282761179605593
53,1.0,1.2837077723447896,-0.6931471805599453,1.3862943611198906,0.13144058885383805,0.7886435331230284,7.1593762949869015,7.16703787691222
73,1.0,0.23111172096338664,-0.916290731874155,0.7884573603642703,0.06540222367560497,0.6540222367560498,5.977722405990294,6.091309882077698
74,1.0,0.19885085874516517,-0.916290731874155,0.7884573603642703,0.06176652254478073,0.6176652254478073,5.546483264403089,5.3471075307174685
116,1.0,0.1823215567939546,0.1823215567939546,1.8870696490323797,0.07027406886858749,0.7027406886858749,6.080045528192728,6.186208623900494
118,1.0,0.1823215567939546,0.1823215567939546,1.8870696490323797,0.06868131868131869,0.6868131868131868,5.884149366338728,5.8888779583328805
133,1.0,1.0508216248317612,-3.506557897319982,-1.1086626245216111,0.07309941520467836,0.7309941520467836,7.631028987571625,7.501082124259871
136,1.0,0.767790723555711,-3.506557897319982,-1.1086626245216111,0.06693440428380187,0.6693440428380187,7.012487876642636,7.1929342212158
140,1.0,0.6678293725756554,-1.1394342831883648,1.3862943611198906,0.06289308176100629,0.7547169811320755,6.916435897424201,6.755768921984255
141,1.0,0.7178397931503168,-1.1394342831883648,1.3862943611198906,0.06587615283267458,0.7905138339920948,7.32958898308581,7.358193752733032
142,1.0,0.6981347220709843,-1.1394342831883648,1.3862943611198906,0.06464959917248513,0.7757951900698216,7.159288813223379,7.088408778675395
145,1.0,1.2149127443642704,-1.1394342831883648,1.3862943611198906,0.06500260010400416,0.7800312012480499,6.956010889952088,6.927557906278317
149,1.0,1.3376291891386096,-1.1394342831883648,1.3862943611198906,0.06546216286986122,0.7855459544383346,6.962888317671054,6.96979066990159
155,1.0,0.6151856390902335,-1.2517634681622845,1.3862943611198906,0.05465078150617554,0.7651109410864575,7.066670694486685,6.90975328164481
156,1.0,0.5187937934151675,-1.2517634681622845,1.3862943611198906,0.05545696539485359,0.7763975155279503,7.25175128173692,7.208600337960199
161,1.0,1.2412685890696329,-1.2517634681622845,1.3862943611198906,0.05655468838366701,0.7917656373713381,7.082350813571977,7.1204443723924875
195,1.0,1.5953389880545987,-1.3727860110950982,3.044522437723423,0.04299226139294927,0.8598452278589854,7.418643839701046,7.495541943884256
196,1.0,1.6213664832993742,-1.067986095126349,3.044522437723423,0.04194630872483222,0.8389261744966443,7.059720395660424,7.01211529430638
197,1.0,1.3862943611198906,-1.57310598318671,3.044522437723423,0.04638218923933209,0.9276437847866419,8.403024538863395,8.63141433550626
205,1.0,1.7316555451583497,-1.6581030844153815,3.044522437723423,0.044964028776978415,0.8992805755395683,7.915441239433101,7.732369222284388
