Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source
CCC,1376,±1,1.19,±1,4,20,76,1,Ar,357,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /
CCC,1461,±1,1.15,±1,4,20,76,1,Ar,140,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /
CCC,1413,±1,1.16,±1,4,20,76,1,Ar,246,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /
CCC,1477,±1,1.12,±1,4,20,76,1,Ar,115,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /
CCC,1444,±1,1.26,±1,4,20,76,1,Ar,152,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /
CCC,1504,±1,1.14,±1,4,20,76,1,Ar,93,Species,CH,±5,431,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /
CCC,1505,±1,2.21,NaN,0.05,0.25,99.7,1,Ar,534,Species,OH,±5,306.7,15.3,Stanford,n_Alkane_oxidation
CCC,1547,±1,2.17,NaN,0.05,0.25,99.7,1,Ar,344,Species,OH,±5,306.7,15.3,Stanford,n_Alkane_oxidation
CCC,1608,±1,2.19,NaN,0.05,0.25,99.7,1,Ar,174,Species,OH,±5,306.7,15.3,Stanford,n_Alkane_oxidation
CCC,1628,±1,2.24,NaN,0.05,0.25,99.7,1,Ar,156,Species,OH,±5,306.7,15.3,Stanford,n_Alkane_oxidation
CCC,1687,±1,2.13,NaN,0.05,0.25,99.7,1,Ar,89,Species,OH,±5,306.7,15.3,Stanford,n_Alkane_oxidation
CCC,1497,±1,2.15,NaN,0.15,0.75,99.1,1,Ar,420,Species,OH,±5,306.7,15.3,Stanford,n_Alkane_oxidation
CCC,1405,±0.7,5.46,±1,0.8,8,91.2,0.5,Ar,83,Species,OH,±1,306.7,15.3,Stanford,Lam_2013_thesis / propane_const_V
CCC,1366,±0.7,5.6,±1,0.8,8,91.2,0.5,Ar,170,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1339,±0.7,5.68,±1,0.8,8,91.2,0.5,Ar,230,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1303,±0.7,5.7,±1,0.8,8,91.2,0.5,Ar,400,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1281,±0.7,5.88,±1,0.8,8,91.2,0.5,Ar,590,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1250,±0.7,5.98,±1,0.8,8,91.2,0.5,Ar,890,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1234,±0.7,6.99,±1,0.8,8,91.2,0.5,Ar,940,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1223,±0.7,6.08,±1,0.8,8,91.2,0.5,Ar,1270,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1194,±0.7,6.13,±1,0.8,8,91.2,0.5,Ar,1790,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1189,±0.7,7.17,±1,0.8,8,91.2,0.5,Ar,1810,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1184,±0.7,7.17,±1,0.8,8,91.2,0.5,Ar,1820,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
