,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
9,1.0,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345
20,1.0,0.53,0.425,0.17,0.949,0.3485,0.2395,0.278
121,1.0,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315
127,1.0,0.525,0.395,0.165,0.782,0.285,0.1405,0.285
150,1.0,0.59,0.485,0.12,0.911,0.39,0.182,0.29
186,1.0,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235
214,1.0,0.635,0.51,0.155,1.156,0.428,0.289,0.315
240,1.0,0.59,0.455,0.155,1.0659999999999998,0.382,0.2275,0.415
242,1.0,0.575,0.45,0.16,0.955,0.44,0.1685,0.27
330,1.0,0.495,0.37,0.125,0.4775,0.185,0.0705,0.16899999999999998
341,1.0,0.355,0.27,0.075,0.204,0.3045,0.046,0.0595
351,1.0,0.59,0.45,0.16,0.9,0.358,0.156,0.315
360,1.0,0.565,0.435,0.185,1.032,0.354,0.2045,0.31
384,1.0,0.44,0.33,0.135,0.522,0.17,0.0905,0.195
402,1.0,0.645,0.485,0.155,1.489,0.5915,0.312,0.38
409,1.0,0.69,0.54,0.185,1.6195,0.5329999999999999,0.353,0.555
427,1.0,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195
473,1.0,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205
475,1.0,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295
513,1.0,0.53,0.41,0.165,0.8115,0.24,0.16899999999999998,0.24
566,1.0,0.565,0.45,0.115,0.9085,0.398,0.197,0.29
609,1.0,0.43,0.33,0.095,0.34,0.1315,0.085,0.112
623,1.0,0.5,0.39,0.13,0.6355,0.2505,0.1635,0.195
633,1.0,0.54,0.405,0.155,0.9715,0.3225,0.194,0.29
667,1.0,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265
689,1.0,0.8,0.63,0.195,2.526,0.933,0.59,0.62
710,1.0,0.515,0.4,0.14,0.7365,0.2955,0.184,0.185
719,1.0,0.585,0.455,0.125,1.027,0.391,0.212,0.25
740,1.0,0.49,0.36,0.11,0.5005,0.161,0.107,0.195
749,1.0,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725
764,1.0,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43
773,1.0,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205
778,1.0,0.57,0.435,0.14,0.8085,0.3235,0.183,0.22
794,1.0,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34
801,1.0,0.31,0.235,0.06,0.12,0.0415,0.033,0.04
811,1.0,0.57,0.415,0.13,0.88,0.4275,0.1955,0.238
931,1.0,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4
950,1.0,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655
963,1.0,0.475,0.35,0.115,0.487,0.194,0.1455,0.125
981,1.0,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46
1041,1.0,0.565,0.48,0.175,0.957,0.3885,0.215,0.275
1045,1.0,0.44,0.35,0.14,0.451,0.171,0.0705,0.184
1114,1.0,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06
1157,1.0,0.52,0.405,0.145,0.8290000000000001,0.3535,0.1685,0.205
1195,1.0,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16
1202,1.0,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19
1208,1.0,0.5,0.385,0.155,0.762,0.3795,0.161,0.19
1284,1.0,0.57,0.465,0.125,0.8490000000000001,0.3785,0.1765,0.24
1346,1.0,0.465,0.375,0.135,0.6,0.2225,0.129,0.23
1348,1.0,0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325
1357,1.0,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335
1371,1.0,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435
1378,1.0,0.725,0.575,0.24,2.21,1.351,0.413,0.5015
1405,1.0,0.49,0.385,0.115,0.6829999999999999,0.3265,0.1615,0.165
1408,1.0,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535
1419,1.0,0.405,0.31,0.12,0.3095,0.138,0.058,0.095
1437,1.0,0.45,0.35,0.14,0.474,0.21,0.109,0.1275
1482,1.0,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17
1508,1.0,0.62,0.52,0.225,1.1835,0.378,0.27,0.395
1562,1.0,0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177
1592,1.0,0.44,0.345,0.12,0.487,0.1965,0.108,0.16
1595,1.0,0.505,0.41,0.135,0.657,0.29100000000000004,0.133,0.195
1613,1.0,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225
1651,1.0,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865
1703,1.0,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511
1714,1.0,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215
1806,1.0,0.52,0.4,0.13,0.6245,0.215,0.2065,0.17
1817,1.0,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445
1854,1.0,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049
1873,1.0,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39
1877,1.0,0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19
1883,1.0,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165
1895,1.0,0.395,0.28,0.08,0.266,0.0995,0.066,0.09
1902,1.0,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505
1934,1.0,0.385,0.305,0.095,0.252,0.0915,0.055,0.09
1959,1.0,0.54,0.435,0.145,0.97,0.4285,0.22,0.264
1984,1.0,0.68,0.55,0.175,1.798,0.815,0.3925,0.455
2061,1.0,0.595,0.475,0.17,1.247,0.48,0.225,0.425
2095,1.0,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275
2164,1.0,0.63,0.515,0.16,1.016,0.4215,0.244,0.355
2217,1.0,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22
2229,1.0,0.475,0.365,0.14,0.6175,0.202,0.1445,0.19
2240,1.0,0.485,0.38,0.14,0.6729999999999999,0.2175,0.13,0.195
2329,1.0,0.5,0.405,0.14,0.6735,0.265,0.124,0.25
2352,1.0,0.62,0.47,0.2,1.2255,0.381,0.27,0.435
2361,1.0,0.55,0.44,0.16,0.991,0.348,0.168,0.375
2397,1.0,0.53,0.43,0.17,0.775,0.35,0.152,0.235
2426,1.0,0.57,0.44,0.14,0.9535,0.3785,0.201,0.305
2445,1.0,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3
2465,1.0,0.53,0.42,0.13,1.001,0.34,0.226,0.265
2497,1.0,0.63,0.515,0.165,1.352,0.488,0.349,0.45
2512,1.0,0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41
2535,1.0,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295
2552,1.0,0.545,0.41,0.145,0.873,0.3035,0.196,0.31
2563,1.0,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175
2599,1.0,0.46,0.355,0.14,0.4935,0.21600000000000005,0.133,0.115
2605,1.0,0.67,0.51,0.18,1.68,0.926,0.2975,0.3935
2632,1.0,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525
2640,1.0,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135
2648,1.0,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05
2682,1.0,0.73,0.585,0.225,2.2305,1.2395,0.422,0.563
2718,1.0,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21
2720,1.0,0.535,0.42,0.145,0.926,0.398,0.1965,0.25
2732,1.0,0.5,0.375,0.14,0.604,0.242,0.1415,0.179
2758,1.0,0.52,0.395,0.18,0.64,0.158,0.11,0.245
2816,1.0,0.67,0.55,0.17,1.247,0.472,0.2455,0.4
2819,1.0,0.5,0.38,0.155,0.655,0.2405,0.14300000000000002,0.205
2828,1.0,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33
2892,1.0,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495
3024,1.0,0.455,0.365,0.095,0.514,0.2245,0.101,0.15
3058,1.0,0.7,0.545,0.13,1.556,0.6725,0.374,0.195
3077,1.0,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205
3079,1.0,0.565,0.455,0.15,0.8205,0.365,0.159,0.26
3082,1.0,0.505,0.425,0.14,0.85,0.275,0.1625,0.285
3179,1.0,0.445,0.345,0.14,0.476,0.2055,0.1015,0.1085
3246,1.0,0.525,0.41,0.175,0.8740000000000001,0.3585,0.207,0.205
3281,1.0,0.52,0.39,0.14,0.7325,0.2415,0.14400000000000002,0.26
3283,1.0,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335
3300,1.0,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32
3304,1.0,0.6,0.47,0.155,1.036,0.4375,0.196,0.325
3314,1.0,0.57,0.45,0.17,1.098,0.414,0.187,0.405
3374,1.0,0.53,0.42,0.185,0.752,0.299,0.156,0.205
3387,1.0,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35
3423,1.0,0.6,0.475,0.18,1.162,0.511,0.2675,0.32
3429,1.0,0.575,0.455,0.145,1.165,0.581,0.2275,0.3
3469,1.0,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515
3543,1.0,0.605,0.475,0.145,1.0185,0.4695,0.225,0.27
3566,1.0,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595
3630,1.0,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345
3647,1.0,0.56,0.455,0.125,0.943,0.344,0.129,0.375
3650,1.0,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434
3654,1.0,0.465,0.36,0.105,0.498,0.214,0.116,0.14
3702,1.0,0.695,0.57,0.23,1.885,0.8665,0.435,0.5
3703,1.0,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26
