,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
143,1.0,0.33,0.245,0.085,0.171,0.0655,0.0365,0.055
335,1.0,0.46,0.355,0.11,0.415,0.215,0.08199999999999999,0.13
525,1.0,0.61,0.49,0.17,1.1775,0.5655,0.2385,0.295
731,1.0,0.78,0.63,0.215,2.657,1.4880000000000002,0.4985,0.586
1242,1.0,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875
1404,1.0,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068
1707,1.0,0.65,0.525,0.19,1.385,0.8875,0.3095,0.405
1768,1.0,0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098
2147,1.0,0.49,0.39,0.135,0.5920000000000001,0.242,0.096,0.1835
3665,1.0,0.455,0.33,0.1,0.3720000000000001,0.358,0.0775,0.11
